android/support/v7: {android/support/v7, 6ca7f036fd4f416358bfd6beab7b1c41}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/hoho/android: {com/hoho/android, b3f45fb71e6815a0094cb42cda042ac6}
android/support/design: {android/support/design, fd2ee26497bda884e4e31d5d5910ec9b}
edu/cmu/pocketsphinx: {edu/cmu/pocketsphinx, 3988377a3b073061f716768eadd5a50e}
com/google: {com/google, e0c41c47b89fd2d709165174f8c7e736}
com/robodoot/dr: {[com/robodoot/roboapp, com/robodoot/dr, ], b47e1002d26b6377a9bb6c5e4c2bc3ec}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
com/felhr/utils: {com/felhr/utils, 2885522a3d51541edb6477f954287273}
android/support/graphics: {android/support/graphics, c71b94418434ed23175de266d881adb1}
yuku/ambilwarna: {yuku/ambilwarna, ddcd0a66011b0d47ba957ccaee3514de}
com/felhr/deviceids: {com/felhr/deviceids, a23f6316d0aebbb5b2b07f79da794e72}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
android/support/annotation: {android/support/annotation, 6b4884964d4af32baf1d83f6452560ea}
com/felhr/usbserial: {com/felhr/usbserial, 98021e8b2871715ce1d38ab196d5a767}
org/pololu/maestro: {org/pololu/maestro, 2bac74edc62b6c1bf353b8720f5f24e9}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
