androidx/appcompat: {androidx/appcompat, c5cbd1a87a2f419a7c70acdfaf2a76f6}
org/junit/internal: {[org/junit/internal, org/junit/runner, org/junit/runners, ], ac9c542684f271e7215c00369bbb793e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 55f446ee830dbba93b7d8c0caed37935}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 971ab813795256576d8c7feed846a77f}
androidx/profileinstaller: {androidx/profileinstaller, 3684e36326bdac7f8d22933d989395c3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 06b3b68806a21d0906f474fe56363713}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, bac9d95e9c35636411a09b1612bbac17}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, 4ec3006f970896dd1ad4136f13972b7b}
androidx/fragment: {androidx/fragment, f7e1ec74001f03b89d4f9cba36b0746a}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
com/android/volley: {com/android/volley, 2e24c2901b4fef07701b02005e06ca90}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, 7d27f7a6c7ff9133da6239f18b4d4e6d}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
com/google/android: {com/google/android, 19e10d4b46cbde6caef60df3ce4134af}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ebd64a962cf450a64432bd78124b0202}
androidx/core: {androidx/core, 5c4a5324c6a8cb28846f96bb297db4c7}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, 21459a7610274099deaa676d378de223}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/multidex: {androidx/multidex, 1f7b5ef8a714474c31edb59e524a5b84}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/google/gson: {com/google/gson, 52b6d24383c04ff03a93ec8416b167a8}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, c564e5ae06f345dcde1cb47b5ccf38a1}
