androidx/appcompat: {androidx/appcompat, f23bd665ef9bd2e01a40218ed4292e77}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, d93c3f761e24c2b69ae62f0d29df078e}
kotlin/sequences: {kotlin/sequences, 897fc1dc36f89d10c4162b156c9564cf}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, b7b1b6375b8852d641555c2b6f0f1a94}
androidx/vectordrawable: {androidx/vectordrawable, ce164ab69b5e12925fbb0844e9b8cc56}
com/jakewharton/picasso: {com/jakewharton/picasso, 0a66bb1e83798eaaf4a2528333a87a35}
kotlin/math: {kotlin/math, a36e912adbcf3fb21db03e18bd54be2b}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
com/uber/autodispose: {com/uber/autodispose, e7620952e0718bcd2b3b6e52eae94b56}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 2045713b755907c378b13d9b548185f6}
kotlin/random: {kotlin/random, 9554c7f2c18b01a7adb74ffb3423fde6}
dagger: {dagger, 857acf32d781376a7073dddb01d9514f}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
okhttp3/internal: {okhttp3/internal, 3a801951982a106cdc6fa1cd9d8ff1fe}
com/ryanharter/auto: {com/ryanharter/auto, 2f98f4fd60829d2567feda6a980af495}
androidx/annotation: {androidx/annotation, 65b8867cbd300ddd90ffb82cae73bccb}
com/squareup/sqldelight: {com/squareup/sqldelight, 6dc29e5d86b54a76f41ef14f4a724f14}
androidx/sqlite/db: {androidx/sqlite/db, 0faee246f34f903fe6beb9fba3832ef6}
androidx/lifecycle: {androidx/lifecycle, 391f2f98322fb2201c0a38651b1d5094}
kotlin/reflect: {kotlin/reflect, 7e0c68be80639ff0417e1f515a9c76ef}
me/zhanghai/android: {me/zhanghai/android, 857abc0e7b0764793d91ac24cf53a922}
androidx/legacy/app: {androidx/legacy/app, 8fe4a673e845cd2aca6f2befdffb19c4}
androidx/versionedparcelable: {androidx/versionedparcelable, e018355320f4af286caa7bbe5991be2c}
okhttp3: {okhttp3, a273c629130adfd532ba5e281f6156ff}
androidx/core: {androidx/core, 5c7f38f5a5ac0ed5032e2babcd4aaa6d}
androidx/collection: {androidx/collection, 36ebe3c2f49eb95f6b422038b97ac8cf}
androidx/transition: {androidx/transition, 76a9891151fc911700b7a1918d06b1e2}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ac80e232a6bcd798f82ce8ce13cf1a67}
androidx/cursoradapter: {androidx/cursoradapter, bae729c4067f6ed4a920f048dedf14d8}
androidx/multidex: {androidx/multidex, d8c20b1a283875923c5a34c462c3b4b2}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
androidx/media: {androidx/media, 683361c56a33457615c488f67f0e5435}
com/google/android: {com/google/android, aace9a35a0127b0e2337fa0c03979461}
dagger/releasablereferences: {dagger/releasablereferences, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
org/reactivestreams: {org/reactivestreams, 2f98f4fd60829d2567feda6a980af495}
kotlin/jdk7: {kotlin/jdk7, f8c7ae29c7ca9ad5434e0bab5958291b}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, ce48265f5bb69624f29fb31fd595760d}
com/meisolsson/githubsdk: {com/meisolsson/githubsdk, 88e53ea2a380b392c5f1e9924f2bf80d}
androidx/documentfile: {androidx/documentfile, cdb9a93532449ad5fc8133388e3b6282}
com/github/pockethub: {com/github/pockethub, 16150fa6deb2fea4cb0c2bcc80760585}
androidx/recyclerview: {androidx/recyclerview, dda0e770769475de51348fcf5b22abd4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, a35caad8a8a411aa08127a25556175bc}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], dcdcffe6f3824cad99a2b8a94a32ac21}
kotlin/jvm: {kotlin/jvm, 84b0105e33e16b220e821ccaa30c8b3d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e6c26191421e390b2a7625acbe045a4f}
org/joda/time: {org/joda/time, cf9a7862d2a00402c5d84e0cc7ce4b05}
com/bugsnag/android: {com/bugsnag/android, 117611ef985464946d8279878797db24}
kotlin/io: {kotlin/io, 1b0ee3bd182a3ad3c3bb0363c1886604}
androidx/loader: {androidx/loader, fc7239920af1bfc68e9b9ec24acb07c0}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9b6ab589da01a8a067235c5535338289}
dagger/android: {dagger/android, b124f6888cdc830e498250ef57eae529}
dagger/internal: {dagger/internal, 07c430954bcfde2249308850265786ec}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d5c7321c96d782a0b79e66a41860c18b}
androidx/drawerlayout: {androidx/drawerlayout, b95131b6ff0fd7f4e162c6c8e0215a08}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 6073129b7587820f1b7b2e7b39b9b62d}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
com/squareup/moshi: {com/squareup/moshi, 7ad751d40d8f4f07dabc5eec5a2ef368}
