androidx/appcompat: {androidx/appcompat, e9bba5112a2beb6a2e1c855c06d27872}
dev/icerock/moko: {dev/icerock/moko, 449434bdb0cef85e8c8bf04ddb22f033}
coil: {coil, 7593684597e55cfc609c397b0df1acd7}
coil/fetch: {coil/fetch, 227760b2d2eb833376dd984fd1619703}
kotlin/internal: {kotlin/internal, 71dc6ea6332544fce541815027444016}
androidx/activity: {androidx/activity, 622d86efa960fbdffa8fd9145a94a31a}
kotlin/annotation: {kotlin/annotation, 3a71659aef83e260afc010d7937fcc8d}
androidx/compose/foundation: {androidx/compose/foundation, e84d9cf93b4ebfdad90388fe848cc580}
androidx/preference: {androidx/preference, 35e948e741bad969b8ace744da9f9bb4}
kotlin/math: {kotlin/math, 5822e1e212dfdcadfe0460138c396624}
eu/davidea/flexibleadapter: {eu/davidea/flexibleadapter, 9ea3f1fac24f4fab7e58adc4c35d5987}
com/halilibo/richtext: {com/halilibo/richtext, 25cbbbb15ccaef9f2d6b769029597876}
tachiyomi/domain: {tachiyomi/domain, d41d8cd98f00b204e9800998ecf8427e}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 38de021a27c82a16f57c28cdbe6daf7e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d217dbce54cf6ae076874884a4b8e19a}
kotlin/random: {kotlin/random, 2b24c7a1ae0dec00f27a120f9ac9c227}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
com/jakewharton/disklrucache: {com/jakewharton/disklrucache, 00c5747db6d2165cdc81db0bbefd5909}
androidx/cardview: {androidx/cardview, 944f9c35a98d20852048e4ca60af3686}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c9d5bb7f9872baee46f112022512221e}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 309049a205405088e3af01730a5122e1}
com/google/common: {com/google/common, 99c450f0eeb71e63e929589042883f83}
androidx/savedstate: {androidx/savedstate, 56b255ae925394c84274f25134da258c}
androidx/glance: {androidx/glance, 159db1626bc624ea1503df4f29b0ce9a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, daad0cf5587f042a591c001f97c7475a}
androidx/datastore/preferences: {androidx/datastore/preferences, 6d6cd1403b3c86eada097ccf4b518b95}
androidx/startup: {androidx/startup, 150e969fbc3789e91099e052f9dbe141}
coil/intercept: {coil/intercept, 0cf58a5b8f5ee84644acb7ca9de94eb6}
androidx/compose/ui: {androidx/compose/ui, 932a7d6940ac1f283aa912fd626af827}
androidx/loader/app: {androidx/loader/app, 23bd50906f1886b68a712a372862ae54}
coil/drawable: {coil/drawable, 2629060579313ac94377c9c13a84ab39}
androidx/room: {androidx/room, 76de4551492bf73a9764da29c8d9f5a4}
coil/compose: {coil/compose, 1270e5563c8aae401bd7b392928444bb}
androidx/sqlite/db: {androidx/sqlite/db, 59c45c9362792bcb2dd2337d4aa56d09}
androidx/lifecycle: {androidx/lifecycle, e5e8f7e83eb3f314400e2d8c52fc8c06}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
kotlin/enums: {kotlin/enums, 62f10973bc99284895d01b934be98bc3}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, bc9b9447f8ea4d1d88682c87033d44ae}
androidx/compose/animation: {androidx/compose/animation, 551495719fa6ccd99da98a627e882dc3}
kotlin/reflect: {kotlin/reflect, 234eae2d93ef24ded32838a245188b1c}
android/graphics: {android/graphics, c4e9eeb25e17c46354752ac4239a9772}
androidx/exifinterface/media: {androidx/exifinterface/media, 62b76f1b9a2357e3b53b87af849875c0}
androidx/versionedparcelable: {androidx/versionedparcelable, 3669b6da29861d98411a47ac0bdaed93}
coil/transition: {coil/transition, cd8fefb2da7fa1cdeab440c0f268473c}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/core: {androidx/core, 5faddefb0d0892b80cd002e4ccc1f4f4}
kotlinx/serialization/internal: {[kotlinx/serialization/descriptors, kotlinx/serialization/internal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/collection: {androidx/collection, bc3bcc21e742063001bcce7a86786ac4}
curtains: {curtains, 30296fded4a98bec351b3e68bff8be2d}
androidx/transition: {androidx/transition, 5a9d7ece0eaedfff4051dab6e05c9921}
coil/request: {coil/request, df391d4bfd6ad7e4d6ed6729530b4016}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], e6d217582740c28566931a4b8bd19e5e}
androidx/viewpager/widget: {androidx/viewpager/widget, 03200a12e2f3336051fc6695a9d5e334}
com/google/android: {com/google/android, 9a961fc8a10169c6b4054888ca54323a}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, b1a92f9f01d5d5513c98f8b4019ce7e5}
io/requery/android: {io/requery/android, 9f2ea7d32b4450b20701e6a33b8ba651}
androidx/customview/view: {androidx/customview/view, fdbce58aa24257a9385234e06d1a5574}
coil/network: {coil/network, f6ed09f67c3547cb263a34ac9ba30661}
androidx/recyclerview: {androidx/recyclerview, 1ec345230fcaee80f55b2a8dd5717065}
kotlin/comparisons: {kotlin/comparisons, 83c32c9e9887356d3330e587ef9d9fb7}
com/google/accompanist: {com/google/accompanist, 9ad8f68fd3f72d78ddc5e2e2ea433554}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 32f527f484d004d22ea45c06ccdf3ac4}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
