a6: {a6, be7cbdb840c7630772a31d236575c372}
p2: {p2, 34def76d0afa3c2d81246ec07e11b4ef}
androidx/compose/foundation: {androidx/compose/foundation, 9bb30a728190b20157ce99ed819f3bc9}
t0: {t0, 16e656d7abf7956a4a566d364eb9b98a}
j: {j, 7fd9ec14046bca1666ca92e41dfae211}
c1: {c1, b5709db0fced2034dc47975b5c12e6ab}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, e7318847877018b554cfb580791c2ef1}
x6: {x6, 2297030b41fb0dfea0f0e760937cd924}
v4: {v4, d5de5c188109a4e8ad68b009487a36db}
l1: {l1, b4d14a1f0c4bc2f892b7bc64768f392b}
androidx/datastore/preferences: {androidx/datastore/preferences, dce635b77bf330b4c9e33735740dfa35}
g6: {g6, 68cb22dfeea0c16ad7ee2d4b7cc5b944}
o0: {o0, ea43ef36d3ef26c3cee74fb734cc7e37}
b5: {b5, 46574080e3a67a3332dee506c9e95aa3}
v2: {v2, caccf556b3f9509da681e1b1911d6fd3}
z1: {z1, 78478e615efcc95fe6cd560f0ec139c2}
t2: {t2, 28a6bcf23cc67d27bf15dce633325a62}
w0: {w0, 0c78366b75dbe157980d918b62a40b62}
r1: {r1, 95308a743dd6cd4f37f99329fa5080f6}
e6: {e6, 7bfcd604e70215db2c9911c46ebb2267}
j5: {j5, ed1b43c44cc7f687089cd1fcffde2710}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, d503537aaf971a46b16a08128d57843d}
f4: {f4, 5ece7dd91e56d4950fe482055a6e79e5}
b: {b, f5714ee81c668a99aa96a73cb88af538}
k1: {k1, 9f38d09a587f2826f5620ec086df9ebf}
k: {k, 656b33ac234e8a54ac84e3035ba1414f}
g1: {g1, 6347a593c954c6973a443e56a8364226}
c0: {c0, f9f06566e3204264ec57158e5cdfee6c}
a5: {a5, ba2ea79959b0c4c921bddc240f538f45}
p3: {p3, 82639866050438f9d0abfa5bbac42533}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, fac2a7490bf21424bd6eac71f8fedfa7}
b2: {b2, 41af1468991ccffba70b1075275abf55}
q3: {q3, 96949d779e2d9bb3232b1761876569db}
io/github/devhyper: {io/github/devhyper, 88668a7c9b68fc83135cfd7a27adc99f}
l2: {l2, d3087fed9745f62bcc4fbe0d2a27b5da}
i3: {i3, 4657ed0aca431a45aa9915ab8a810640}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/graphics: {androidx/core/graphics, 638bd26637076a7788acb4eb669c438c}
o3: {o3, c41152a5dca99a14e87e31bf69e69c0d}
m5: {m5, 91044b7ba6d89e2429b817205b88de30}
t3: {t3, 0ffde37eb7cb902333f8a471731aae6f}
j2: {j2, 6fe4a3c2b7b916f990473ea0342fd0ca}
v3: {v3, c173c2efc9f3783c17a39be7c341e264}
h2: {h2, b09c9ade9bc7d14b9c4f60d0676eeec8}
n5: {n5, a709181a31731960f7f3ce6ea0b0244e}
u3: {u3, 6b2058b72e9e86dd1fe3cc4bb2e6c4c7}
r: {r, 8165fabe83b9f4e19c901c9e5aa9ca1c}
z6: {z6, 15b7fcb3cd4cb68023c6ab51269f5c24}
f5: {f5, 1e08810745852db0cb840bd8cd2ff1f0}
w3: {w3, 9bdccf4e081f21887e962ca1b8dc6aed}
androidx/compose/ui: {androidx/compose/ui, 9f9e2f206bdad3dbc293a7dd57d67df2}
d1: {d1, d270d803c4ba74a9a45a8bfe671006a6}
c: {c, b36679ee090137c2bd583d49b573bf4f}
k0: {k0, fd706d9b0175de72e0f865b54080d310}
g0: {g0, fd333a81e7c6c77084dfdcf1c06e0a68}
x0: {x0, a27545c3902ba3b071d770d05c67a63a}
b3: {b3, 0b8bb4c91ad7faf663cb45383ac670bb}
q2: {q2, 6011305615580670ed2a1b32ae0304af}
e4: {e4, 405237beef6c09b17eeea75b77bb08ac}
o2: {o2, f4043651be115953e5dcbb946444926d}
m3: {m3, e9198dd04a4b7872d13a1640c05fc7c3}
i2: {i2, 0d91b57cc15f2240471d75b5de1b3044}
androidx/lifecycle: {androidx/lifecycle, 650bc725d8d7e1bb97abdb96b222206d}
c3: {c3, 03d49d1e37d22a89a1279bd78a1e2880}
a4: {a4, 9c7a04c5889bfe731bf759770706485e}
h4: {h4, fe10b0eb86d813c331532135f576f996}
t: {t, 8c5c0a689ba19efa8dda944cccd9032c}
g2: {g2, 6901fa32c9beba144ddd594d6043f686}
j3: {j3, 6b66dcd2b928f463daf45bf3fcdad3bf}
m4: {m4, d4abe5c640e58bd01fb1df0c4dbd3f5e}
t4: {t4, b9da1ccfec0434f01c8736550b4e5c4b}
u2: {u2, ef60c87f039259f91937fcfa87021ef8}
s: {s, 45600c7ff0c6d83adff165376d4a90b0}
d: {d, 991dd0bda953bdc2e3d00a3d07155ebd}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, e3af99ff7ccd7823dd46523fa4e2dd69}
n2: {n2, 6c2a4ed95b224f0c23a32151d1e06caa}
k3: {k3, bda9c4a17484d9d86791c5963cc47b80}
p4: {p4, 431982fac34556112c18ed0286926552}
l: {l, 2486219d1c10c3dffcd81585db4bdc50}
y0: {y0, 58d792be0b73bccadc41fb72f07f3f2e}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
f2: {f2, 45d8a65595961ba8d55e4d64c489fc8d}
v0: {v0, 495d322cc5caec933c15728fe20885d3}
d2: {d2, 1cf8f06498b86a6471531d517cc7052c}
q1: {q1, 862c0e8b154686c574e74544c856bc33}
x1: {x1, 4524c96ec4de5f459f5251b9dbc8df96}
g3: {g3, e02e3e431e2cc46d76add4c5b68c6baa}
r4: {r4, e5c2ed48794b5b92fd51a9208a8bddc9}
b0: {b0, a1db5f233224656735f169a25757e661}
y5: {y5, 68483145bd4db85fc3b2aa29b820f770}
m2: {m2, 887942181817e108aa2f040afc290739}
s4: {s4, 86aad2e4ad090296087512c4e336f40e}
d7: {d7, 758f45a6efd69ad0bc4be3d68a42ac38}
o5: {o5, 63db0b1172b1685543896e2f887f3eea}
h5: {h5, 1db603c07bed16078b0d95267ebacab7}
w5: {w5, 17392753592ad7c1674760d55bd7804d}
c2: {c2, 2a004dc2492717bf94ca4ca8e792a689}
a3: {a3, babbcbbb12f31fea2345a51cb57c8396}
z4: {z4, b190be47b28585027a3f613017904a53}
t5: {t5, 972ef090d6f7ddb7f9e3587ae2d7464d}
j0: {j0, ca0ae1cc799ba0cc1ebc82ef4dc7d274}
l3: {l3, 1515b49674c94b7acdd5653ac279e5b9}
n3: {n3, a560d25bbb953cd99bda915299fa177f}
u1: {u1, 01d4eb21a173ae72dd5cb77fce5c2a27}
e: {e, 7c2fb463a530f68b99962f367121bc57}
p5: {p5, 1f89834a100bd7f988bd5c7929bbbfa8}
d3: {d3, 1f074a15ebe93c2349a83a3c2af4e818}
l0: {l0, c6371d6467bd84439c58cccadf4b1121}
f3: {f3, 87ba6041cf22f4ae21e45f0d2b3b7060}
k2: {k2, 81ee93b235d460566d8ce88f2f678330}
m: {m, 0ead4e7e648a6084b1d8a4c3ad338811}
e3: {e3, 3dfc808d686cfd672c1c81e23fd3949e}
v1: {v1, 0d8455cca76ee035d3e4ef2232450b55}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
y4: {y4, ba51f3b6cc6878fc855da49d85436f1b}
q0: {q0, 9c209eff9a422256fddc049126221b91}
f0: {f0, b6b16093aaa2807440d7031f0bae234a}
c5: {c5, 67cbdd71420a89a6a764408bb0606aff}
w4: {w4, 03be411e5a297f06402c09c541c66b13}
androidx/profileinstaller: {androidx/profileinstaller, 4317295ad335f1835a7512ac5f17b450}
r5: {r5, fd0cc8e05e4e5667ba357feef16817c7}
z2: {z2, b84cee558468ccd202a6c9c0b4b94511}
o4: {o4, 247e40c611ddaf4768e4117e83e178db}
m1: {m1, 31c7c45d02e94fd39ace689fa64a5608}
y1: {y1, 168e23787206ac02f9115920150e7ab0}
x2: {x2, ddb4cd205d93eb11a73ad2368250c9c4}
v: {v, fb859e99a060afd63d355505d940b275}
a2: {a2, bfc8fa2beabd67ce6b1447c6754d0b83}
h6: {h6, 30a059febd79ab1e270d8f5540972365}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, ce966fe3185ebcf84bea60655d69b997}
u0: {u0, d336cf4290f23d8dfb1e554f3afc33eb}
z5: {z5, a4461f3afdf5d1eb7c54817951e3318b}
i1: {i1, b246bd79dd93814f6dc238e93faac6ae}
f: {f, d826c6da2f1650f6a68708a445e04333}
v6: {v6, 7234b3e993ea1c0dc7d99911aa1ddb9e}
l4: {l4, 824aaa56efcc2ef84f840668c491c666}
s3: {s3, 0fa66b4b68dd4644fc758d2a4ac8cd41}
y6: {y6, 4c355ef9bf09114db0bcdbb93066f7dd}
n: {n, 956df575441bd2a5c7af5ef0e4968858}
p6: {p6, df1d20d8818ba3182ef4dd6d8d556008}
s1: {s1, e7e567c04cc20166246ba792bb419c76}
e2: {e2, f72d05497cfb4581538731c971321cac}
t6: {t6, 5418f5805b598879aaaac848893d45bc}
j1: {j1, 1bc6c3c801162ee7bd436806cc59b579}
u: {u, c0da8eefe55ceae1bce089575cf00ea9}
y3: {y3, f1ba0b324968946cf3deef308a098c73}
c4: {c4, ea9c28ec0d89d5e5bbb963231073d079}
d4: {d4, 63e82b71c3319ee22749685fcf1a7f64}
o: {o, 99de1ccd320f443618970f7899d336c1}
f1: {f1, 3de598e2112c6ae1c8dd751c902187b5}
z3: {z3, ad866ff5e9fce70021a080afd199b8c1}
a1: {a1, 9feaa87882b54857048495b05cb94d42}
n6: {n6, 75faa33c31567a12911c5a47a6c8741b}
w: {w, 9b95135ebff71d535300f96ea0cbfc23}
x3: {x3, 2af4a4b95f585dd7e794d2a4ca4a3b5c}
g5: {g5, edb8ec0e27b07d79b8d9c7bbf9720ba3}
k4: {k4, 001ded1b963f7d8adfa2609957623023}
y: {y, 2cc6b0a6d55a9d69f3614e3ce5ced1de}
g: {g, f9c3eac3c9200743d593397b536ee4c3}
n1: {n1, 0389abff3a8404e6efa6a45cb3c99c5e}
b1: {b1, 8d266179b87c1867c9f6150b503cd425}
l5: {l5, 64854eba2982ac414cb7582cfbad0141}
i0: {i0, b8182bc45075a5b2908c96eb4f68aab2}
s0: {s0, 58fdecb4e0114855c9bd6fccdac992d7}
u4: {u4, 0b55b6661c2e08226ddd660de45118c8}
r2: {r2, 927e991ad3cfe73c66d80c9dd97021b1}
e1: {e1, 4da49e5688ebee1b12ec25d91092b5e2}
j6: {j6, d9b60710f50923ddd27ba7b908341f42}
b7: {b7, 386a056b23f50d1b6db30f06fd13849a}
h: {h, 7c70af2aadf0e04528f25b7c48e88fa3}
d6: {d6, 127c07532cf9e059932bd60deed32f3e}
x4: {x4, f9e4c7fa056d49f92b10bde3d4e15c18}
c7: {c7, 4d8a2076eb771a2bbb440625a4e08ace}
p0: {p0, b4cc487ab3cb022771788b8def73d87f}
p: {p, 5715e61f509ecc7a541bbbeb44e29350}
androidx/emoji2/text: {androidx/emoji2/text, a99c6e02d99708c8e811698f9164b13b}
z0: {z0, dc31fcefaf29e0fe389a079898526f1c}
h0: {h0, 6e967f472c0b84cc7648cd849e5f570d}
i6: {i6, d9b60710f50923ddd27ba7b908341f42}
g4: {g4, 09e2d15d62ddde95738ea21b3992ab57}
s5: {s5, 8a89b340b36613b718d1834acddcd6bd}
u6: {u6, 03f90811b7aa50a5099a1999185bf861}
androidx/compose/animation: {androidx/compose/animation, a00525b3fecb6b05591d03e5e665665a}
m0: {m0, 2293665de58b9176b5d031a2021b7815}
b6: {b6, 9b2a60e8fdfe5503c7ee411c10f617af}
s6: {s6, a2b274b4e32db1a128a76cb61ba74d7e}
q6: {q6, 7b7623a8523f23dd37a88bf5f5b78371}
e0: {e0, 7889546bf895c83853fd3d99095f9df4}
r3: {r3, 985dabbe253a0cea217abc257ca13cce}
f6: {f6, 7721330296042554d2f7bde32e310d03}
c6: {c6, d7303fd184e6e4d9e32962d924dd457e}
a7: {a7, ed1a38465f6c485796d53fd1d64e217e}
y2: {y2, 8deb40f4a8099d6effeddda08dde2487}
