a6: {a6, 1f4784ac56b11b6412413076f54269f4}
mc: {mc, 4b70bdfefe90fc09071f9c75af2a3644}
l1: {l1, 693010edf7fb301c6518b91dee446bf5}
i4: {i4, ac7f59fde7cf45191999db5fa8a2a0e5}
na: {na, 319b63ea85affe60db979995a37d0781}
sc: {sc, f63c16ac8e5acbc7cecef5ff6455ab66}
r9: {r9, cf72f1eb530b345c8f77920c368567a9}
ua: {ua, 1e951a559a19fe8528d7e6cf0300a2d1}
v2: {v2, c2e1df33ea3e59e010327cc3c71f1165}
w8: {w8, f84bb62d7e15998250b46fc83c0c68f7}
m6: {m6, 5cbc79b6b2bc872e082953317832ec18}
r7: {r7, 79d25fd449abfbb97dde1975d68939f9}
g5: {g5, 2e2a18b71697abd226ca317ff7dce539}
h9: {h9, 960ebe6316cfb7918bed4cf0e56bdda0}
u4: {u4, 8dd175675a23269098907311815de3a2}
g1: {g1, 425ad865887215194415da83c792dec1}
c0: {c0, 98fb10a1d55cd8d590273471237bd96b}
ea: {ea, 7b698938c276e11e0300801c41f7ab55}
cb: {cb, 3b798eb9e94d596bdab03b54533e9f9d}
o3: {o3, 35972d704199863547a73fd30071e51d}
o8: {o8, 84a00cf05c6fd5e3a6ae79898e3f5835}
t3: {t3, 5d68f2a224f9960fdbf3cbc8b8ae29ee}
androidx/core/graphics: {androidx/core/graphics, 311a84545562e75afa2b3e9a610a46e4}
h2: {h2, 34701f575fd6c2a594ebf58b414975df}
u3: {u3, 64f91fbffa2e489d2e55c99361953a8e}
c9: {c9, 8a7a5905a61bde0e7cb370d319c4b342}
z: {z, 2415556fed93eaa03094622b288a9ace}
r6: {r6, de2ecf718f2459fee5659bb95860bec0}
s4: {s4, 89b89310a6481c81b56fd8784870093a}
g6: {g6, cc2a36839d908c024b47864dfa268f0a}
b3: {b3, aeea0a4ce2813e8023023619ef84476e}
q2: {q2, f536cd9852d29c6fef629b68c7b5aa34}
fd: {fd, 09c85e0ff2e5a1c7212410ccaef63375}
e4: {e4, b6ce5ecd7e991cc7ca4998594be42906}
ta: {ta, 3db131753b97994697af1f2bb6df8fd0}
t: {t, ac04a89d30d4a24dc33faa10e2d61a9b}
androidx/versionedparcelable: {androidx/versionedparcelable, 567dd6147c8face1090ed622d4a69d4a}
s: {s, cf7297c6435d96b842af8860cc88fe43}
f2: {f2, b69f00e7fbc023cd066f784d2db5999a}
g8: {g8, 7e8aa60f6ad1779b964e17082bcc0c2a}
ce: {ce, bcadafc2862b8b09621871485a08bad3}
zc: {zc, 078c4c46cf010d8faf28ad423c00acbb}
v9: {v9, 264843bcd8b95a56ecb514e9766050a8}
da: {da, 332b54d61bf68ae928ffb7fd0115c3b2}
bd: {bd, 4319645a357dff54baf799f73e73b60d}
w5: {w5, 0d15557bfeff5f882b9b50f599fd189d}
z4: {z4, 8013ce15de0324f8cbfacd353042cca2}
p5: {p5, a957e5b89e950a5ca80a1b07ac9ba79a}
d3: {d3, e35f2a1816620dd99428fb772458c960}
k2: {k2, 86b05007a19414fe631cb5ca81ea3fd4}
m: {m, d0f4099dad0010381344e69237140ed2}
q9: {q9, 80f344eb3496af45fc1cc2e338bbebde}
e3: {e3, a7511304552f8f8b8d9f4da5d90672a1}
y4: {y4, 78fc1776be63e89c02aa44da06aa97c2}
u8: {u8, 96df9cbc0cf8f43d6ae62826a20417ec}
android/security/keystore: {android/security/keystore, c4e9eeb25e17c46354752ac4239a9772}
m1: {m1, 075abfae1a0bdc383ae822b36e2997f1}
x2: {x2, 8d9d79c6153fe370eb26a092a3cfcdbe}
a2: {a2, 814bf841a157595d15ee3172d4c52395}
n9: {n9, 8030e8be766ede4ff1281e5171901a0e}
s9: {s9, cb73a099cb8d14a17744db11270b7f00}
n0: {n0, e0022f45752a95d8ef145738f701b265}
k5: {k5, 6aedce42cba85f40388fdcd21caf756d}
f: {f, a781eee69085f6b469d1ef79bc382dda}
x9: {x9, eb3020264157696f433db5ac8a6a2833}
jc: {jc, 03ab1a21178d7c282f40e277cba29cc1}
pb: {pb, 0973a141c383ece4bef199aba580ebef}
androidx/core/net: {androidx/core/net, dcc6de5161752d18e30169f090b592b7}
net/i2p/crypto: {net/i2p/crypto, b863bc18f97f3d211b6bf894360db0c8}
j1: {j1, e4ef9220633e33ec7744828e633da45e}
m8: {m8, 624feb19eed30b3247434325b2041376}
a9: {a9, 393ed4bd8af9f584f92584aabcaa666a}
h7: {h7, 36e84f3707891560b49df7441e9d5c4d}
f9: {f9, 3247c7440eaf439a5acce0e169384f42}
ee: {ee, 8aa1ef8aaab23e501395c7b805b81dfe}
i7: {i7, a5623c5b6845ad1052af100bf549623e}
nb: {nb, 69d0a0f291fcf1a7d62dbaa9565f4a9a}
u7: {u7, 15ee081e7ebd4d1d0b8c48d3c526340e}
v7: {v7, 2cb706132ec4c7a59e0bf32cabfbc59c}
l5: {l5, 201f5a8aa69ab82c7a47872715a57dce}
i0: {i0, f12660d9287e7ed5c0475e2b0185364d}
s0: {s0, 222757523c67bfcde1d82d69adb0469d}
t7: {t7, fcfce6b46f15eb1690939b3db0e198b6}
kc: {kc, d4b2e12a068f02b083a13420989dc02e}
b7: {b7, 03e79b6d2745732616f1b8202c663e1a}
gd: {gd, da366df92df51cd3822403e574eb900e}
c7: {c7, 4e8229b450b794d32bcda25c1e43bff9}
p: {p, f6e8ef2289a1dafd3055abfe80db957d}
androidx/appcompat/widget: {androidx/appcompat/widget, f500ba7c493e146871fc096083d7265a}
e8: {e8, 5fa3cc830afaf1277e47d9c5b238472a}
e: {e, f616b40cb15babb682fa51d28fdda3bb}
lc: {lc, d9cf7a650bfadccb8d6dab1f62169bb4}
he: {he, 2d55bf2315ea062eba74d4b7a739c827}
o7: {o7, c0a645e1f2b89d9c3239f5bdf275e569}
org/eclipse/jgit: {org/eclipse/jgit, 05e42fd8219e2570983955785d502908}
t0: {t0, 87eddf4825ddfaa679dc30657c9fb8bc}
ca: {ca, 046ff3c04a638706e45c137a4784eafa}
r3: {r3, 510479f160f26a8a55d28aa375c880ab}
de: {de, 677e65ae5e6cbdb7d82bbd71ef25d82b}
com/fasterxml/jackson: {com/fasterxml/jackson, b2d81211e5ec0245bc5e31397457a745}
i: {i, 61fae7730ed1714eae9b290df40e3912}
p1: {p1, 779d42b0c5beee6e532600abecb7ae2b}
d7: {d7, f10d6eb0c5fb974a08fb987a42cf8c15}
ic: {ic, 3523980fd54c33cbdd17fc47525ef46c}
q5: {q5, 9e3aae9254e746789811b02f60e557cf}
e7: {e7, c6b46ea60e1e54c6c19ffacff5cf1769}
f7: {f7, 915ed3226fdd703bf8b07ca7553a75b5}
qc: {qc, 980b8140ccb6c9dc45fb4eaee6d41001}
androidx/activity: {androidx/activity, a417e12b170c43778f8693a837adf1a6}
k8: {k8, b07ce47b1bea50425b167557153ffaf7}
y0: {y0, e514d1b7962c8eaab50e0492628df1cd}
y9: {y9, 9f36030fdad270883a074927074fee16}
com/google/android: {com/google/android, a2ada6029c139a52e27e5addf9524def}
z1: {z1, 9d519d1a22e79d7985ec469d43d6e483}
ac: {ac, 91fd7f86ed5f047ac5f34ed6885e5a6d}
w0: {w0, f589d42fcccd0eba5d111f9b8b58cf95}
ba: {ba, e3ad1d5650c799907aca626c1621462c}
j5: {j5, 2930a68a4735ff7a7b5f80a15c46bbcf}
ia: {ia, 5ee7a27c5e137c8f1d201e15e17e133d}
wb: {wb, 995f7d15726905ea709e8de5ea8035fd}
d0: {d0, fbfc0e08c1827338be0ede4598c602b8}
