androidx/appcompat: {androidx/appcompat, 1b9b07ef502dc20290cbd80dd9d3e3a1}
kotlin/collections: {kotlin/collections, 57a25550f05f54c4e10195f2d436ae01}
kotlin: {kotlin, 6f1f522b5ec4b06dc5f457268266e74e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 06397e25a480a405fd97b09b27bd4ebb}
androidx/core: {androidx/core, bef2847ad79dccaa20bb589db5c1cca0}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/lifecycle: {androidx/lifecycle, 59dbab13b994c276f0bfc28e92834858}
androidx/fragment: {androidx/fragment, 17a2c42c3331e23363a2ab3510a1a6ec}
io/paour/github: {io/paour/github, 8d4035e748a1fecd98e896177c8a9260}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, d52839969020df2d7f8e3b45349acb28}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
com/rectanglel/pattrack: {com/rectanglel/pattrack, a0e9c6f71a9fd8c2521b04f743cee4c5}
com/google/android: {com/google/android, b7d97f7218afb4ba193934862a3b7b8a}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, a952b343d690383f3ee60ba02fa68487}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 551ca1f042e7539449a9840c2184f4e5}
androidx/collection: {androidx/collection, 6352c880c22a7f7c88f96cb67b36fd45}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 16ab9d71a9a1df94c2301f0fcc9a2735}
androidx/transition: {androidx/transition, a14738e1455b5d72dcb7e53a8eee8afe}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
javax/annotation: {javax/annotation, 82b911acc1b19356cc7489e3f1857dd1}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
com/google/gson: {com/google/gson, 0edbd72a7d3aa5e0eb892f62562f0aab}
androidx/drawerlayout: {androidx/drawerlayout, 13b0ce6591d9407df66c1e26bc5074a2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, b50d78d9e4f5719109711a9c68a99760}
com/rectanglel/patstatic: {com/rectanglel/patstatic, 6f021828968f05ddf0af9828659a5f06}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
com/google/firebase: {com/google/firebase, 474452e1cd506d4c6788c44171e0b30a}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2b292122177b928f5d4e5659f93a6fdb}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/palette: {androidx/palette, edcd44eaa1b894c0d5017c54fb87cf79}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 5e728bd2add31b53e4a8f6958878e0a9}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/mediarouter: {androidx/mediarouter, 6a3ae9e88139a4ca53415c91d66e8f27}
com/github/pwittchen: {com/github/pwittchen, 2ceb0171f98638a5ad7b644e990479f4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 16fd09a97e3d64ff12fb18f8d25161f9}
io/reactivex: {io/reactivex, 29caea7ec46ae378059b883423c79823}
com/squareup/leakcanary: {com/squareup/leakcanary, b9c9b7baa7cda2b4faa02cca1c8dae69}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, a8c67123c11fb05be161064dfea41fc3}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/recyclerview: {androidx/recyclerview, d75e0ae0b2bc4fc68f166607b92768f2}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
androidx/customview: {androidx/customview, 3107d0b0d27f2a9b8e527d1114ff08b4}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 7d4eb1c60bfb8702e2e9e7d9e79c83dd}
