rx/observables: {rx/observables, 94c2f590279e71b453720f1e7d8acc55}
rx/functions: {rx/functions, ab98c80c960ea3ea30f14771fbfbe146}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
rx/subjects: {rx/subjects, b2354f1d7a2e8292cc57128ba57958dd}
rx: {rx, bee7b818413a783403d4a5e2e5475038}
retrofit2/converter/simplexml: {retrofit2/converter/simplexml, 6ef3c015779dc83c948cdf581d2ba8af}
butterknife: {butterknife, d79fe9fcbcd155c77e5ef568692ed86e}
com/dmitrymalkovich/android: {com/dmitrymalkovich/android, 45eb202656d55045c5b0b1e44b8131c5}
rx/subscriptions: {rx/subscriptions, 14c598ec810ec64849a3439d94ecd092}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
rx/internal/operators: {rx/internal/operators, c57729b3c20b1dc0e73da9924cd8dd62}
android/support/annotation: {android/support/annotation, 6b4884964d4af32baf1d83f6452560ea}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
st/lowlevel/storo: {st/lowlevel/storo, 79bbd5fd341cde198855cb6014618192}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, ad9371d924bcd2ca38648d8f3dcd0aca}
okhttp3: {okhttp3, 6e3f22ba3f5a466e05233c319742fa22}
com/ocpsoft/pretty: {com/ocpsoft/pretty, 2e6e39265f5880ef8962310e76df2c90}
rx/observers: {rx/observers, 5102faecf4867fb6bec8cdd28b7ce558}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
uk/co/chrisjenx: {uk/co/chrisjenx, ae74b52a495f99aab9222b1dcf4e6961}
okio: {okio, 4004cd8b4d23454c52d3569a6847f366}
dagger/internal: {dagger/internal, 939e2bb2b823a9b0fac2303aa2df1122}
dagger: {dagger, 178a3f8fad8bc2adb663c9ca1cdaf1a4}
android/support/v7: {android/support/v7, 24dfa8b839784d23a12984824ae97a9c}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
butterknife/internal: {butterknife/internal, 03b7e3102a00cfd249972aa7db8341e4}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, 8c3e825fe50c17f1e20d031f9c4a7c9d}
rx/internal/producers: {rx/internal/producers, 13dd81a65f0052963f093dbd41ebb372}
me/grantland/widget: {me/grantland/widget, 5d086ea79a8ee565a678fb232b2f1a44}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
com/jakewharton/disklrucache: {com/jakewharton/disklrucache, 5754041aa329707ff68754652933bf7c}
android/support/graphics: {android/support/graphics, c71b94418434ed23175de266d881adb1}
lecho/lib/hellocharts: {lecho/lib/hellocharts, f6ed1be9cb68a53e689fa94db6fe83d0}
rx/android: {rx/android, 484c32c28c204374b21f4924e6fe5feb}
org/simpleframework/xml: {org/simpleframework/xml, f8aa9b693cbcb8ee92cfe09520c4e9d1}
it/alessioricco/btc: {it/alessioricco/btc, a25e4d8dc82f59c3beb1aa21818b48a4}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, 65bfd6bccbe4a7a12c47fb4be1eabcb0}
org/apache/commons: {org/apache/commons, f27785db1d33d36f7beb3156d4ddaba9}
android/support/design: {android/support/design, fd2ee26497bda884e4e31d5d5910ec9b}
com/google/firebase: {[com/google/firebase, com/google/android, ], d6737e47c07b59ac87ef2d9cf6c8ae65}
okhttp3/internal: {okhttp3/internal, 86cdd63ae88236a0eb267b46ef2a73e2}
rx/internal/subscriptions: {rx/internal/subscriptions, bbed36c701cbd873e272d4a81656906d}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
rx/schedulers: {rx/schedulers, 8f1b2961ad7c3f5f22ec7739fe895d1e}
com/google/gson: {com/google/gson, 8e15f1d4d45af944dea2d3fed944381f}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], b03916fc639ad9eb8df8e48ecb5176f0}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], a510073410efb6d4ecd6f4405a41baab}
retrofit2: {retrofit2, c5055413c0f6f3e845dde191737dfd5c}
