androidx/appcompat: {androidx/appcompat, f08e0d4f0fd6b87f57938b0147b5fe21}
e/a: {e/a, cfc372a4d0d46af256863721980cdb73}
androidx/activity: {androidx/activity, 43e664c59a6057c8707a2f8662a72cea}
androidx/preference: {androidx/preference, d7bc4c53da84ab53c8a4319465a475d6}
g/a: {g/a, f6301cdd07d3e6de67c44e2c5741f5f4}
androidx/vectordrawable: {androidx/vectordrawable, 99f4d512d70bac79e3424d7c06cfd808}
com/google/android: {com/google/android, 549278262ce41bb109d516e94e7a8c22}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, cd329a9679268599f47e9fb041c21efa}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 0dc194edfe86a7421eabdc3bbc87e01d}
androidx/cardview: {androidx/cardview, 2022ed47280e46575b0a1478cf506459}
k: {k, 8b1c6f6d03bf46ba0b3fd907a7e72cf5}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, cbf50293ae2ae007ed9870c04606b0e4}
butterknife/runtime: {butterknife/runtime, c675d54c5e9aa81075651fbe39cb0d83}
androidx/palette: {androidx/palette, a6fcfe36fcf6395c4700f31ce433267a}
m/a: {m/a, 774a8e0d33c09c133310326f8afd7a40}
com/anthonycr/progress: {com/anthonycr/progress, 426c4376edd61f5ebe09764ad6672ed2}
androidx/savedstate: {androidx/savedstate, 9da1a55afc9065700dd8b6d552575f71}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2e950e5ceb72ffd5f33332280ef99567}
i/s: {i/s, 0be65ee83fffe5071ea75999df0058c3}
kotlinx/coroutines: {kotlinx/coroutines, 8d716add16592c2444b5ea96529cac19}
androidx/startup: {androidx/startup, 3d26cb5461ee7981a2a31881bd3c6948}
androidx/databinding: {androidx/databinding, 8270e49e87f97111f6707428c77390d1}
j/a/a: {j/a/a, ea40bfdb05507f033c02ed7fea6a184b}
m/b: {m/b, 25def95552e9a941ca7a0a5c0119b45d}
androidx/lifecycle: {androidx/lifecycle, 5e1a51719ee08eb972244a6b18579b81}
com/github/ahmadaghazadeh: {com/github/ahmadaghazadeh, effb21937b8a1e6b3cb823405adf9967}
androidx/versionedparcelable: {androidx/versionedparcelable, 6b684b86138cc212c1f0b3f5a8a017ac}
androidx/core: {androidx/core, f51d2fb2e78e36e0ce106c473eade0a9}
i/t: {i/t, 618d3302492d307686a9c1960dc81d52}
net/i2p/android: {net/i2p/android, 073ea529d4ef2e6e1239dc94265739b4}
androidx/transition: {androidx/transition, b6b3d0437efb7dee5d6b8e59f5319c67}
l: {l, 7978fdf195156b47f70938b083e4d60f}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, c675d54c5e9aa81075651fbe39cb0d83}
androidx/legacy/widget: {androidx/legacy/widget, a7398e968b7866769a932f3dacf7b3bf}
androidx/media: {androidx/media, 090829b47527913f119ffd0527800a4e}
androidx/viewpager2: {androidx/viewpager2, 1cd9b8d225dbfe5629c3bff79a889a62}
j/b/a: {j/b/a, 2b40686ba4f40b0fe3a14f5fb0292c5b}
com/huxq17/download: {com/huxq17/download, 96bb9d51c9e02ca09f2e3ecfde6218f8}
f/a/a: {f/a/a, 42887f8e5e89bd375de105b8805057a6}
com/flask/colorpicker: {com/flask/colorpicker, 5de12463b3a0ae1a92d8cc3ea0aa9b9a}
c/g: {c/g, 7f73b51291505815e8ad38ee0d60df1c}
androidx/recyclerview: {androidx/recyclerview, f0717ce96064209b7e77f1a924ebf41e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, a81f3e9903ea40a205d70dc8ca2ffeee}
androidx/dynamicanimation: {androidx/dynamicanimation, ad716492443f151723ab390255fbd2f9}
butterknife/b: {butterknife/b, 4ce682a4180044e6b43e84f016f7a9ad}
com/github/appintro: {com/github/appintro, c4caf9cd0fc0d62632629a667e7913d3}
i/n: {i/n, 3460c5711496bfe49c5d399592dec91b}
androidx/loader: {androidx/loader, eb83e698a2554e6de8e96c1c339380fc}
k/g1: {k/g1, eb388bfce9bfa17cfccc67f9771fa0c2}
i/v: {i/v, 4c7db733065d05252e9587138415ec1e}
com/anthonycr/grant: {com/anthonycr/grant, af52633cf8763e2c6ec5b087d18c122c}
c/b/a: {c/b/a, b850ad22739d360e2a45efff5833411c}
