androidx/appcompat: {androidx/appcompat, 34f9fc632ca4efcd167b0d691eb57a2a}
com/nineoldandroids/view: {com/nineoldandroids/view, a037ba072c9815ad897e4dc70b0ba7b7}
com/codetroopers/betterpickers: {com/codetroopers/betterpickers, 69d337bac9a7ca19096e657b175a076e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 5d7981c33b36b636cedd343eb5b18edf}
androidx/profileinstaller: {androidx/profileinstaller, 4e56b12b69c8cfae23b7689c754267f3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, a349ce107b7b595201886cfd19df76d5}
androidx/lifecycle: {androidx/lifecycle, c81231b5a258cba430232d845ddf30bd}
androidx/fragment: {androidx/fragment, 22e6909b3dc2fb16e9ce99b2587e1c8e}
com/github/mikephil: {com/github/mikephil, 8276bc9b167d36834e2fa59d3218d673}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/loader: {androidx/loader, d94f170e8451705a38269dab6d31ccc3}
androidx/vectordrawable: {androidx/vectordrawable, 1db4a5557a0b9f9cae9a42d2424c478b}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
androidx/media: {androidx/media, a441177e15e109d96431c38632225902}
org/jsoup/nodes: {[org/jsoup/nodes, org/jsoup/select, ], 020eb29b524d7ba672d9d48bc72db455}
com/google/android: {com/google/android, 7fb7227041790c39de1665e5d56bd7a2}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
com/nytimes/android: {com/nytimes/android, 4dabb72a97a5b28f8b2cd7d6a87cd6d2}
androidx/versionedparcelable: {androidx/versionedparcelable, 66a70a6cb13c2bf2b603d6c9939f9ada}
androidx/core: {androidx/core, cdb7c6ae28384c380e4ac264b80134c9}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 878886fa2f258816e077a736d6671af1}
androidx/collection: {androidx/collection, 2528789832a953d3709973c77f9d01ed}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/transition: {androidx/transition, 8465eb3a4dedbff3009b948822a06fe1}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], b26d2a4bedc3a379d20eecacb31dd934}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d00a431e9658dba410e10b0099c531e9}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/google/gson: {com/google/gson, 5c61a3cbbd15a821cde9c51c3f79837e}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/viewpager: {androidx/viewpager, efc51d439ea3c860e923e457349ff8e0}
androidx/exifinterface: {androidx/exifinterface, 3813a00bb826073982f5380557bd6807}
com/gelakinetic/mtgfam: {[com/gelakinetic/mtgfam, com/gelakinetic/GathererScraper, ], 89dfa7c2c672f32cdd82b0cbcf20c192}
androidx/emoji2: {androidx/emoji2, c73d1310861899e0555a1a1d9daef4d6}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/woxthebox/draglistview: {com/woxthebox/draglistview, a4354aec1f88c36a9d1f7911cce501ca}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
com/astuetz: {com/astuetz, 62879cac83c1032cac1552c57a5f0b27}
com/github/machinarius: {com/github/machinarius, 22dc7f312120c9cd044b141ee3f522e7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 4b2c6687dc821ea6fcd9331e909e2275}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
edu/umd/cs: {edu/umd/cs, a034723234d5768e2681ebb60a92fcdd}
com/tokenautocompleteexample/example: {com/tokenautocompleteexample/example, 6e377423de9f57bf01abaecedd7d49e5}
androidx/viewpager2: {androidx/viewpager2, bb3c8f13952d5140a3db8d559ce04a85}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, ddb3c93b2459a8399f8b58957d937354}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
com/bumptech/glide: {com/bumptech/glide, 3b3ece9ea221ecf7f4b2960898179d40}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ca889748a4c6b0d0e8512f7fcd30ebec}
io/reactivex: {io/reactivex, ec07c77864739abf125a7811c2ea63fc}
