androidx/appcompat: {androidx/appcompat, 304076f0e5ba857c99bb9f4872b07066}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/percentlayout: {androidx/percentlayout, 8a3e295177efda0fc47a83ce20fd97f4}
androidx/activity: {androidx/activity, c62a5b633f681b7fbcb240ab88a1dda8}
butterknife: {butterknife, da31ad788e95fa95ee010bf24bacbcf5}
androidx/core: {androidx/core, 1e6f705c25890e19654b524d9a06d862}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, e49f469965a426ffb5d30f81f4adabce}
com/kabouzeid/appthemehelper: {com/kabouzeid/appthemehelper, 58fd4256dcbed2e8761c077fbd251b2d}
androidx/lifecycle: {androidx/lifecycle, cc253ffdd94546f52c1d49b70d68f40b}
androidx/fragment: {androidx/fragment, 4059883ede38b739b14cd382ce261cdc}
com/maxfour/music: {com/maxfour/music, fa1596d8b82efc2dece0989dce227a33}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 74ebd2dfa440ca7ae7dfa68501442b54}
androidx/loader: {androidx/loader, 0afb60a7f634ccb19834312ed544562b}
androidx/vectordrawable: {androidx/vectordrawable, fb27d5c85e18dae632ec1b4ce19a6021}
androidx/media: {androidx/media, c403c78b1b3ec25d94d4e6bd9b9daac7}
me/zhanghai/android: {me/zhanghai/android, de57a9ed99be8e625d596699d7f96b65}
com/google/android: {com/google/android, 9031f612a08e1631bd07e38d7c367ddd}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, caa179df0f1c9d129901b703535571f9}
okhttp3: {okhttp3, 624b9e1c4b67a87ad7921a8cd1a3c6ca}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 22f1494beb0f8391f4ee42733540fabc}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c4514a5acfef04a1272d808c465571b6}
androidx/collection: {androidx/collection, c13be941f7140aff6586fb8ee54c1931}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, b87e4c81687cb5cd9a264f309fd9a1ac}
androidx/transition: {androidx/transition, 63ed5958cf69b795a4a1c2e7749d509c}
androidx/cursoradapter: {androidx/cursoradapter, 6e7c3c1391c5e35bc2ccd98c5620cf59}
com/triggertrap/seekarc: {com/triggertrap/seekarc, 3231342d8e5a737760c004213fe35812}
androidx/cardview: {androidx/cardview, ca7f64dfc3af349b258e07939635b358}
androidx/drawerlayout: {androidx/drawerlayout, fb2c4583de6f2deae5c509d276e9e2bc}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 6f8a35949e8913811b9d49103bf09af0}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, cca0227b0b0ba451b2b0f872e0c77f7b}
butterknife/internal: {butterknife/internal, 938ab5a13d5d878dd8e8125bdf5a21ae}
com/github/ksoichiro: {com/github/ksoichiro, 8fcecd921180a2f3fc003d25cf5b9504}
com/afollestad/materialcab: {com/afollestad/materialcab, 08257e1f7b3ab72ea4f5cf9a09c7d8cb}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/h6ah4i/android: {com/h6ah4i/android, bba9c24aaa0e56e3e6e66f6fb694cbda}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d1347f21b6041e86be7a120020a0a04a}
androidx/arch/core: {androidx/arch/core, cb6098278b726422393937c212f3aa34}
androidx/palette: {androidx/palette, 2e3f4a831c61a99436078c9439bbe4b1}
androidx/viewpager2: {androidx/viewpager2, 9c1bfaa4aa12dfc26d61a86984d58e5a}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
androidx/savedstate: {androidx/savedstate, 6d811ab3f67a3b713d212fc8dca2a4ba}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, 0fec0d2cee439a3299c679feb4c26fc7}
com/bumptech/glide: {com/bumptech/glide, d8b029a182053bea57cbf594c1461acf}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, df2c683be55d05fbe3c110eff28f8a1c}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 624cd14f9ab06a2506d2967cdab3da41}
okhttp3/internal: {okhttp3/internal, 8835966f940b89eb0f99309d948c226f}
org/jaudiotagger: {org/jaudiotagger, d68805dd8606361e8b53161a643e94f4}
de/psdev/licensesdialog: {de/psdev/licensesdialog, a7b710dedde411ce96a46f44261b13ff}
androidx/recyclerview: {androidx/recyclerview, b3ca99370ce0ee06a8fa398d3a785c32}
com/google/gson: {com/google/gson, 4e17ee50f7a01d4e09dc71ea56121778}
com/sothree/slidinguppanel: {com/sothree/slidinguppanel, 5ee14ed52b7a3c59bb88119516cd99a6}
androidx/customview: {androidx/customview, ef405519ffcfe2b9198aae41466a8f7a}
okio: {okio, cc678d48769463c81b5127bff07fe7cd}
androidx/annotation: {androidx/annotation, 8c32c1f05f70f004e187bbab685b6cf7}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 0bffa2a87dc09fe30a4b1770bee3ebe8}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8fdccdb507ddc510ed336d339c06abbc}
androidx/databinding: {androidx/databinding, ca88765a09b6fea0068d509ed573861e}
retrofit2: {retrofit2, 30a3bd836aadca7d8049949694b7fe9d}
