androidx/appcompat: {androidx/appcompat, deeaeadaa087785fd848a72a7b17d30b}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
com/nineoldandroids/view: {com/nineoldandroids/view, 602185b4c4833499567dd5374dafec21}
kotlin/internal: {kotlin/internal, df2031c6f8ee72a9cd703f1d3cb17969}
androidx/activity: {androidx/activity, 2a0c4b406fece4cdf6cbe3a96df92d9d}
kotlin/sequences: {kotlin/sequences, ecfda60b1863d466f8924912bfaa90a5}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
de/greenrobot/event: {de/greenrobot/event, fa4cd8c1fb92212ad9e2fb972b478549}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], b511437856f486ae3573fb07de5e7460}
kotlin/math: {kotlin/math, 603d70413aeba34eac618d7d763b8009}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 16ab9d71a9a1df94c2301f0fcc9a2735}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9dd98521499b9f020a39069a5e3777de}
kotlin/random: {kotlin/random, 85a35a8fd112aeca61eda6b6226c227d}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/pierfrancescosoffritti/androidyoutubeplayer: {com/pierfrancescosoffritti/androidyoutubeplayer, 919b446fba0107a0f748ad17e46460c1}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 83812e2748e22f2d8a066a85d6a7244e}
kotlinx/coroutines: {kotlinx/coroutines, 7dee174e83c81884daec631ef5cd8671}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 55efb57ec3c5ce79c47619ee771ed085}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
okhttp3/internal: {okhttp3/internal, 041d58d849cca01542f460715817241a}
androidx/lifecycle: {androidx/lifecycle, a352661c977400db3bf3fc6ecfc0935d}
kotlin/reflect: {kotlin/reflect, 90b1d2f6b5f45a09f511b6f4f8889ae7}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, 19953805fbd71ac1d17c3f8938588623}
androidx/core: {androidx/core, 76583fa9ce164374088fced51ff4b2ae}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/transition: {androidx/transition, 00086a3518fffac2aae2f9f759e372dc}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
