kotlin/collections: {kotlin/collections, eaeb3996f1f9a22ba15aa184edb2249c}
android/support/v13: {android/support/v13, c4a986e78feecec86d67974e481465d4}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, 2af79b5f9cf4f0d1ea7f8ac40c82ba24}
kotlin/io: {kotlin/io, 050c7acece6da49998ec1a7f57b88149}
android/arch/persistence: {android/arch/persistence, d5f92e61ecb5f8199527f5c475a837e5}
kotlin/internal: {kotlin/internal, 9d4e60615671ae945bae967091853885}
cyanogenmod/themes: {cyanogenmod/themes, 26e209388c99d6181dd8aef284b9a26b}
kotlin/contracts: {kotlin/contracts, 5f92cb18e7c1f92c099e059775f8c3d3}
kotlin/sequences: {kotlin/sequences, 1c91dd9632217b1283de798c47365b67}
cyanogenmod/util: {cyanogenmod/util, 2d51039a45c4fd86a8775e9ff489e868}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
cyanogenmod/power: {cyanogenmod/power, 574d79a3f37112e38b978391dd7dac9e}
android/arch/core: {android/arch/core, 9305e354a227811cd3f4041ce0988f38}
kotlin: {kotlin, 1013a2974bfd5d54870ce758d74453cb}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
android/support/annotation: {android/support/annotation, e091e134bfdf6e3b83362c951c47705e}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
kotlin/reflect: {kotlin/reflect, 9f4fb51efe5005cf907c69d1bcac7ec7}
kotlin/coroutines: {kotlin/coroutines, f331e76689575acebb5d1e15bc39b3ff}
kotlin/math: {kotlin/math, cfa0fd3c5ea7a1d17b90516bf63e01cc}
kotlin/text: {kotlin/text, 20d010c95b92dc207cc49270d5f920e0}
cyanogenmod/media: {cyanogenmod/media, bcf6e8e3b9a375fe3da44cff07d62acd}
cyanogenmod/profiles: {cyanogenmod/profiles, e79c4368c8a6f3d7399006f105c2507f}
okhttp3: {okhttp3, 6a4ec629e30e5b274a98fb1fb6b77ba2}
me/relex/circleindicator: {me/relex/circleindicator, e54e1c5f0db1909469d8059d9a620ce5}
com/hoko/blur: {com/hoko/blur, e529f76ce3ea3ebfa5be1acfb46b8d59}
com/google/gson: {com/google/gson, 2c44b50576f93fa266eb0398dc0b13a3}
kotlin/random: {kotlin/random, f219489a4f9e3f8328cd1b78c50fac40}
android/support/v8: {android/support/v8, e7f05722691800f4739d0cc64650e6ae}
cyanogenmod/weather: {cyanogenmod/weather, c95ffaf31acbbaeda41e3aa416d30cf6}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
android/support/v7: {android/support/v7, f779bb8cfb925b79071c18c78ad2001c}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
foundation/e/blisslauncher: {foundation/e/blisslauncher, b63c4efc416cc57924f3683e40416b29}
org/greenrobot/eventbus: {org/greenrobot/eventbus, f93f6aeac069170a9b64d356fa2f8009}
cyanogenmod/content: {cyanogenmod/content, 542dd9699021b2a489ba6c7d8f6e4a23}
okhttp3/logging: {okhttp3/logging, 1b793fcba17c19cd84566e9a21f76518}
cyanogenmod/app: {cyanogenmod/app, 2c1a733656cf45b98ed099a8df7f1e55}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
cyanogenmod/platform: {cyanogenmod/platform, 93216a554a474499f07a02ed135646de}
kotlin/concurrent: {kotlin/concurrent, f6a2ebd7b44474a17455d7a8aa2bc966}
kotlin/jdk7: {kotlin/jdk7, c01eb30731af9c7f20a08f9240b0384c}
cyanogenmod/os: {cyanogenmod/os, b6e19f45e7da9a9da6218096ec2cedcf}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, e2411abd2fa2fbd3ea8af7f5b24d1996}
kotlin/time: {kotlin/time, a9f977bcab10818b4b98b6841920f899}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
cyanogenmod/alarmclock: {cyanogenmod/alarmclock, 2264bc8718bb326d161bb7ab4cf097c4}
android/support/graphics: {android/support/graphics, 5dea259e0a45b82fd54b17feeb7c426a}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
okhttp3/internal: {okhttp3/internal, b32aa954b4df3510eb3063b5c3d416a1}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
io/github/inflationx: {io/github/inflationx, a87151e45a4bb45350ecc0138b43a9c0}
android/support/design: {android/support/design, ef44199324816c145f5cc7d927617632}
cyanogenmod/providers: {cyanogenmod/providers, a54e2cb4403df133e6e87497a921c350}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
io/reactivex: {io/reactivex, 1f66daf9d350dc3c5f00738721b23b2b}
kotlin/ranges: {kotlin/ranges, 32be54130ece01199905a68ff5424b69}
cyanogenmod/hardware: {cyanogenmod/hardware, 2796bbe4dd5923e0b30f46d8f3c2a73a}
cyanogenmod/weatherservice: {cyanogenmod/weatherservice, 2277e04e8601c231c3bc6df51ba54bc4}
cyanogenmod/library: {cyanogenmod/library, 72cf9d6c28032dd70c4844e11a779c01}
kotlin/comparisons: {kotlin/comparisons, f749b0b0a76917568f86d12a64406dbd}
android/arch/lifecycle: {android/arch/lifecycle, 5921401aaa0e00b0448370b85f9fd7b1}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
cyanogenmod/externalviews: {cyanogenmod/externalviews, d7baaab6492dbf82c6a9e43f3ef9d75a}
okio: {okio, 5f18dbe4a4053df4be525b78c6e54c17}
org/cyanogenmod/internal: {org/cyanogenmod/internal, fe7bad643776345319f7f2e7077296e9}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e6aebf6bbc6407dfc877124558bcb61f}
com/jakewharton/rxrelay2: {com/jakewharton/rxrelay2, 665388d8cc65ff81c17655ba162528fa}
kotlin/jvm: {kotlin/jvm, 3985db286bedeb930630afa75a5c4e47}
retrofit2: {retrofit2, 94b218b251cb9bda655003fdc338fb61}
