androidx/appcompat: {androidx/appcompat, ee2e325b1efb4061508980314d467f1a}
coil: {coil, 230159602d0b9f1e859f1c2ea80cf84b}
coil/fetch: {coil/fetch, 9b480af87d7e16adcfb1ed7f5d6be28f}
kotlin/internal: {kotlin/internal, e668f37e7b232672e8e34e70c4219433}
androidx/activity: {androidx/activity, 5d86da2e568eb0f50b658dcfbf4cd36d}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, a349ce107b7b595201886cfd19df76d5}
androidx/preference: {androidx/preference, 00150cd2befa349e37ebf25b7af22ced}
com/github/pengrad: {com/github/pengrad, 96b1ba9e20b1cb9b585b4f6278c64eef}
androidx/vectordrawable: {androidx/vectordrawable, 90c4d83a23922da86b6745b7b601c54b}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ae907ea36a17d9237c7167b7dee8b3d1}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 01a5d47f8d719113f1dea0218f40e324}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
javax/annotation: {javax/annotation, 53d0cf1e663261087e057f9ce5ae8ab7}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/airbnb/lottie: {com/airbnb/lottie, 9066f95fe521a8f31235b71405548651}
coil/map: {coil/map, af60b22996483fa0a3d0ef2fc6e4a441}
androidx/security: {androidx/security, 4106250611915ee3492bead295e59d34}
androidx/emoji2: {androidx/emoji2, 573277c5902c444cbd9477ced31916c3}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, 66fe3e2acbb533824ee7364ce4b5e5c9}
com/stfalcon/imageviewer: {com/stfalcon/imageviewer, e7932b127553e50652c2d41e14ca13c9}
io/michaelrocks/bimap: {io/michaelrocks/bimap, bfc968821aebdedc3443f825654ad4e3}
androidx/savedstate: {androidx/savedstate, 5c9fd5cc47bb9750aca2d1d6055218f0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 40153ee88c1c8e6c65fdf83ca79e9ed0}
coil/base: {coil/base, a22bed6f5e073d23c03afac473510171}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
coil/intercept: {coil/intercept, 9509ff34fc99c598652bb17559a9aa35}
androidx/window: {androidx/window, 7aa5e92a8afff43bae147c7c0e5771a7}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/databinding: {androidx/databinding, 217c8f3a80321f1bf5b4d64377f7e240}
coil/drawable: {coil/drawable, 73ad649e7b32bd4e3299b8536c5e788c}
androidx/room: {androidx/room, 115abe9bbd1870da6f4e5be9ebc26990}
androidx/sqlite/db: {androidx/sqlite/db, fe9048186dd6595f0423a781aa976c11}
androidx/lifecycle: {androidx/lifecycle, 0b9d980abd30891a9ff5725656289584}
kotlin/enums: {kotlin/enums, e8b71a8f70199176e3ae15afadeec0fb}
androidx/navigation: {androidx/navigation, 8154c422a5d5e06900fca01dbfb99086}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, aa7df110c36807aad97defa2e4f3a21b}
coil/transition: {coil/transition, c2de3babeed1f93d280ba3921aa79add}
androidx/core: {androidx/core, 97a80526fafc06165a27dbd4387f39b9}
androidx/collection: {androidx/collection, cf215e3efefe8784544d5a3c49fec089}
androidx/transition: {androidx/transition, 9f3554f5b59f818d628e17e15d0c33b9}
coil/request: {coil/request, 4963e71410974436276ddc93a0d0fd27}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
jsonapi/retrofit: {jsonapi/retrofit, b88110caff332714bacaef222afe746d}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
androidx/media: {androidx/media, 45125b05ba682af329f6478f20d5c50e}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
coil/target: {coil/target, 0d9b02654caaa051b418c2c55d4a116e}
androidx/viewpager2: {androidx/viewpager2, c80d8de27ff8504604538e91144b3a43}
androidx/documentfile: {androidx/documentfile, 6a0b69ab3f3c5422c09889fea928838c}
coil/singleton: {coil/singleton, 542dd9699021b2a489ba6c7d8f6e4a23}
coil/network: {coil/network, 022c8c1fb8176e7b720d44df302512d7}
android/support/customtabs: {android/support/customtabs, 2aac24614294b8e4cdf031c6380f877b}
androidx/recyclerview: {androidx/recyclerview, 42b3af106c3049e78121d8edc1b84283}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 357b62c513c11dbdf15da41446a83347}
jsonapi: {jsonapi, 3fb04d75a459b8d3e67096dfe2abbc69}
androidx/dynamicanimation: {androidx/dynamicanimation, ba86326ba2d2f937fc99654a28b5d967}
coil/size: {coil/size, bb11bae851a73b3a4a5bc7ceb6683a80}
kotlin/io: {kotlin/io, c9e5157e9b84a30156b24a092673358f}
com/rd: {com/rd, cf1373dc9aac714c6c9bccd89d851f6d}
androidx/profileinstaller: {androidx/profileinstaller, 5b6b0fdcf7364778d535b1ad87ce1fbc}
androidx/loader: {androidx/loader, d94f170e8451705a38269dab6d31ccc3}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d1094910417f3630e911a10226347027}
coil/memory: {coil/memory, 0d617aebfcd95ca466559c6cc780cc39}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/viewpager: {androidx/viewpager, efc51d439ea3c860e923e457349ff8e0}
androidx/exifinterface: {androidx/exifinterface, 1aabbfbaf8c93a2a8156e8fa20942f0b}
com/squareup/moshi: {com/squareup/moshi, 9ffb7a5a59ae31d10fe1ef1476aa1a01}
coil/decode: {coil/decode, a9b1593e64cb170ce4af6c9080d8f3b1}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
co/anbora/labs: {co/anbora/labs, d4c407a5da4b816e003bf3d6bfcabf4a}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/concurrent/futures: {androidx/concurrent/futures, ac7a2ac6e9f02e0c14e8bf5d18bcc7a0}
kotlin/collections: {kotlin/collections, a4d56d0ee72a259b2f91e6042baf7b1f}
jsonapi/internal: {jsonapi/internal, 9c0fa68b3b0c3f19c3c0a4b5922a8c99}
androidx/fragment: {androidx/fragment, 90f356b7b3e936155ed91ea9a8606521}
kotlin/contracts: {kotlin/contracts, 22b9d8be7f5f1239cdf7ff3c6a091a13}
androidx/car/app: {androidx/car/app, 5229db1f2960fda9f1055b18be557794}
kotlin: {kotlin, 2a8dd8e67a4fa336714f8738d6a5a6d8}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], e819ea1b77e32fd13c4c3dffb7a6ec24}
kotlin/coroutines: {kotlin/coroutines, 0688a74a8d506447956cabf788c63214}
kotlin/concurrent: {kotlin/concurrent, 8fe51e1e1c252bb3f3c91cb42839a784}
coil/transform: {coil/transform, ade3ca400758d50b7fb106ce3127bc7e}
com/car2go/maps: {com/car2go/maps, 04d122f001b3cd76680a6f28151c6a88}
kotlin/comparisons: {kotlin/comparisons, afae1255f55ddf6c9ca1848741f9687c}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/work: {androidx/work, af180e83b023d1f27aef30389af28b60}
android/widget: {android/widget, e7321961f8f8d3e6795243349168b82b}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/print: {androidx/print, 9c21cae2183606743168d6bfc902d89c}
coil/disk: {coil/disk, 4930e6b5c6a7eb77485caba71f834499}
androidx/tracing: {androidx/tracing, 38fd0cd8472599632cd96f492e244725}
com/github/chrisbanes: {com/github/chrisbanes, c4f6cad6bea268ff2a1b79a5545a0a86}
coil/util: {coil/util, 8e356d680af2c33f308ea32558a0e45d}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
