androidx/appcompat: {androidx/appcompat, f5e4f0a30ab025f8a15661f9420b97a9}
androidx/camera/view: {androidx/camera/view, 7a1e5520bcada19307641f24d9bf7a0d}
androidx/media3/container: {androidx/media3/container, 1f4e03531dd7c5812afda5b2112d689c}
androidx/media3/common: {androidx/media3/common, 43c3489a14613b76732199123b10864f}
androidx/activity: {androidx/activity, da95eda76c313ff247566e38d28ca9dc}
androidx/profileinstaller: {androidx/profileinstaller, ddd8200bff4ac979c0612afd3b0b4438}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 32f960e38e4844c0006b1c14664c521f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cc7f387f9a2f5303691fc6c534f3ce10}
androidx/preference: {androidx/preference, 8f526c581b09d9eb9b62484c92e76e11}
androidx/media3/datasource: {androidx/media3/datasource, edf16abefbc9d8149906042cc594e6e3}
androidx/lifecycle: {androidx/lifecycle, e1df83c8ff015d8a53680d08cbfb79e4}
androidx/fragment: {androidx/fragment, 9b9a5415c85b0f1a05d0e16d526ec88c}
androidx/media3/extractor: {androidx/media3/extractor, 65a613736f8d3314a1bffdcf3693ac3c}
androidx/loader: {androidx/loader, 7aa7363a9dc606cb697d8fd97ed835c6}
androidx/recyclerview: {androidx/recyclerview, 1fccdb8d6a29f283f4bea45fad8a6278}
androidx/media3/exoplayer: {androidx/media3/exoplayer, ee3206e9238ad0f3a43e330e860f5bcf}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 27a935378772678067be9ab393620679}
androidx/core: {androidx/core, 5690e58d0c00dd340d3042c3d9299e07}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c64c3914c972f76006dc69d5eb0d8226}
androidx/collection: {androidx/collection, f9064ed98954c428e92bbcfb870c46e9}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c2b013af36c676e018e044cbfda7ff84}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 94b6e678000cbb89bbf369a3f9bb327b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9790ac0c14177dad70affa9b615fc243}
androidx/cursoradapter: {androidx/cursoradapter, 4e912372fa31a306349975319fd049b1}
androidx/multidex: {androidx/multidex, ad029cb66fde46f9f8bd4ab2450e6971}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/drawerlayout: {androidx/drawerlayout, 3410d38d6cf46d20a1ea61543dab2de1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/media3/database: {androidx/media3/database, f2d69b420853bb17f202de85dff46395}
androidx/media: {androidx/media, e26bf710c664e48f0ced2c63b118c431}
androidx/exifinterface: {androidx/exifinterface, 5decd966fb13dd51e4f18fd438947d70}
androidx/emoji2: {androidx/emoji2, b173e9a2e2c2254640bc4dafe1e7d010}
androidx/media3/ui: {androidx/media3/ui, cf8da564d7718c876d81e810b58d19bf}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
com/nextcloud/talk: {com/nextcloud/talk, f11751df72509b420a072963d101aca8}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/documentfile: {androidx/documentfile, f2df4fc6013d46a3515994716f2e4752}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5e04378ff0295a3b2daf583136450c32}
androidx/camera/video: {androidx/camera/video, 4907b9e077df258989af1a6dc56af482}
androidx/media3/decoder: {androidx/media3/decoder, 374fb2686a1dd12fce356b2a84c510cc}
androidx/biometric: {androidx/biometric, 207ce2ac14cb462fafb06083fb24e2b5}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/camera/camera2: {androidx/camera/camera2, 4bcefad13c6cb0d5b55bb82ff3ae089b}
androidx/datastore: {androidx/datastore, 493a5f67ba69c79163d9fcd0f718fc6e}
androidx/concurrent/futures: {androidx/concurrent/futures, 5cba4788ed1954ea0695daf3c79b909c}
androidx/customview: {androidx/customview, b29e885e43a9630d0256deca69447b56}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 5f90eb737669d18f7b357efc7e71b73d}
androidx/camera/core: {androidx/camera/core, 3712dfee79c2ecb6362a30805b3162bb}
