a6: {a6, 6ca949db04e2abe12c5e2ebedb8addbd}
p2: {p2, 857a5ed455323eada2a8c594d89f109e}
androidx/compose/foundation: {androidx/compose/foundation, 58034d849d48e624a119209bc06c4a57}
androidx/core/widget: {androidx/core/widget, 362ac3613b3f1606d91073780851e45d}
j: {j, 20fc7b263229ba10e7686114c7e5c8d5}
c1: {c1, 6d0ded07185863a9a7b898d7fba4d70b}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
q4: {q4, 7972e588dc24b2efced4be8f77c34fd5}
androidx/activity: {androidx/activity, 94462d7d2984661d0cd14bd2673f0b82}
x6: {x6, cfb2f5fb828043b4da39b54e265a2603}
l1: {l1, 87f8d02ccae6a57059af176f74cf15b0}
androidx/datastore/preferences: {androidx/datastore/preferences, 22d4839e8606854b8668c9d324d40581}
i4: {i4, ed1b43c44cc7f687089cd1fcffde2710}
g6: {g6, 0e1f33bd71b00d3bac862df48f7db300}
o0: {o0, b9709d3cce4dc43eefccb7df36f540a1}
b5: {b5, bc8bcc07ff9dae41f5ad6ce70452e3c8}
com/google/android: {com/google/android, bc443a94967bb82c5d5d80b22c01590d}
v2: {v2, 1f1aa93b8206c3a5c29c2d1ddaba00f1}
z1: {z1, 2da93221831e5ec62db670ae8b680afa}
m6: {m6, 51656a5d99bd1b2dd05ccebefe7f25e0}
t2: {t2, ed9032c53077b5d8b1e648446f62e964}
w0: {w0, a3b52d301609f617f78c1d76d524241c}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 23190babe647798525e419f2b9a4051b}
r1: {r1, 1b27c0ca4c9ca71c3c958982c60ce19d}
e6: {e6, b93f2a82e26fe0a72cca4ba7c3f80e52}
j5: {j5, 7cf9b631a0153ae65b76883e078bf9ea}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/appcompat/widget: {androidx/appcompat/widget, 5c682b9c408ffb105ee10f0a9f52476e}
d0: {d0, 6b894d49e220403502969f4614e9ec0a}
f4: {f4, be2553a2ebc2b854bdf25bc2fcc26472}
b: {b, 41b6cb9ac7b5ee4c5078c442520270a1}
k1: {k1, cf5ab022bc17ca962743f8c02187a5b3}
k: {k, acecf5b90bf0d66c2e649e50cb7703d2}
g1: {g1, e6fb178bcb9bdcff1d0c4195685162aa}
c0: {c0, dbd7c285db42d8bc5d0b18e037866c81}
a5: {a5, ae3ade74624ef914da03e5195d359f8e}
p3: {p3, dc87e64e2cb9dcf722f32f82c7b88ace}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, 89335363a2ae89080633e5b1534f77d6}
b2: {b2, ff378d50c386f7bad37962550bd23730}
q3: {q3, dae8776d3eb73d9fb737717bb75c9d5e}
d6: {d6, 7a1e874b9e34098d58117f011a3fe5dc}
l2: {l2, 42f9ec049a8d701617d4916b6cf58f05}
i3: {i3, f934509044d614ef3741fc34f4df49f7}
androidx/core/graphics: {androidx/core/graphics, fd709191258449c377d7644591815b34}
o3: {o3, 66bb90614939e2c6b7e7528b61245075}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6484470f2c6352f79a9674d517d5df13}
androidx/savedstate: {androidx/savedstate, b233601b6a13e9e9e3db6a9e5535249c}
m5: {m5, 350ba5cd210d0de05cead4b743e150d9}
t3: {t3, 784c0a5fbbe0abc5602ac693605bb7c5}
j2: {j2, f0a880fc37d4c15ffbecadac259046b0}
v3: {v3, cca734840517093d2e5f547572255323}
f7: {f7, 873df8cf1086a226861221bc42d723ce}
h2: {h2, d095dfc84f3f534827e3abf48c8ed565}
n5: {n5, 3c4f464702ed19635b116117753bf556}
u3: {u3, e904635ba32cc9d94514b6130cab461e}
r: {r, 462d190d9f1daddae6bf261aa121908c}
z6: {z6, 0e43a0f05fcb4d0f438dcd6fc2275622}
f5: {f5, 3b1646d055c965a37f233573a0da797c}
androidx/appcompat/view: {androidx/appcompat/view, 366240dc4e8f007af7f84460fa0f56d5}
w3: {w3, 60e67896aa2565bd5c9903ffb3dd909e}
z: {z, e0ccf07f514805132b779851bc517928}
r6: {r6, d9b60710f50923ddd27ba7b908341f42}
d1: {d1, f15c161bb06b41fa4e5317cd8ed40f5c}
c: {c, 5b261ec3063846fcfb1c41e8539751d5}
k0: {k0, 670f9fad026add1485a2615876a50d03}
dagger/hilt/android: {dagger/hilt/android, 22037adc7c8acff3333d1b24a4e40b67}
g0: {g0, 15936c7fe50637669f5a6d65927cd433}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 624712100d18fb46ba14696982b6ef85}
b3: {b3, bbba928d0316b14eda30ed355bc29a00}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, fd7901221702705b8d81efb02e96e3df}
q2: {q2, 772fb70229f4de7baa6439566e26092b}
e4: {e4, f2d8dd60fa530d8da27f95817d63f727}
o2: {o2, 5f6d09c8b38787f3efd31658e4fd4ec7}
m3: {m3, e1fb900fb6d97ee802d186e8b34bc192}
i2: {i2, 2f8e72d4172e5f52710806f7b2ec23c4}
androidx/lifecycle: {androidx/lifecycle, 9a589ffb697d2458747c4061dd3906e9}
c3: {c3, c69eec3843612efc0887436f69481b04}
a4: {a4, 47ceadadf4a6ee55dd75f58d602a8df9}
h4: {h4, 395b9c218296771b3b4f8490e02fe442}
t: {t, 8cee4e7413bc1516a3be244007606cef}
g2: {g2, 620e57e32576fa3d785f48a16bfbb841}
androidx/media: {androidx/media, a9284f2d2e6b34cdbdf2636a22d598ad}
j3: {j3, 2f9f90fa2c97ba0edce0f86ab11bca26}
m4: {m4, f685e1c0dd2094567ee51ae5d5c2a347}
t4: {t4, 1d9e15e2c5da81d4e906a0d396aa1eeb}
u2: {u2, 9771e9730081dc2a09d4ec8e8f40997a}
s: {s, 64ccd5175c6d64ddd0263c9019c74eaf}
d: {d, 95be58dc65f1c1bb935748cc99b75a22}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, d2d593ee343c3fccdac048fe22bc9e62}
n2: {n2, cc5d574afabc3cc0f74f03e8772073f3}
k3: {k3, 28af1b94ab7af6823d121b4b61cecb29}
p4: {p4, e9a376f705d0a36d075d14cafde57974}
l: {l, 6e12974ed73ae6b4039fef692b4b1236}
y0: {y0, d47d4e73ed352f54108decac6c91e2d9}
f2: {f2, 8f90536c33a3e02d529ee56dc41b68af}
v0: {v0, 9df6f94bffa9e00eaedd5c4d79bf088d}
d2: {d2, e5df012869a2d7566496107cdf76e59a}
q1: {q1, 15e5d7fd5da6aff2474d47830a6d5be6}
x1: {x1, dbb63961abfbcf717e988e862f319c53}
g3: {g3, 7d1ffcc510a1414784965b54de1b2347}
r4: {r4, bf9d194975dcef2005ccb5743972fa58}
androidx/compose/ui: {androidx/compose/ui, f4bdb770db0133a5e94a7b11640748a0}
y5: {y5, ece3514d9daafaa19ccd14bdd1dedaea}
b0: {b0, c44bab48c437fe7708aa5a383470e900}
m2: {m2, cda357352b3352be0846d6b1dd0f1a5b}
s4: {s4, 163cf12eb45f3830661ee6c7149445f0}
s2: {s2, aaa3b46ef7db0dbdb04bc214ad4d1ecb}
o5: {o5, 17b42ecc4d084cbf79a233f77c922bb5}
h5: {h5, f374894bc43f08ef11ee1803046c0c6d}
w5: {w5, 4bef822fe689a8de04dc49ddef098ce1}
