androidx/appcompat: {androidx/appcompat, 30d61a70564e8d3129856624fec4f628}
androidx/activity: {androidx/activity, 82d20011c26e2d18a438ac83969b3ce5}
kotlin/sequences: {kotlin/sequences, bbaf48aeaf1d776bafbe24694108467d}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/preference: {androidx/preference, 170972b69d1f0eb9e47a11e31b85de0f}
androidx/vectordrawable: {androidx/vectordrawable, 11dc0b76e42220c580421bbe5692b407}
com/google/android: {com/google/android, 32b21befde82c863a05b08fb2e280754}
androidx/constraintlayout/core: {androidx/constraintlayout/core, afa99263eb83e80e584a183d520013ba}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c31d4d644d5aa04f799dc34b8edf2586}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 81f9cedf77ee4147a56e26c3ecda6d1f}
org/thoughtcrime/securesms: {org/thoughtcrime/securesms, 27b431a9097a338b2d2018b1b55c8280}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/cardview: {androidx/cardview, 301d498d3557879a489bb12a16299227}
kotlinx/coroutines: {kotlinx/coroutines, 9e578878da58ecf44614cc35d3463fa0}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, 379dd5e2e29b952d3e744d83bbdebb4a}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
android/media: {android/media, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/savedstate: {androidx/savedstate, 2a77cdfb6fab11cf5b0679b9fdbbed85}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a9ac15a81e2b956de25e7fc4cb27c0ee}
com/caverock/androidsvg: {com/caverock/androidsvg, 2739349de1958e0b26c9137d053b1208}
