a6: {a6, 13ad7f8fc66718e6f3029a35fff2f6a0}
p2: {p2, 0bd3a3bd95dbfe4a2782f0068b844c9e}
d8: {d8, 429a07436880a0df3982a263608812d8}
j: {j, 1849e8195fd503427ed6c9b61a27d6e2}
c1: {c1, 1d9f593e8a86ae94e1eeae3d88b1fddf}
l9: {l9, f804e7e263ddbfa3521ea53cd82fe4eb}
d: {d, 91d66e23028fbab011bcc7e5a75c641d}
q4: {q4, 4f9c749d42d9ce68972bfb192a5e3ce3}
androidx/activity: {androidx/activity, a2123d62351e36562827363af199a44e}
x6: {x6, 1bed26dd568171dd280210b16e873d8e}
l1: {l1, 8e25d51720a7a756e0989acda1d8ba02}
i4: {i4, 5b8458c8c0b6d6c10ff23c4146b56b76}
androidx/core/widget: {androidx/core/widget, 6ad0a982426e3723d0ba8338ba4f06e7}
k8: {k8, 8ec3b7deb1523f207917fc9baec53eae}
g6: {g6, bfdbe5f2021576848de3580bef13d6be}
o0: {o0, 04368614ba6da6626eda7b293d7061fe}
b5: {b5, 8e987a70b6d1e1b0e3fd1c3162795b93}
com/google/android: {com/google/android, f1c5b0710d7e76d4c5f10495555aac6e}
o9: {o9, e46b004e2dc0ff7c3fd2ccf20bf0d535}
v2: {v2, 10337f0f4ac72351b0b86f89e965150e}
w8: {w8, ffa6fe32da50ac308897cce2f7d33adc}
z1: {z1, 40fd1429ab95e3fa260ec3f0fa492430}
m6: {m6, 168179903f817d0b2ab84fa9275fd6e6}
t2: {t2, d06bbfb2a46510d484e465a59552722e}
w0: {w0, afb29f3d5fe37202542554f65c01e022}
r1: {r1, f713dc3efe34a13dee353d8f6bf23c6c}
e6: {e6, 24000eed7abe565427307828677c24c8}
j5: {j5, 8870793b691921f6c261bb7c41144be1}
l: {l, 52f4b4a7280c8b84741418cb46aa18e3}
androidx/appcompat/widget: {androidx/appcompat/widget, 29d13d653cffde5a756078cc80701ea3}
y: {y, c098b541e8ce440eb9a5220c1995805c}
h9: {h9, 5b69c1893f3fdea902379950be98fe28}
f4: {f4, 627af430efe08b88b272c328f6641ac7}
u4: {u4, 5535d6e1ab02804a4ff0b3d417a373bf}
k1: {k1, 8a1ce7906d08da506369c340b3dddb27}
d9: {d9, 877ce8eca1b4a512bd463240658ac206}
k: {k, 6d7f4a5f8fc7f03b923086bd018ea7a3}
x7: {x7, fdef61a0d8648f7c8501ebdce49d9bdc}
g1: {g1, 73ed1542260bc9f907022d4d5e7e3414}
c0: {c0, 32e22a38b26931223b8d3c894057a87c}
a5: {a5, 312f7a183e3d13f93c2399427a2c1fbb}
p3: {p3, e1a04987a938665f4e7e2b061e9d8a55}
e5: {e5, 34c03a335d293f404474194cb3e7f5bb}
androidx/savedstate: {androidx/savedstate, f10694ff85de7bb7696fbea76745cb04}
y7: {y7, 7eee3dd49692e5351d0aabb009bf1115}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
q3: {q3, e500d9b3b9c70986db83c863f97958d0}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
l2: {l2, 0db390eeeb150a4b7e83ec8056f6ee13}
i3: {i3, ea4d7c1f5c2400cae3aa06f849c33f99}
o3: {o3, 91a912f1a9015680bd25f6b57ce87a40}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 34bb6c1f39089cba77c08a365ba83736}
o8: {o8, d09d27de6bf5f2f8a94a5abbed843c86}
m5: {m5, fcda3eba1cdcbf074091b97d2a999b7b}
t3: {t3, c3b961dc16cd073e1ae9ebe7c5434f20}
j2: {j2, e39fb970ad0e88eab3c014c8985d21f3}
androidx/core/graphics: {androidx/core/graphics, d4b2fe03e12470e3c88d2e8f94b917a0}
f7: {f7, 64aa5d77f6100556fc2d487a1914bd22}
y8: {y8, c562a6cc5bbc97056abfd796842ae3d8}
h2: {h2, acf7ef943fdeb3cbfed8dd0d8f584731}
n5: {n5, 69ef9561b40890eab611b9f6c0b42898}
u3: {u3, 1006d2082c13f89b3d7b4fa7868e4571}
r: {r, a67d9c56cd79253d2232ad1765280820}
c9: {c9, c03803a9ffeae5859b9349f500b9d15e}
f5: {f5, 814483e512e36eaa82933bfbcf1031c1}
androidx/appcompat/view: {androidx/appcompat/view, b1f3be84c520cb70728ec5e1301b3033}
w3: {w3, 783ad67f6ea3a8927f4be829d0a31aee}
z: {z, 3e77277027eb05d5203fc0c46c3ef8de}
r6: {r6, 2d76456e5c06c9a1614ff56b686319b2}
d1: {d1, 5cf159a1d7fee99ba7319c72d800b728}
c: {c, ee84e2d00c6028cdfb8b2023ec0e43fa}
g9: {g9, c9c541c078246df0f4915fa0a8e1e634}
k0: {k0, 555bb708b84d16073032ea6952ccda57}
b9: {b9, 9b36f7c2e3700902d1133163e6e68970}
g0: {g0, d88e457868192e09af863bf6837210bb}
v8: {v8, c9f8a05fbf34e23d14465cc0a728b6c6}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 41ea502b741227b22c4e6e91a9be56a2}
x0: {x0, 56a858babf7f9c658ee260a629caa42c}
b3: {b3, 86653e174affbf759c60d6d24356cbdb}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 6729f52339ee38d0ea09a0acecddf49b}
q2: {q2, 6f52925a12763c833537724e68847a76}
