io/codetail/widget: {io/codetail/widget, 8b40b6420fb8581019e01f607e3acc17}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
d/h: {d/h, 8cee790138317f4460b2043709c6bfdb}
com/google/api: {com/google/api, 937390f15c47116a63e027cd56f3b97d}
d/d/a: {d/d/a, 6709ba6ddf5822e8053db602558c4966}
com/d/a: {com/d/a, 3105e1009277ca38b6804c875bcc3590}
com/f/a: {[com/f/a, com/f/b, ], 6692ebd4b8a5dad7c75767bc07112386}
b/c: {b/c, 7ed1d813239d3347881fe0bd0749ed23}
com/b/a: {com/b/a, b008ac15fe7ad3b57fff51363ffef3bf}
org/b/a: {org/b/a, 8f8e2c871fa7f104bdff4ee13b2f0997}
com/bumptech/glide: {com/bumptech/glide, 9d45a39cf204da585691a05489228a25}
d/c: {d/c, 799f8f9efead445ccd92c3c203a6bd13}
com/google/android: {com/google/android, cf02b4463d5d7f6afafa388e35db60a2}
io/requery/android: {io/requery/android, 12fdccb1bedb9db13de99caec65f0637}
wseemann/media: {wseemann/media, 10aa95c993f99f19c32e44fb178e6957}
android/support/b: {android/support/b, abcb9e2dd227f2b39fe58fcff8d16633}
okhttp3: {okhttp3, 8df3d6bc023e62ef2d5c3317290d4606}
d: {d, 0ade92a184ac9ac97a8453bfd3015e1a}
d/d/b: {d/d/b, a7e7ed340b106611b8e0131f08877c68}
d/a: {d/a, 733a0d8f797d43e876d67998c5c4a7e1}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], c6990efa059e18a54d9f85f039670428}
com/c/a: {com/c/a, 8284e62f72af6a80c5ad6eb4f3ab8a3e}
com/google/devtools: {com/google/devtools, 7109a51475cb091781d935acfde91fbc}
com/google/gson: {com/google/gson, d0b291f050246e094011c859d9a421ab}
android/support/transition: {android/support/transition, 8d7f5af04be6c4d68ab359f0ba289e39}
com/google/zxing: {com/google/zxing, a8573a277408ad4ba2631a2928725fd0}
net/steamcrafted/materialiconlib: {net/steamcrafted/materialiconlib, 99b5e4bc51a9abef907341f4c5ac4d8d}
android/support/constraint: {android/support/constraint, a8fb6a193f59c1d833e7027085dc256e}
android/support/d: {android/support/d, 5864dc5062c7a00b2fdb54602c8c5aad}
com/e/a: {com/e/a, f5d895a957b9b9cd97e2661e32c98547}
b: {b, 97e67cd2601bd72172574182ac13f535}
android/support/v7: {android/support/v7, b78a98acf3e46d6f32e4da70eb688e32}
d/d/d: {d/d/d, 118b0b43445467599aa1123425f64439}
android/support/percent: {android/support/percent, 2e58ee11269fba2e0c91bb12f4500f3d}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, 37ed5791efa43b730a9107ea7ec0844d}
d/i: {d/i, bfcb7435d4c78f3c29448deb30f47fd6}
com/fasterxml/jackson: {com/fasterxml/jackson, 3a7c187d769d9f6cc4f5f85f44a24041}
android/arch/a: {android/arch/a, 3d1d8f2b92ddb07ec607559ab4abc314}
org/bottiger/podcast: {org/bottiger/podcast, 20995ebb87600dee4ed77efc0243e3a7}
org/a: {org/a, 907475feef0ab7fa1cd750a3bc58c144}
d/d/e: {d/d/e, 92bf61ad2a15eb8c2dc16f3af6e8807d}
d/g: {d/g, dc69f09d2db89e8b165932c14fab123b}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
com/github/ivbaranov: {com/github/ivbaranov, 1685a70fae1a5b66977ad757d58eb7f0}
com/wdullaer/materialdatetimepicker: {com/wdullaer/materialdatetimepicker, bb4cd829cf81beec247a98a2a4235925}
b/b/a: {b/b/a, 8573f2b0e535e069fbd1249d9cd5ddb4}
io/codetail/a: {io/codetail/a, 65a33a824659f6411b61652eab97ee8f}
io/a: {io/a, 0297b2a9ad24e3f4d1d8ed71cdbcf0ef}
a: {a, 617a18795efc33b2eecf755e2c692cd4}
android/support/design: {android/support/design, 6b55866092003da64795f3eba6458e65}
d/b: {d/b, 97f652e78b6a0e60ddbfc841f82f10d9}
b/a: {b/a, 920be36ff4474d761a1277b85dc95401}
d/f: {d/f, 087b50f5584ba6a3bd4a30e05b18854d}
okhttp3/internal: {okhttp3/internal, 1f140ac0fa75804c2546315cbb8f88c2}
d/e: {d/e, 2e6f438bcb88b1368bb3ea20b6071678}
javax/a: {javax/a, acf7ef943fdeb3cbfed8dd0d8f584731}
com/f/c: {com/f/c, d50795fbb0ca48c7c88ff9c9241e58dd}
android/support/a: {android/support/a, 04eb03a4073a46a7c777b8b1cdd1fa4e}
android/arch/lifecycle: {android/arch/lifecycle, a1f4e7fe52c5227a317b0cccc9da1323}
d/d/c: {d/d/c, c8f72b6406e36c83bb260bab8ad697e4}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 3fe45174631517a390b18dbc2bf42c66}
a/a: {a/a, c020e79fe43b2942805fd97802a5e8ed}
c: {c, 7b02ee1d9bfb8e15c42edf876c0a4571}
android/a: {android/a, 6086325182166c381e5c1145ed8f1802}
retrofit2: {retrofit2, 7447b52938a94fb2137030244f7b06ee}
