androidx/appcompat: {androidx/appcompat, 9a219d73a2df7c41ddcf4602652c4e1a}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
kotlin/internal: {kotlin/internal, bf56ecee2b04ed293e2c95b63266b767}
androidx/activity: {androidx/activity, 55b197dda2a8fbb4ae1b2740b1a698f8}
kotlin/sequences: {kotlin/sequences, 0c9f792064f55ef2896dc36e4699c7ea}
androidx/compose/foundation: {androidx/compose/foundation, bcacee4bcac06695c3d4a04565c3c035}
androidx/preference: {androidx/preference, 7b37bd064c3f93bb627e9d1b8bad7d98}
kotlin/math: {kotlin/math, fd1d65b8b26dfbe875d62ec708d29388}
android/os: {android/os, 05539bc70c7805422e26d5f1611de1e8}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e96b17375b72c3497da7d2cd6b57e08e}
com/adjust/sdk: {com/adjust/sdk, 35fedac524711653e9d69611d89d46ba}
io/sentry: {io/sentry, 5296daf9bac60d318d5ad8b32472be6b}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 2a6b9a9c3ce6f174e6ed9aca91d45be2}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 4f04b7eafef5a1e849598425eb0c2ce1}
kotlin/random: {kotlin/random, 4850af4e41b50051e0fa9e56b06df941}
mozilla/appservices: {mozilla/appservices, 98096bf4eb37860d4011d43290dc4abd}
android/window: {android/window, c4e9eeb25e17c46354752ac4239a9772}
com/jakewharton/disklrucache: {com/jakewharton/disklrucache, 4c741c95892259eecaee8dd413538b75}
androidx/cardview: {androidx/cardview, 568c9fa998a84fd12754735049fd49b6}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 66f4088ed8753472d622840a6a4f5785}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
android/media: {android/media, f87ff19ff19cfe07afaf2513b7cd869f}
androidx/savedstate: {androidx/savedstate, edd0b95176f601e53201752f775a4ed0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 289348af5e1dbe364e63b5fcc741ec09}
kotlinx/coroutines: {kotlinx/coroutines, 08303c66b45f84176b3277540a3c8d91}
androidx/startup: {androidx/startup, 3e4d2062f2ee8a70e503e66ab7fea1f9}
androidx/compose/ui: {androidx/compose/ui, 0f65c635d744f0f369a11e09ad2048c1}
androidx/loader/app: {androidx/loader/app, a5dffc33b950c2e0b5d2caefd9dfc2fc}
androidx/room: {androidx/room, 3f779f3bbe55af7a73f440b54ccb941d}
androidx/sqlite/db: {androidx/sqlite/db, c2719668e119b08d905f4283ec0c02e7}
androidx/lifecycle: {androidx/lifecycle, c446132427720c2d248f0fb79568bbb6}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, e762839bcf067a8388608dd5316dc31d}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/text: {kotlin/text, e5c78e0cfcc7029559ce0079ce4c7dec}
android/graphics: {android/graphics, a9aaa17a2c7a88960c68c795fdde42b3}
androidx/versionedparcelable: {androidx/versionedparcelable, e489da303fe4eaccae852cbc9659f8f5}
android/view: {android/view, 2fdf7c4cbf9b7a969042c03c3aba27e2}
androidx/core: {androidx/core, ca39f6f7e6e24675af4185dba220ca3c}
androidx/collection: {androidx/collection, 567066bc1aeb0848ff203c20a96b5526}
android/content/pm: {android/content/pm, c3be76ca0a5a072245c352a11b408f14}
androidx/transition: {androidx/transition, a0b35b24a11a0703f48f13d44a62ffaf}
androidx/legacy/widget: {androidx/legacy/widget, fa77f4fb86cdcaae9a4876472bb83cee}
