retrofit/mime: {retrofit/mime, 7b6f929718e9f429ce7999900afed56d}
io/fabric/sdk: {io/fabric/sdk, 95fcd00cfc058b249fc28d0ae5728579}
com/digits/sdk: {com/digits/sdk, d2fff48bf3fd4883a5da027b4129a8fd}
retrofit/converter: {retrofit/converter, 6aff09dc56d52c0bb175fc11f241701f}
org/slf4j: {org/slf4j, 8f4185f30db745f4109a3db9edd78960}
android/support/annotation: {android/support/annotation, 2f98f4fd60829d2567feda6a980af495}
com/facebook/android: {com/facebook/android, af46e3686123d41e0fb2854e4bfda0a9}
com/balancedpayments/android: {com/balancedpayments/android, ed49e74d658e81c6cadad532e810a01c}
retrofit: {retrofit, 406b55de870486b3bd00b8eacbd260d9}
com/parse: {com/parse, 2a7f52cf66b330b7ea7eb754f9f198cc}
com/google/android: {com/google/android, bc204231a1ccdfe99450b1ee2f8b8ef2}
retrofit/appengine: {retrofit/appengine, 711395f74e05bd998f940e396440e27f}
com/patron: {com/patron, e5812908247e1058638fb316a233bbe5}
uk/co/chrisjenx: {uk/co/chrisjenx, 704d2c07d5f4130968a57ebfb678c9c5}
com/noveogroup/android: {com/noveogroup/android, cc2f92bd0ae30f3db5567130e2768995}
retrofit/http: {retrofit/http, 0839a2a90a44d6e2e8e4440fda855da4}
android/support/v7: {android/support/v7, 06e8cf02bbb7dd0a38b49e6a0dcda864}
org/jcodec: {org/jcodec, 80f0afb8f2ea2f32aac30cc79da4dcfa}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, 091e2052af2dc7a8e5c007fee64146ed}
com/appsee: {com/appsee, 0a9076b1c8942e7aaff78af119a0c392}
com/twitter/sdk: {com/twitter/sdk, 1336b9437f01de43680327d02c308eff}
bolts: {bolts, ae2ecd9f084b15bc3cbe2d2ad7ecd205}
com/google/gson: {com/google/gson, 3de4ff9c83e21e48fcf1f65b55d64953}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 5ad65c97e62e2e3ae3e49db3b5312df8}
retrofit/client: {retrofit/client, 15404cb570289a58aa0cfc642898276d}
