androidx/appcompat: {androidx/appcompat, f0f37adf6020d2ab5e942ac1c6f99140}
coil: {coil, b7cf300954abb81df3ad68a4680ab59c}
coil/fetch: {coil/fetch, bd0e17bf429cf9a5a6d9433499cf6498}
kotlin/internal: {kotlin/internal, 18b441ff712de5c8cc044d3910b7b316}
androidx/activity: {androidx/activity, 322a400bb32f0058f79c1bb3a30a88ef}
kotlin/sequences: {kotlin/sequences, 6c03e26ecbc235687dc512558a48ed3e}
androidx/preference: {androidx/preference, fb25afe2a36758f391a993a52171a996}
com/github/mikephil: {com/github/mikephil, 0c8fa6c9fe6098270950c78adaca56c1}
androidx/collection: {androidx/collection, aee46c4814c5d743bc6ac77c89adf005}
kotlin/math: {kotlin/math, ebde85e0b6a2a4fb43f117883c25b0e9}
com/yariksoffice/lingver: {com/yariksoffice/lingver, 4e4bddcf6821ed743561eab1de960c81}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, 768cc60129b1c2ea3fb25ef32de4c51c}
kotlinx/serialization: {kotlinx/serialization, 29c36a728f811eb122474f45373d6a2b}
androidx/cardview: {androidx/cardview, 700b350d2d5e5633e66441fbe93b601c}
com/thelittlefireman/appkillermanager: {com/thelittlefireman/appkillermanager, 7e39366c6721656411c193d6ff81f2dd}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c3272257a118b30de14aca8c455fb2c1}
coil/map: {coil/map, f70a236b942cdc1c8618d6a1aa0e8e2f}
com/fredporciuncula/flow: {com/fredporciuncula/flow, 5905909d0b37d13915a301abad85fdc8}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, 778e111408a3956971e0d119bafda729}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/hilt/work: {androidx/hilt/work, 174ebb3290f63955bd5d3e6748e4fab2}
androidx/savedstate: {androidx/savedstate, 03a93789bd7be32648b2887229973c23}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0b6df3cd2464767d415f7c8c1620b151}
kotlinx/coroutines: {kotlinx/coroutines, b2fc70ca2f1ff6def54b194c61dac269}
coil/intercept: {coil/intercept, dfb97e501a1be58a991aa9511d798a0c}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
coil/drawable: {coil/drawable, 902f3bf74af7f638dceabdffff2475fb}
androidx/room: {androidx/room, f1e4c1aaa6f75ccc9a80163f4ca711c2}
androidx/sqlite/db: {androidx/sqlite/db, cbf9fb25180aa0a754d805fc455f9844}
androidx/lifecycle: {androidx/lifecycle, 30a3295f15e320871bddafc2ebee3165}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, ff50727b49df324899bcf94416d2a3e8}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 3a7d98356e74acd0bc1811a29485f211}
com/ncapdevi/fragnav: {com/ncapdevi/fragnav, 24d6a331d5a9a380b1904bb5077e5f82}
fr/bipi/treessence: {fr/bipi/treessence, 4cb1e6784782790d48e7191feeaff198}
kotlin/text: {kotlin/text, dd1501f1775a022b3e48862259661097}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
coil/transition: {coil/transition, bdd815c435f5676393037f3d6febe5db}
androidx/core: {androidx/core, 1ebebc1cadb35838a340052177e2e423}
eu/szkolny/x509: {eu/szkolny/x509, 351f0e1d667d37720cee337d440172a1}
androidx/transition: {androidx/transition, 5cc5b797c17548077ec645615e099c36}
coil/request: {coil/request, bfa83ba3232b87f3b75826d1756bf85b}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
com/google/android: {com/google/android, c3f729a54ce1d5bed8dca6263212fa51}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 9492e6cb4798af28e5bc52b329de8303}
coil/target: {coil/target, 0abb947e9913ee0cd95c7b7d4a7d75a1}
androidx/viewpager2: {androidx/viewpager2, 5ad388f3a7aa5d90ef3da502bb0d9201}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/mikhaellopez/circularimageview: {com/mikhaellopez/circularimageview, c527850e16b072a1daf9de97cfa38b24}
coil/network: {coil/network, eb6d824921a64c82197c7d23592e48bb}
kotlin/collections: {kotlin/collections, 6f66dcfea69b38fbf2defc8fb1cac331}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 87a5475eda4fe24cc4c65e2293fe8d78}
kotlin/jvm: {kotlin/jvm, 079fa1ec4bfe60ba444335e8fbc25d9f}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
coil/size: {coil/size, 156f68f970dc0698027fb49408c678a8}
