androidx/appcompat: {androidx/appcompat, ff6baf44257ac9c0784ba5064129760c}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
kotlin/internal: {kotlin/internal, 94d9213aa261946e1dda2a0e4b18b1e6}
androidx/activity: {androidx/activity, 95297a34e0038ab8de94ac7ee9760742}
kotlin/sequences: {kotlin/sequences, 9327ed5e239b05790e8604d2d2a663b1}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, c811f5591c7da5cb6ac01a8ff5bae176}
fulguris/html: {fulguris/html, 062bd98167b16cad11b63dfdce64e2fb}
fulguris/di: {fulguris/di, acd130594eb1736b3d013543538d06c1}
timber/log: {timber/log, 3677a4d068ef761f5f2978207e0404c8}
fulguris/adblock: {fulguris/adblock, ca76bc7e8d5acc9590e0fdad75c4dab9}
kotlin/jvm/internal: {kotlin/jvm/internal, e53163ab6f03bdc9f038481c28571632}
com/google/android: {com/google/android, 9cad392d3c7cc86d468ac180c87c16f4}
fulguris/constant: {fulguris/constant, fb9e057a1c88ab5e872a6ba22ad6adcd}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 74126d42fa1281420228200b5bfa0134}
fulguris/browser: {fulguris/browser, 4055df7f47e2094a2c6d0314d023613b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3c38f674a3ebc26a4055520fc3f275cb}
kotlin/random: {kotlin/random, 0835c3c998aa09b125b38bd0cf4d7453}
androidx/cardview: {androidx/cardview, 9fe5211f29e0dff45c7ec0d18165f132}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, a8b6a2d37e33dd9a6f82afc4611d9048}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, b469bb3a8c4e2c8685cd1774e257dcf2}
fulguris/generated/callback: {fulguris/generated/callback, 97f6c963f4b588e9ab2ca91c08697166}
fulguris/list: {fulguris/list, 8ae2ba4b3e2d668789e584a90298420d}
androidx/palette/graphics: {androidx/palette/graphics, 81b76c3d1d4e0dd27b0b502e53f3bd61}
androidx/savedstate: {androidx/savedstate, ba9e0f31e991601850dc4968645771c3}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, 72945cf125835e621fa96996707c160e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 19baa56242055e4200f6017c96835458}
androidx/preference: {androidx/preference, 94a3cda71e316e3cf8e949c9a373cbee}
dagger/hilt/android: {dagger/hilt/android, e5cb6a7676cb20268367987f8d8e51dd}
kotlinx/coroutines: {kotlinx/coroutines, 8f2f8bf369b2b00662e6f2ad8a9ac141}
androidx/startup: {androidx/startup, 27c228a57272b4023b812638abca8f92}
fulguris/icon: {fulguris/icon, bffbc3c7237220bca9905f757081fe2e}
fulguris/view: {fulguris/view, b8958a5524b7a210484806ddb8adb79e}
androidx/databinding: {androidx/databinding, 0441319f8a79cec7ed30a3ceaad3e956}
androidx/loader/app: {androidx/loader/app, 5cfa96098331adfd68ec9f4cae7f3183}
fulguris/device: {fulguris/device, 5b861807f5197e3ec571678f7d757762}
fulguris/database: {fulguris/database, 0fe4beb4d5c78d8fad95b1f5a4bca577}
okhttp3/internal: {okhttp3/internal, 397e7b4455fd3189bbebb7fdedf924ce}
fulguris/dialog: {fulguris/dialog, ff55e5184ba05ca043362c22b08fa0e7}
dagger/hilt/internal: {dagger/hilt/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
acr/browser/lightning: {acr/browser/lightning, 493aef9f4d18b9f0aee1409a99d7ce83}
androidx/lifecycle: {androidx/lifecycle, e16427a896e91bb88df3bad93ed4bc08}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, ff3fae16709098a475e3de11572c99d2}
kotlin/reflect: {kotlin/reflect, e3c0a425ec2c47b67599a8ff5554c565}
fulguris/settings/fragment: {[fulguris/settings/preferences, fulguris/settings/fragment, ], ed48e81b0c781cdfcb40beae66903c99}
kotlin/text: {kotlin/text, e2f6e453958e5f8034b44c38701eea7a}
fulguris/keyboard: {fulguris/keyboard, 5b5703b4082cea974eff1b874997703e}
androidx/versionedparcelable: {androidx/versionedparcelable, 64f1aa7c669035d3160af6eac3da64c4}
androidx/window/layout: {androidx/window/layout, abfa4c77fff54b1ff44f1c4474e5fb03}
okhttp3: {okhttp3, 948cf75d0d2de84a0224dfcf2dbd1909}
fulguris/databinding: {fulguris/databinding, 5aea742b5ec70582951e6b1c898cbbb6}
androidx/core: {androidx/core, c6bf8be6f75590475d2a0058b317f626}
net/i2p/android: {net/i2p/android, f5e62867defb618087e06b901ec41f43}
androidx/collection: {androidx/collection, a64aff94e6a4ace1ccdca3f804bf50a0}
androidx/transition: {androidx/transition, 26d40d593cef582952c5c789b26ba5a7}
androidx/legacy/widget: {androidx/legacy/widget, 080024e782249c5886edcf20032f5237}
org/slf4j: {org/slf4j, f9493d951a6cd8143f9861f116912b28}
androidx/media: {androidx/media, 970c05e7773bf078f57984825652ffe5}
androidx/viewpager/widget: {androidx/viewpager/widget, b57485dff236a7021bc4c642c8bd149c}
fulguris/preference: {fulguris/preference, 50475071daa3d078c029652192f47054}
androidx/viewpager2: {androidx/viewpager2, 58171a7eb4b7e9e2574a4342c96fbd84}
androidx/customview/view: {androidx/customview/view, cc32afaad6626c02c7bb108320f011f3}
fulguris/favicon: {fulguris/favicon, 70f801c602339f6406cf8ba1eeaeaed5}
androidx/recyclerview: {androidx/recyclerview, 8010f12ba1dd08304a7f0cc7232fac2a}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
fulguris/settings: {fulguris/settings, b2ac902661a96e927336128f2d2c4161}
fulguris/enums: {fulguris/enums, 2a171bc4ba9f92bac9575880e7eedd64}
fulguris/notifications: {fulguris/notifications, 6db50b120d300aac25670f5c27b60dc1}
fulguris/activity: {fulguris/activity, 1d92b3f0394366f28ee36fe8d484124f}
kotlin/io: {kotlin/io, 740dbb12a73246cdcceac7342b83e9de}
fulguris/animation: {fulguris/animation, d46d777498167911f175799c826e2951}
fulguris/ssl: {fulguris/ssl, 77b2fe01ebdf2d0e09795ad3f95ce99a}
androidx/profileinstaller: {androidx/profileinstaller, 2a2886b819fd171b7f97c69d8028ce18}
fulguris/utils: {fulguris/utils, 7dd73846fe374c04ad23cd0cad920d32}
fulguris/search: {fulguris/search, 2bb841e3ebfb446d8a6a8ffd6e8648fb}
com/android/volley: {com/android/volley, f0f44c62ce36b9ca8d2979c69218f180}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
com/anthonycr/grant: {com/anthonycr/grant, bd22de631f7c1606ade23603104d5e3e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 53a7fc718be6600e0c54bbc3af11a5ef}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 775d03cd2b5162de413e5ed6755647de}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 37d190e5ea76cfab804f3b70b8169949}
dagger/internal: {dagger/internal, 02ec1938a931ae240a158e99fd541fe0}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 9861ef07a6158ec62ac2e51ce589fe65}
androidx/drawerlayout: {androidx/drawerlayout, a0dac8b8ac786036015ddc8bcfd4913c}
androidx/webkit: {androidx/webkit, ebc188935b38781c728a02cbc6393ca0}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 6981d4661b525bacdf50e86cd8f5facb}
net/dankito/readability4j: {net/dankito/readability4j, bdab120c08d612634385dc8b2c1befa0}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, f450942bef514d249537359b64a3c819}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
io/reactivex: {io/reactivex, 3f964888d318b44b439d2f0ad7137d5d}
org/threeten/bp: {org/threeten/bp, 4db2b80d9c818633c64370eca90e4b16}
okio/internal: {okio/internal, 44c065bb8be6cc44c80aa4f2eb804a15}
androidx/concurrent/futures: {androidx/concurrent/futures, 58144460a21ffbcd3eb961dc514ab0c2}
kotlin/collections: {kotlin/collections, 2ebe02efab1201237f86e4c3d913713e}
kotlin: {kotlin, f28d4dededf46f78e90f529c1f22fdce}
fulguris/rx: {fulguris/rx, ebca4433e16990dd8d17c6498559b0e9}
fulguris/locale: {fulguris/locale, 87004fb4fddaf296ab10d698b050f66b}
androidx/customview/widget: {androidx/customview/widget, 946fcf6c9888aa57323dd2773250a922}
androidx/fragment: {androidx/fragment, 353c6afd68067695a17c0eb73e021e60}
kotlin/coroutines: {kotlin/coroutines, 7a29414c676ac476492cd18ebb9a7aba}
fulguris/network: {fulguris/network, d09d27de6bf5f2f8a94a5abbed843c86}
fulguris/download: {fulguris/download, 1776c33d72e5e8873d37eeedf49f32f1}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
