android/support/v8: {android/support/v8, e3d8deb2661b2bf4a825f88371c60fe0}
com/google: {com/google, e9b2cf19958c44333cc6a19e60aac378}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/annotation: {android/support/annotation, 9fe16518d18f3e909e89cce18ab3333f}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], ff2c2e81fa8bb156cacbc3a7f95fa1c7}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
com/kizitonwose/colorpreferencecompat: {com/kizitonwose/colorpreferencecompat, 2a93621c6c0776e2e9f208dcf905d809}
okhttp3: {okhttp3, ae1eaede1980d3c25df56b1f25c840a1}
com/kizitonwose/colorpreference: {com/kizitonwose/colorpreference, 8d98342e45b90d498d23f71aa9656758}
android/support/v7: {android/support/v7, 4053bc702251c05ab1264f3db8b9efb8}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/percent: {android/support/percent, ea5352dcd1e1639bf821f1f579eb3c00}
com/github/paolorotolo: {com/github/paolorotolo, 5bfb6218873caa6f4a507ce267a7d1ff}
com/alvarlagerlof/temadagarapp: {com/alvarlagerlof/temadagarapp, 6862b40695242effe1de75be16885ff1}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/v14: {android/support/v14, cf74a79af4c310d96a1abaf72b5f5a1d}
com/roughike/bottombar: {com/roughike/bottombar, b5a7094f2da37ff1ff257efd6c42b6a2}
com/mikepenz/iconics: {com/mikepenz/iconics, 64c037fdc0a7fd27dd27011bdb589e32}
android/support/graphics: {android/support/graphics, 86043157e0e516214565b2e185b2a6b4}
com/bumptech/glide: {com/bumptech/glide, 9c99ba1f3d78a72b931cba4f1e489e51}
android/support/customtabs: {android/support/customtabs, 9388b8ea7a76a2d2c2f73b9e8e242ea3}
android/support/design: {android/support/design, 221223f92d196b73591e912fe3d39b53}
okhttp3/internal: {okhttp3/internal, 1a222ade1bbf8608d315a258a8df5b9d}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
okio: {okio, 4004cd8b4d23454c52d3569a6847f366}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], b03916fc639ad9eb8df8e48ecb5176f0}
