androidx/appcompat: {androidx/appcompat, 9b7e861b3d3dc86d5d8b2264f0d1ce4b}
coil: {coil, 0a92c889fe280f6177f8bd34e5d63c05}
coil/fetch: {coil/fetch, 02cbafd7618b30df2dfa3186f9ac4e2e}
kotlin/internal: {kotlin/internal, 2134576681654c4b9b970b9e5a38f065}
androidx/activity: {androidx/activity, 575a2409483de20a4fad0991c54213a7}
kotlin/sequences: {kotlin/sequences, c4d66fce6d6184935496acb2213604a9}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cb7866949df8ab7089aa836f050908e0}
androidx/preference: {androidx/preference, b607bd700ec69dc66f728601a4dc4a2a}
com/scottyab/rootbeer: {com/scottyab/rootbeer, 4fb8ddd74627edd7c5072a7b72c4492b}
timber/log: {timber/log, 0ced7a2ffdfb1e88ce7d25904db91795}
androidx/vectordrawable: {androidx/vectordrawable, 99a59e11a0cdb4e602d282b3242bf7b0}
coil/collection: {coil/collection, 29f041f3ff1e7ec75f53bd1643659fa3}
com/google/android: {com/google/android, 6c3b9d13f39f341ce73c0b07b91395c0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 16ab9d71a9a1df94c2301f0fcc9a2735}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6b1c54df4c484be17bc69212a635ed5f}
kotlin/random: {kotlin/random, 88e19220b01be1230d7071807c0a20a2}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
coil/map: {coil/map, 26eb63cb1943e743433a0efaf245aed9}
org/jetbrains/annotations: {org/jetbrains/annotations, bc63f583cf07e2650b5373e01ec38c6f}
com/payneteasy/tlv: {com/payneteasy/tlv, d4f1b4e69121afc19051e910e90a7efc}
im/status/keycard: {im/status/keycard, 9be6a011d3894c7add0aaedcbb3787b4}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, e476e81f7422354db4a2ff7e346cfc37}
org/koin/ext: {org/koin/ext, 7610e3f8cb09b05749ce90a6f760d30c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1a4f4e276bfbdf9cba1b3a5fe099b08c}
kotlinx/coroutines: {kotlinx/coroutines, 762e68e88639f65270f51a7b3a4881d3}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
coil/intercept: {coil/intercept, 483284d56149986a8f90b8f309f99712}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
coil/drawable: {coil/drawable, 8dd259d7c8d9c65b2ccc8894eb03eecb}
androidx/room: {androidx/room, 824a045ead31690dd148e273082c9f76}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 4063c4de0f4ded2c225ce7feeedbe9e6}
com/dmitrymalkovich/android: {com/dmitrymalkovich/android, 3d64ce9226c40dfe0bb77f42830cd541}
androidx/sqlite/db: {androidx/sqlite/db, 68efa6772dff081abfbb29d56b231154}
org/walleth: {org/walleth, 247551123d42c4ebcbf9769e4d777f7a}
androidx/lifecycle: {androidx/lifecycle, 6d3a65c0075c339cc9af7436fbba82ff}
kotlin/reflect: {kotlin/reflect, aa0d95604cae195c373ce797230829d2}
io/trezor/deviceprotocol: {io/trezor/deviceprotocol, 818baf0a17f4efb9cf9da82af00e5f03}
kotlin/text: {kotlin/text, 1aff46c9d8b86f5edd45d4821151e781}
androidx/versionedparcelable: {androidx/versionedparcelable, 75d2286be9300ddcd35ab4a20812d1ce}
okhttp3: {okhttp3, 2d476c7b439785a29ea03f8fc854ba0d}
androidx/core: {androidx/core, 2ced544a50ee081bb93bb2ddf1f58039}
