androidx/appcompat: {androidx/appcompat, 2555f8866fe5501f764f9fb903103bbb}
kotlin/collections: {kotlin/collections, cbb61cea51570dabf4af6f508ff5d98b}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 49e903ddbc29c1382e06f9afe65c1211}
kotlin/io: {kotlin/io, 68df96ac229c492f73ee627d4c10a1c2}
kotlin/internal: {kotlin/internal, 9a94589043694d11c0ae4d04800f1131}
androidx/activity: {androidx/activity, 5b1dca873588c96972e15d0f4b324370}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
androidx/profileinstaller: {androidx/profileinstaller, ce374ce3ef0cbd58211b33149c22f52a}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/core: {androidx/core, b5080ae2b8f2466a71654407c3084865}
androidx/preference: {androidx/preference, caa2a9035868c71c52bb1c92c2067b22}
androidx/customview/widget: {androidx/customview/widget, d73162adef225dc84ab5533aeed0ced8}
it/gmariotti/changelibs: {it/gmariotti/changelibs, c38c33e9d48f41f7325376f73a2a5046}
retrofit2/converter/gson: {retrofit2/converter/gson, d64299c4d9b5fcd4b42dfe92fcb5133c}
androidx/lifecycle: {androidx/lifecycle, 735b1b9749d899f9177db61f957889cd}
androidx/fragment: {androidx/fragment, c9095af0a11bb1f40b26728ce0ffadf4}
kotlin/enums: {kotlin/enums, b34ad9178880c872f7cc9c3264f08904}
retrofit2/adapter/rxjava3: {retrofit2/adapter/rxjava3, 277fa043ca01a995414b3154f31a1f28}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/coroutines: {kotlin/coroutines, ed87c9067f647962b227ebcfe672bbd4}
com/google/android: {com/google/android, b778560ee0e318cec4eed399e23d46ae}
kotlin/text: {kotlin/text, e80b8b0d61758b3f2713f6df66f06004}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, 4ea1cad127bdc3613faab25da996b29c}
okhttp3: {okhttp3, dfa086c1dc2b37436801e915992372ec}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 6c540533418a4587effbd47c508fa394}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 997dd5c8cf8c6e08c51ecfd365ac1cd4}
androidx/collection: {androidx/collection, 64221a6c966b8533bfd6caafb4957aa5}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
