androidx/appcompat: {androidx/appcompat, 5249554f88f688e3bcce4a3aff65bb95}
coil: {coil, 8ae0779672e7e038cf6f1dbb6be7019f}
coil/fetch: {coil/fetch, 92c49c325bbe97793bdfc108b889a9e1}
kotlin/internal: {kotlin/internal, 2b099a490c34cff3c30be0c1f6f10254}
androidx/activity: {androidx/activity, 689ce5b44675c8a06a970bc330b62e51}
kotlin/sequences: {kotlin/sequences, 595b54e639c4b1de6aeedb2a6c9037c4}
androidx/preference: {androidx/preference, 3238cbe2d885a594609bee602cd33a80}
com/example/android: {com/example/android, 6734f8af6dfe9ba5d93f67433576ba80}
androidx/percentlayout: {androidx/percentlayout, 2b3656e020b5eb646e09fcb48a5b923d}
com/compactbyte/android: {com/compactbyte/android, a8c4222dd143016f8e6a6e0b7d94a328}
yuku/alkitabintegration/display: {yuku/alkitabintegration/display, bb1fa49c6265894ab438f7071c836d9c}
kotlinx/serialization: {kotlinx/serialization, 5f5d75d41bcc61acf145edaac71bc312}
kotlin/math: {kotlin/math, e272d43e5c792fc93c16021dbcebd9d8}
me/toptas/fancyshowcase: {me/toptas/fancyshowcase, 757c0370bbff0f91f6b97edb7b8d5be1}
yuku/snappy/codec: {yuku/snappy/codec, 1885adf43cd760c048887d88299658b6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2ec9d247f24b80d58adcd988785db99a}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, bd881df9e66ffe93ee2c6320120a5195}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, b7a1c5828d864ee7264ee6971ee38a3e}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 751ef748581a2bf01c0d43fe44e4b5b9}
coil/map: {coil/map, d1475bbaeca23498ee3a7d0b3f5122b1}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 76fb8de4518ba0e4df528ee3c6d9aa3b}
yuku/afw: {yuku/afw, 9a6cb997a5b0f7c1ce8647dfa6737beb}
androidx/savedstate: {androidx/savedstate, 509b13d3541faac9445d2c4bb1dfb37b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 60f0a0eeaed6b81dfbfc439c9f3229c7}
kotlinx/coroutines: {kotlinx/coroutines, e23a5a64af92a3e5ab2804e128fdd047}
androidx/startup: {androidx/startup, 0a24c4f495275295bab4266ab363df66}
coil/intercept: {coil/intercept, 22a28cce50733dcf3b9eb61df8224d78}
yuku/alkitab/ribka: {yuku/alkitab/ribka, d7d806845d7fbea9b114312a54841283}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], cd2dfe0aa96e4546f4349baafe0f836e}
androidx/loader/app: {androidx/loader/app, eea82b838c21a3f3b73fa3d976b55e88}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
okhttp3/internal: {okhttp3/internal, 2490e8531ae3ce0dbaa55487709f3bba}
