J2: {J2, f948beb4af505cd40cee8ca0ca5fef8a}
top/fumiama/copymanga: {top/fumiama/copymanga, 47f42a2271d6da5a7a678f195ad61b2e}
j: {j, 4a60d0cedb75310be8ca23bd169cbfb0}
c1: {c1, acca32f666a8b379b33ff87f1d2a1fae}
c3: {c3, cdc9d266c9635a442fe2a53571478970}
d: {d, a693461f9b7e155a673adb041ec4f6fe}
androidx/activity: {androidx/activity, 3d248f1e57c12e95936faf67a121de65}
androidx/viewpager2/widget: {androidx/viewpager2/widget, b45da4c887b761c6789566478737b734}
l1: {l1, 79709e64540abc2c8cda05e7c5b15cb6}
androidx/preference: {androidx/preference, ae4c128e3783fe9fff324cd9b841c796}
A: {A, 5118e5c0a678360c80c08947cbada8db}
o0: {o0, a1c7650eebb1290753c6fa43aa2ad48d}
K0: {K0, 5e7c0099d12edf97270a727a5f71b208}
R0: {R0, 46bd35b5b92500cd2d77f47913675edd}
y0: {y0, 89af5ef89014adcef8652e6ef0c7ceac}
P2: {P2, 367672cbda1085d5354154c9baa1cb90}
com/google/android: {com/google/android, a931e92007a92b5cb75dc08985f64aa5}
Y: {Y, bf2f88a3df08ff39e737516b90aeb4dc}
Y2: {Y2, f9df069ce6a3afc732ecf4145d010733}
v2: {v2, 3d46e423f740359efea5f096e96d9420}
H: {H, 1a21450529d709fff67046a9f7f38b45}
z1: {z1, 0164f50a559066f50a124575893869c5}
t2: {t2, b9586e1e00583d790de5b8a47f69dbe8}
w0: {w0, 6397c2392077a29f12f16d686856fa46}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 61a217388ae44f9608975dd6815e5020}
r1: {r1, 53314e63fa3d9b47e6b946eb03fbf6fb}
Z0: {Z0, 693bf0c177cd303cfa6659845ea6b245}
A0: {A0, 8c34eea70c56c5425a656298bff546af}
H2: {H2, 50ed4d75c992f53fcf7c48061f92e4ae}
O0: {O0, 9e4bcc7e6beb2e7a4acf6c9558d568a0}
I2: {I2, 1bcab3d2cf584436617f4019c02a2870}
d0: {d0, cef473fdb4adfbcad0299b3d02ee269e}
b: {b, 3cb560328b4b3e2c3c730dfc7ef4474b}
k1: {k1, 91a8d8a0d841982f54e84155452c3585}
k: {k, 5e99f38eea39483921cefc2dda3947dd}
g1: {g1, 0f74cc8b53de5cc3a11b30ede281d622}
c0: {c0, dd136e6265474fe28a8a76678964732f}
U2: {U2, 065d3dee6b451709ba59c55163bd79ff}
Z1: {Z1, 0f8f7c7a078d759b24b09d6263e42100}
b2: {b2, 70ba73271937e00582e397ffcaefe46f}
R1: {R1, 32eb10fbec9d02060e58330de03aa5dc}
androidx/cardview/widget: {androidx/cardview/widget, 9b49dc0735af213fd393b2b9d354ee0d}
l2: {l2, 3d712f4cd02ed9d44853567addbcd4c0}
i3: {i3, 7fad42d65f641c9a50e58bc332c89083}
V0: {V0, 8d2268c19f81890ee7a2f3017a249bc8}
D0: {D0, f9e9a398a62460bc64a944fd116d2eee}
V: {V, f9f6af15a2a498169f0b404baef0cb07}
B: {B, cdeda0eb00d68d8f903170d8e5829408}
com/to/aboomy: {com/to/aboomy, 8e05cd1f6e2d87e84291b4ce4a866c1b}
j2: {j2, d02e093b3a37c7efced079a5857ef12d}
androidx/core/graphics: {androidx/core/graphics, 9db02a94980eb7929821e198e436fc13}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5bb2c9a62310499720c0d6bae04516c6}
h2: {h2, 5a536dd297fcc88c96b2497831ccf639}
I: {I, 664cbe112c86c77f02ade86380dd8f4d}
com/liaoinstan/springview: {com/liaoinstan/springview, a8abd81cae6f1d191e7a664bdb432600}
S2: {S2, e122e767fdef2cf6cc2e5f89967317c8}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
L0: {L0, e8911f7b8b599a586fd8d122dac045b5}
androidx/navigation/fragment: {androidx/navigation/fragment, 3db11bf7fa6c36cbf72be3c994fe11ac}
com/airbnb/lottie: {com/airbnb/lottie, 29e1c95b8a6e85e374e807b74430fae1}
z: {z, 7c8703280f6c0f7b10acbfcbac9797bf}
d1: {d1, dd4d91e88a84eb8e0fb4ef29d65d6cfe}
Y1: {Y1, 4b48d19ccaf8beb3120f80877b6ae839}
k0: {k0, c4fbd4a9315e25d19b0dc030eb2135c5}
g0: {g0, 555243fb7195c138c2a2ee5f15837d78}
J0: {J0, a48992eadec6dea6eb3be03143379a64}
x0: {x0, 32869c6a8b2eb8966172d16a3859adca}
b3: {b3, 0a5967462f3b747ddf0c3cf6db71e49e}
q2: {q2, e381f6991873210ea6cc1b6be99b5314}
U1: {U1, e456c176acdff061ace8ba202b2ee78b}
R: {R, 18d2b3642f48b92f4085fbfb99f060ff}
androidx/core/widget: {androidx/core/widget, 2d2b767d36ad4ce725537b9799753727}
X: {X, 8308ddf5f1a088f3da10a4ff8d82bb7e}
o2: {o2, 74a7347d70985ff032953f438476e446}
m3: {m3, e4690a1603211b66567d1f00369fc8b6}
i2: {i2, 876d75778bfa33fe723399d30640b064}
r: {r, d865f16333ce7e014769c1dff72a6d9b}
Z: {Z, 237d0d2f43b1965a608c9c82f35327d0}
D1: {D1, 5d836e1f254f2969c53a18548c7ad249}
C: {C, 8b7b619bf8e9862d00fae04d9c321d9e}
t: {t, edaf0b3a38017bb6eb56523f205115bd}
g2: {g2, 8c56ba7ba4224bfe3e60d5b83bdc9c18}
V1: {V1, 18344965516302a42e24447eff5c3e74}
androidx/media: {androidx/media, 0091dfecadba6e798005d7b419d9d871}
j3: {j3, 4e1b44e6446af718156bb43f5cb33416}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
J: {J, d0023f7cc14eb9e62b8eb1af6dc30595}
C1: {C1, 706a4c62245ac74d2cb2335a199ea60c}
u2: {u2, 782e38596337a8f2e09f3922411087f4}
s: {s, 2ee23ada12f260ad40427760f4fedd43}
Q2: {Q2, 1ec587f8270c6dbc5cb1bb0fcda35b0b}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 050655bafc031bccdc9fc2d2751d4454}
h3: {h3, 99ccc999c5b19931881273e2e38bf76e}
n2: {n2, f865add1bef1204914ecb8d0e8043040}
L1: {L1, c016341012fc0d61ec469cb5021daaf5}
k3: {k3, 382e47584c944b13d765647bdfbc30de}
O2: {O2, f8c86e65872bee058a87a5d56949596d}
Q: {Q, f609861a93a76326fc2582b7cd87db0a}
l: {l, 1d7f3e6c083e6a24cfb25539dfc0df6d}
S: {S, 872c14d100d84ec2778ba4a7f841a35a}
v0: {v0, 66d04f4c5eba839ba8e6b945f551b475}
androidx/appcompat/view: {androidx/appcompat/view, ee91a6d34b61beb114d00ea1b7315dfc}
d2: {d2, cefceefd6089a4b1f3fa055e08a524ae}
Y0: {Y0, d35549ee2a26b2e1816c6edb700d6772}
com/google/gson: {com/google/gson, f8f11b7b0282efa32f0db24bbcf32e5e}
q1: {q1, 99ba140817420fa01d7c000931c68066}
U0: {U0, 0d9d76c51ec0f07b991ef9cdc7b18ddd}
g3: {g3, df2842d14e6872f628729b1014bae562}
n0: {n0, e65d03ac80c02a4b725e2a10a081e42f}
I1: {I1, 60a8ff4bf00ba18021ea840e8d15a6df}
D: {D, c80f66a82836be63cd3f843301a38dbf}
b0: {b0, 3457e93ab0586bbe323c1f8e89b8158d}
N2: {N2, 2645e8563b547d6de7edf882126276de}
m2: {m2, 06ae5616c166fe17c92ec3ac82f4ba42}
L: {L, 20782926012ac7b6848d1b89403ee7c4}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
F2: {F2, 17e9f9b7ff6db0387c2d7ca6a72e864c}
J1: {J1, af360310b1923d90cd88b9823ba76d6c}
D2: {D2, 9000786bbb5a5adb126f276ec0b78605}
c2: {c2, 43187c1e47db820812a58e91e4726823}
a3: {a3, 4a4fdf3f495aacd77370004de163b639}
Q1: {Q1, e55b57a31d5b67347f9d74082b6f1e58}
androidx/fragment/app: {androidx/fragment/app, 42b4510ce03a1e999e434ab625c83c4e}
G1: {G1, 6d3755b1785c16d6a38efdc710eb8ff7}
C0: {C0, 9f554d6f263aeee70b9aa6d21376bf62}
j0: {j0, 35fb5789e8e89c87b6c3dc73ce2d7741}
l3: {l3, e13dfe65bceb1d8042ed9a42fa98d7c5}
B2: {B2, a4b451a0428d205cbf74921820a47978}
