androidx/appcompat: {androidx/appcompat, 547acf75b59008f3386adbab84cb2908}
kotlin/collections: {kotlin/collections, 22611880c60ba0a38dae526d90d07bbf}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/window/core: {androidx/window/core, 9c7c0ba6300892497902451ddac91626}
kotlin: {kotlin, 2c2df6c1b7a42c5b1154088ce872f648}
kotlin/io: {kotlin/io, b922cdb4b2c93203257c0243019078b1}
androidx/room: {androidx/room, 073e8b72997591207a4392a4c25c3150}
androidx/activity: {androidx/activity, 19d345c9b1c1d1c7f2211e9b37eb7e15}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
butterknife: {butterknife, 70b2c6a31e7b747879c617a02df02d71}
androidx/customview/widget: {androidx/customview/widget, e64016f31701dcf246a94d33d5970224}
androidx/core: {androidx/core, 4972b6eafb9a0bb48effc6a78e95ed6b}
androidx/preference: {androidx/preference, 1f91909c5c35041b3c8408a1d7b0c8fd}
androidx/sqlite/db: {androidx/sqlite/db, 861a14ac2c4ffc47ab8c0084000d1180}
com/leinardi/android: {com/leinardi/android, 0b0b1a39e03a2101cc028e347facd8be}
androidx/lifecycle: {androidx/lifecycle, c415496886bdab8c3663670d52febaf1}
androidx/fragment: {androidx/fragment, 2085b4a788b4316428d35f011dec0900}
androidx/emoji2/text: {androidx/emoji2/text, 6086ebe591c8d85935932a3f593acfe1}
de/kuschku/quasseldroid: {[de/kuschku/quasseldroid, de/kuschku/libquassel, de/kuschku/malheur, ], ca795a9ae59917d88e2a90d225c74e37}
androidx/loader/app: {androidx/loader/app, 658bab1d07315dbbc3d60d0efe14b3da}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
com/bumptech/glide: {com/bumptech/glide, 00fb42b26ec50771f0c8edda89134fb6}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
