androidx/appcompat: {androidx/appcompat, 563adc2763667076d7aee63eb044ef5a}
kotlin/collections: {kotlin/collections, 3e69c9b2e2dfb310c97083d9b9fc9d2c}
com/aelitis/plugins: {com/aelitis/plugins, 3629b1d4120c3f3bc2a3a735ce4dbab2}
androidx/fragment: {androidx/fragment, ca11ed5e3e4bbd436c23f924b08d8e13}
com/vuze/client: {com/vuze/client, 7acb9a907d513badcf960a84bb58ad7d}
androidx/drawerlayout: {androidx/drawerlayout, cb823cd0bd6306a21bf93bf5f33fff65}
kotlin/internal: {kotlin/internal, fc5d4354b9a14e87f2ea1e1813124287}
androidx/activity: {androidx/activity, e63de23f724b0ebbbe2c8ed9dbd1f374}
kotlin/sequences: {kotlin/sequences, 534208cc1cc0854fa0eca1910d32a2d5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a7048fe4c47af1ff497a1f1c652bcef0}
androidx/preference: {androidx/preference, 9efaec458a8a69b6b8b43c50452a778e}
androidx/customview/widget: {androidx/customview/widget, 23c37c047de7b91aec3646f2870c73c7}
androidx/lifecycle: {androidx/lifecycle, 6376e5926b81a30d429e901218ce968c}
jcifs/netbios: {jcifs/netbios, 8119f1924eac9ebf7024dbe47f2834c6}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, bb5b6abf51a5366882c3ff1adadf3505}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 6c78c0b0a10cbaeea4ac31c42c92cfac}
com/aelitis/azureus: {com/aelitis/azureus, 107ae4cde18e8c68b6cbea76ba9c0761}
kotlin/reflect: {kotlin/reflect, e3c0a425ec2c47b67599a8ff5554c565}
kotlin/coroutines: {kotlin/coroutines, df9462c9a9285c7a13134a3577c73780}
com/google/android: {com/google/android, 9cda6af9b31d6fc9c02a108fff0e67b3}
kotlin/text: {kotlin/text, 56ff66148df68f407ff8758f6cbf6e07}
androidx/versionedparcelable: {androidx/versionedparcelable, 5cb759ca57efd5c189012cbe0023425e}
okhttp3: {okhttp3, a82b8cafc806848f03a33b374bf4a53a}
androidx/viewpager/widget: {androidx/viewpager/widget, ce9db962e658df3763fa7c2e9fbf3c1a}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2cb906f97c8bad088de9a368c0a35fa7}
androidx/core: {androidx/core, a905ffc6b5549cf54db35bc2db150793}
androidx/collection: {androidx/collection, c12bc0835f72953fd47784681c1bf569}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, e556568af0eebeacbafa46029a54f253}
jcifs/ntlmssp: {jcifs/ntlmssp, 9773508caf5fce09641b5545e956cf12}
kotlin/random: {kotlin/random, 531fbd0240ca14537810816dd06120c8}
androidx/interpolator/view: {androidx/interpolator/view, 64d92f64291bea5cd1b74e6fc7470aa4}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 23f8c674ae5bb9c52c44ae345a8138e0}
androidx/multidex: {androidx/multidex, fc78e43d94965cbf0fe816848a7ef69e}
com/biglybt: {com/biglybt, 89783c2a200f559c5393f98f63b9f9f8}
com/google/zxing: {com/google/zxing, 9ccf63229dae1939b99f00e58537ae7e}
jcifs: {jcifs, 9d0b4b52b8ad788a9d3067c5b6f86859}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, db109b280185cd90d17846c446de7ee3}
