androidx/appcompat: {androidx/appcompat, 4e194bc4bfb41ddcaf628f4bfa021fae}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 09ea98eab619cf3521b8f9530886607f}
androidx/core: {androidx/core, 5417138943f6bfdd02e2a30b60451774}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, 3ae42b2b3e73d9e495683157fdadf409}
androidx/lifecycle: {androidx/lifecycle, 321ea4081b50777f575865ea04bd5078}
androidx/fragment: {androidx/fragment, 70c5353c237d55ee4ba3df9b215566ee}
ch/qos/logback: {ch/qos/logback, 5c611f0bac1118045f55bcf1a317ad0a}
androidx/loader: {androidx/loader, 28e655cee0fa8610edae07b8d8081806}
androidx/vectordrawable: {androidx/vectordrawable, 6f3776bf4705a9943b379f215336ad17}
androidx/viewpager: {androidx/viewpager, 15630c150d035fbf1e32de16a8342be9}
com/google/android: {[com/google/firebase, com/google/android, com/google/common, ], 98029a1b0a372fdff25a471dd297690d}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 63ce5ae081b48eff7a9e22ee2b258f46}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 003748e5453ad5a61205084aacef85f9}
androidx/collection: {androidx/collection, f71afebb59dbd54943f16911390e7138}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, ecb8fed853ed83279858740eedc802f3}
com/Ostermiller/util: {com/Ostermiller/util, 034115904ad25ad237bea5913ea7b694}
androidx/drawerlayout: {androidx/drawerlayout, 66e7a0c03f4ca9f2d4cc598002b5f9be}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 954f39e20d9c6da2da02c41921a57a95}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
brut/androlib: {brut/androlib, a4b8fd4cebdfedc37afdc3fc85faae7e}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, dfb95ec0f32cf95f9de078074e9ec4b5}
com/bumptech/glide: {com/bumptech/glide, b4dacf0849e8042aca58aefd483a2f2e}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
brut/common: {brut/common, 93ced6463a9e5541d91a5b8b5dd4e812}
androidx/leanback: {androidx/leanback, cfac22829b435460cf37136949809908}
brut/util: {brut/util, 69dfe69d92fd81c0e9332e688c8afb36}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
com/badlogic/gdx: {com/badlogic/gdx, b96c06b3674c5b3388537926ca1f8314}
com/github/rahatarmanahmed: {com/github/rahatarmanahmed, e5539d79044f1ff225aae7d08c908ce4}
androidx/recyclerview: {androidx/recyclerview, 49d6a343eddc0cd02805be60f3fd1fb4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 62d3e6ca6649528aafdeaf725aefde95}
androidx/customview: {androidx/customview, e398aadd94700c0b6285092b8cdc0742}
androidx/annotation: {androidx/annotation, 59a4b7b901d05b509122b476bbe5730d}
