com/squareup/otto: {com/squareup/otto, ced37f2b161d22d67293cc80ae71e133}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
io/fabric/sdk: {io/fabric/sdk, 195f27b58ee30fa7d4d4428864545456}
com/daimajia/easing: {com/daimajia/easing, ab0e0acce876eb1271d6268419b86365}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
me/zhanghai/android: {me/zhanghai/android, d39ef6ae7c749a131ecd0b0900375622}
info/hoang8f/fbutton: {info/hoang8f/fbutton, caaeaaef16371fc9b80c238783637dbd}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 5fe2e12560723bcb460198d396254834}
at/markushi/circlebutton: {at/markushi/circlebutton, be8ef9c22ab7d5f5a07b561970315de6}
at/markushi/ui: {at/markushi/ui, ead25a9fe8f73186690c5dddffb0becc}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
com/crashlytics/android: {com/crashlytics/android, 31c233abf40206e2938510dd26e64837}
android/support/v7: {android/support/v7, a217f1a4f17a5be498d73d55985a09e8}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
ca/hoogit/powerhour: {ca/hoogit/powerhour, e437a8978692890f0d82f5f4b02f25ab}
com/github/paolorotolo: {com/github/paolorotolo, b0ce230540499ecd8bcc5939414613c4}
com/google/android: {com/google/android, 158226e7ed7731abb3a434d305b9591e}
android/support/graphics: {android/support/graphics, 6f1eda4a213eb317c00929c82e70f9a3}
com/daimajia/androidanimations: {com/daimajia/androidanimations, c345cc980f1365554c5cd230d5fba3fe}
de/psdev/licensesdialog: {de/psdev/licensesdialog, e2826c52330e7505297a5d83a87b6398}
ca/hoogit/powerhourshared: {ca/hoogit/powerhourshared, 8d1bd3e46e2d8c0ce106b0a3072cabbd}
android/support/design: {android/support/design, 75a02185fb54eaad0164c28beee075b9}
com/pascalwelsch/holocircularprogressbar: {com/pascalwelsch/holocircularprogressbar, b0b12f4ad673209c4491a10042874112}
ca/hoogit/soundchooser: {ca/hoogit/soundchooser, b7ba5f7868aa14dc484744081b7c15e9}
mbanje/kurt/fabbutton: {mbanje/kurt/fabbutton, d2a72dbfa17067ed1b336dc00a1c239c}
info/hoang8f/widget: {info/hoang8f/widget, 53a7e321675ed42bf6095f22f6a74aba}
com/gc/materialdesign: {com/gc/materialdesign, d6483a5771a31d820eebd62b97e8d896}
