android/support/v7: {android/support/v7, 4d533d59b49b7b8be6735428204fde6a}
helpers: {helpers, ef197527fcb82ee89485fb190bce5372}
ui: {ui, afb37ffa2b32bb59ae735aabdc3448c3}
tweens: {tweens, 1ea95efa6ff4f53126c718906b6f09d5}
gameobjects: {gameobjects, 2e9670dee11c2aff504bb67debfdad39}
com/google: {com/google, 008adfa63910d943b3ddc2a45fc66976}
com/igbow/candytap: {com/igbow/candytap, 1f153361201f5acb30a11bff8954726c}
com/badlogic/gdx: {com/badlogic/gdx, 635bb616f1af0a51cd9f0048e17f0b79}
buttons: {buttons, 0cb3bae779145fcc154a196742f986e0}
menuworld: {menuworld, 931ebea4061a8a6962e606c37b2fd065}
gameworld: {gameworld, 7e6b6edd50273303d95cf6d3e4dd4af7}
aurelienribon/tweenengine: {aurelienribon/tweenengine, 3adc6bcb4d7198847698168b7726e28a}
android/support/annotation: {android/support/annotation, 2f98f4fd60829d2567feda6a980af495}
screens: {screens, 3577348193a5e64c5795b7cdfe427bda}
configuration: {configuration, 2760985aa7e4735e746c529986fc18a5}
com/android/vending: {com/android/vending, f28bb159c571fbed0f62f691a69599df}
