androidx/appcompat: {androidx/appcompat, 556664ea679ece4dc891bb6decc3725f}
kotlin/collections: {kotlin/collections, 317a46acc244770313230013fbcde43e}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
kotlin: {kotlin, a80b9a3a25194d7e6c327b2f140f848e}
kotlin/io: {kotlin/io, 813ba30f9e7d16f9c13a81e9037e910a}
androidx/customview/view: {androidx/customview/view, f89fd6287c9c4ce1d3565f77701f994c}
kotlin/internal: {kotlin/internal, df12acbd79faa592eaad5c77604207ed}
rikka/sui: {rikka/sui, 68e54040dccd05710f475c61fb62e306}
androidx/activity: {androidx/activity, c288889be1693275be7afc35816209d6}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
androidx/profileinstaller: {androidx/profileinstaller, f520bba5a6790649f3036baf565e598a}
androidx/compose/foundation: {androidx/compose/foundation, e44b726d3e31d309457486b3bf094e5d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e0c5453923c156a665b926bac11554eb}
moe/shizuku/api: {moe/shizuku/api, a586ccfbee998737f9a1fec7f5c905be}
kotlin/jvm/internal: {kotlin/jvm/internal, 42bdb42768a4799b4ed75a0ca1a3e569}
androidx/customview/widget: {androidx/customview/widget, 2631dcc16ceb12f0dcefe9d409360386}
com/oasisfeng/androidx: {com/oasisfeng/androidx, 8f858e6e2bdd983a1935907285d1282a}
androidx/lifecycle: {androidx/lifecycle, 6286544e52bb3f85ca2de9178b8586e7}
androidx/fragment: {androidx/fragment, 335dab7f6e019b22f150d9bc1df8c05a}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2b3ec5fcc544a9377470472fdc7bb3f7}
kotlin/coroutines: {kotlin/coroutines, 187146b449f3ec7c80dded2ce0c8ae6a}
kotlin/math: {kotlin/math, 814389229c9e7f48437d056fbecd2ff3}
kotlin/text: {kotlin/text, b71a03cab3ff83277457f2d4c2253e57}
androidx/versionedparcelable: {androidx/versionedparcelable, 461a26cdfa7ca408676daa032b6e7ce4}
androidx/compose/animation: {androidx/compose/animation, c82717698ac95064cc17637887427efe}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, bf78bcb660b733d6b117d6ed98fd8618}
androidx/collection: {androidx/collection, fb4f46abbca9a106d704dc88a7677c92}
com/oasisfeng/shizuku: {com/oasisfeng/shizuku, f9719eee847ac8711bb779278d60158d}
androidx/transition: {androidx/transition, 18feb41a4076f7a2c0a0d956a7aa445d}
kotlin/random: {kotlin/random, 21745240ce938c9b4033fc71bf6b40c2}
rikka/shizuku: {rikka/shizuku, 42299cd5ae93610ab4a70a9a2ab10f1a}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 20d8e551002ece963c7133cbc508c002}
com/oasisfeng/perf: {com/oasisfeng/perf, 4379745966050901724bedd20aaa2939}
com/oasisfeng/condom: {com/oasisfeng/condom, 674a0f6ef9fd386d53fe521e43f4a566}
com/oasisfeng/settings: {[com/oasisfeng/settings, com/oasisfeng/island, ], 243dab7b166d5ed45089b27cf87dc678}
uk/co/samuelwall: {uk/co/samuelwall, 287bebda1ce316dfe99113f1a0fd3a69}
androidx/browser/customtabs: {androidx/browser/customtabs, fc9c4e8f0c66a6d95f5abacdb9e9dfb6}
com/oasisfeng/pattern: {com/oasisfeng/pattern, 4db5a62c60c87ad10fb533331510d94e}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
moe/shizuku/server: {moe/shizuku/server, 0c1e796d3468098321c20d8bbc31c505}
androidx/compose/material: {androidx/compose/material, 63a553ed440b6f843d90052a9fa66398}
com/android/setupwizardlib: {com/android/setupwizardlib, 0ad32ec13d524d5a81cbc90a9c33ca31}
com/google/android: {com/google/android, bb865a2607c2cb0dd39c98199ddbdbd2}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d2642795c89e59383f480d21701e9aab}
kotlin/sequences: {kotlin/sequences, b569c2146ec7fe1e9260328a321fcedf}
eu/chainfire/libsuperuser: {eu/chainfire/libsuperuser, 2de86cc65d807be0f28712f4c2e4ee5b}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 309049a205405088e3af01730a5122e1}
kotlin/concurrent: {kotlin/concurrent, 0a0f0d55c14d295c5f8d044eef6d675b}
android/app: {android/app, 3f822536f1f6c072dc6b2000cafb754d}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
