androidx/appcompat: {androidx/appcompat, df10ec668bf6da54a16ea3a56c4abe59}
kotlin: {kotlin, e9f38002342fd089aa5e51653a98f3ec}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
androidx/room: {androidx/room, a9e347c50f1e24e384f523f78c61fd22}
androidx/activity: {androidx/activity, 4c041d3c75093d7a65f9a3c76302bf20}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/preference: {androidx/preference, de0eff135836a6b25453731513ab255e}
androidx/sqlite/db: {androidx/sqlite/db, 9d06578b8cb1e06ed8d357574c6be78c}
com/anthonynsimon/url: {com/anthonynsimon/url, fb0d1a971840eb445bcf6f8a0c23aa8a}
androidx/lifecycle: {androidx/lifecycle, a77c88ada9b78d0d5e84f5234b956116}
androidx/fragment: {androidx/fragment, 33673e1a3effc50fe8b27f678be6bf86}
androidx/concurrent/futures: {androidx/concurrent/futures, cddd8865b67b82a5cfddaab0e12fbdd2}
androidx/loader: {androidx/loader, 7e4302e8c37768bb33a1adde97db2787}
androidx/vectordrawable: {androidx/vectordrawable, b69f4e2955d6aaf98cb4d2622a9b752e}
androidx/recyclerview: {androidx/recyclerview, 36e19b0943ffea1904869d7b4c7dc6f3}
com/leinardi/android: {com/leinardi/android, ae0c34506e9f9486f819136e7b098fa8}
com/google/android: {com/google/android, a88db059efd5025340e32c058621fd97}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 2ecdf8f2a464c7ce872c3ea5e6c14568}
androidx/core: {androidx/core, 156b967c8a9effc4ca7421f81dfdf57f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 6cb701f2aad8d854273568e7a95b49a4}
androidx/collection: {androidx/collection, 016b447e3be01eb540e7567e9e92ea63}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b1c946cd83d24bd83b3dc61b43f74846}
androidx/transition: {androidx/transition, 9720c75d9fc1dd7b1edd982f1cc6f104}
com/ernieyu/feedparser: {com/ernieyu/feedparser, 9b706e971caa40de24157299569af6dc}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5c1a607efd819b3495a83589ff764ce5}
androidx/multidex: {androidx/multidex, a655deb2bb9be73b0318a3aada82217b}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
com/jaredrummler/android: {com/jaredrummler/android, 5a2a265440bf8a429eb47fb83103d9ad}
com/google/gson: {com/google/gson, a6659928ef4f8e1a679308827a9b6bc8}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, f3f2704857cece1a4947d3ff6e09da5d}
com/sun/jna: {com/sun/jna, 3311e915bcf931a1b850c0febc71f8b3}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/paging: {androidx/paging, fcfe3dff5d9d3f923dc94922d48d7555}
androidx/emoji2: {androidx/emoji2, fb7bf8b9e796bbdf984994b177e9f4d5}
androidx/work: {androidx/work, 39ee0d2701c4bb4b1df6ce31b227b200}
com/h6ah4i/android: {com/h6ah4i/android, 5db03dce77b42d5abb38a68149edca72}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, c96109ee9b9974cceb469a722ce2686f}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 6286be8664fa9025dd9b9fb87aebd1fc}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, f09acf048d7dfecb5f6343e7e3c0f8b8}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3de882ea039dde3a8594bc3d6c22dff5}
io/reactivex: {io/reactivex, 7cf6ab58d9a37e2e006ffea6b38ec412}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, b8fb0e0e7993a6b017e616c3d53343e1}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, b45ce97d95e4ce76207935d7e945381a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
androidx/customview: {androidx/customview, b5f4957107a5bd0018a35d0cad231914}
androidx/window: {androidx/window, ed69465ef2a432d322e4c97634e950a2}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
androidx/databinding: {androidx/databinding, b3ec6600a6110b8d336339498b5c86c5}
