jcollado/pw/pimpam: {jcollado/pw/pimpam, e11501682d04126cf0dfee9cd2e9504a}
com/google: {com/google, 86ea96c7ab379e654bd33f5d27465687}
butterknife: {butterknife, d092a256e325d4a8339503ba5f420061}
com/varunest/sparkbutton: {com/varunest/sparkbutton, 50765484863a447b16dbf8c1c5453224}
com/mikepenz/fontawesome_typeface_library: {com/mikepenz/fontawesome_typeface_library, 1c3b81da3226785e041fb0b219ba02cf}
com/mikepenz/materialdrawer: {[com/mikepenz/materialize, com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, ], a5b0c1aabb5f2519163ae2303f5f3650}
mehdi/sakout/fancybuttons: {mehdi/sakout/fancybuttons, 079ca1b5fbf0ca7d9d97639491085e37}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 2e85ec8e1a07189eb377d02bcfb6655a}
android/support/v7: {android/support/v7, 0dc2c5f814beebd014ddc2348d7cf1bc}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
butterknife/internal: {butterknife/internal, 50f28fa1e2325bd751c34c003ab2ea8f}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/graphics: {android/support/graphics, 119895fcb6e4ff386a92243d6d2b5ac3}
com/bumptech/glide: {com/bumptech/glide, 9c99ba1f3d78a72b931cba4f1e489e51}
android/support/design: {android/support/design, ff72b85a17a807363441236c7ef5ae64}
android/support/multidex: {android/support/multidex, 081947b2bdd8cb3e1ed92af83f451759}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/karumi/dexter: {com/karumi/dexter, 20db76602df79ef5d27d2d8d5682baa1}
