org/joda/time: {org/joda/time, 4f5cf90a7cce27adb12626148e097da1}
com/squareup/otto: {com/squareup/otto, 7d05d3b8ccc36909c8d20866e81ab96d}
retrofit/mime: {retrofit/mime, 223b535d8e77ed2bf51dbf481e80185c}
okhttp3/internal: {okhttp3/internal, 75a575ca20895b0e103e72cfa0295a02}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], c1b7130edc9d0cca19f467ba76070fb5}
butterknife: {butterknife, 8e24bef1089d5d44df36403f59cc49b1}
io/fabric/sdk: {io/fabric/sdk, bcee35304168d4a935afa932607459a6}
retrofit/converter: {retrofit/converter, dd203cd4f86fd2b15569791a615b2bd7}
android/support/fragment: {android/support/fragment, 21c2f29ee827021519c2b46679f0308c}
android/support/annotation: {android/support/annotation, c1c4219abdd5626a5acf3af76c730df0}
retrofit: {retrofit, 2f5817053758113dfbe11b2ca3e5dce7}
com/jakewharton/picasso: {com/jakewharton/picasso, 0a66bb1e83798eaaf4a2528333a87a35}
okhttp3: {okhttp3, 8b8902a1faeb419ec370c1d47da4a3d5}
retrofit/appengine: {retrofit/appengine, 7259ae1d1561c49b725b29ab5fd4df6f}
android/support/transition: {android/support/transition, 855c6ebbe01fbd4897261262418df06a}
android/support/coreui: {android/support/coreui, 21c2f29ee827021519c2b46679f0308c}
retrofit/android: {retrofit/android, 94c2e8dccf29eb7c7e7e844f461bf8ac}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 0934b4630ef0d4fe81bedbe72fb35c6e}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
com/crashlytics/android: {com/crashlytics/android, a77e640707094db1ad61c9a92a96ad55}
android/support/v7: {android/support/v7, a49d01b59b13c27e591b834c74d6c2a1}
android/support/compat: {android/support/compat, 21c2f29ee827021519c2b46679f0308c}
uk/co/senab: {uk/co/senab, 9defceb39f5d495180ab0fc4efcde797}
butterknife/internal: {butterknife/internal, a66feab2d2edc83cad010a082756d69d}
com/fasterxml/jackson: {com/fasterxml/jackson, 5b96ed98b5daa087935590c7d83032c4}
com/jakewharton/retrofit: {com/jakewharton/retrofit, 0e404aa3bef7a9f35908bdb54d370b86}
android/support/coreutils: {android/support/coreutils, 21c2f29ee827021519c2b46679f0308c}
android/support/graphics: {android/support/graphics, 3d6a06b591290d24f9d7f323061c35ba}
org/hisp/dhis: {org/hisp/dhis, 0decf56af40ebd03563efde5cdc2389e}
android/support/design: {android/support/design, 8480502037960e2300e63c8fdcbb2774}
fr/castorflex/android: {fr/castorflex/android, e804cb3ccaf8326090dd6f827dacf30b}
com/raizlabs/android: {com/raizlabs/android, be89096d31fda3825610fab99e286550}
android/arch/core: {android/arch/core, 4ea60d8931267a528c067e6d2bb8966f}
android/support/multidex: {android/support/multidex, c6816aac0fc6459bf6508bd5b337c1c2}
android/support/mediacompat: {android/support/mediacompat, 21c2f29ee827021519c2b46679f0308c}
com/google/gson: {com/google/gson, 0244c4c3f89d86518aa781476f813f65}
android/arch/lifecycle: {android/arch/lifecycle, 15736f8c812c99e22d7f75954d2946c2}
retrofit/client: {retrofit/client, 7f67627a85787ca695dc80fef062634b}
okio: {okio, c4427af13ff807a63e617b350fd21f31}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], ba3ca247c0d2a80c91094eedad654b49}
