androidx/appcompat: {androidx/appcompat, 25f4f3c16aa585c67033912b8f6fedb3}
p2: {p2, 81b2d785f65960bd47157abe7a45350b}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
j: {j, b1db3ab0069350bd13c64dd69c8be214}
c1: {c1, 39288e8c696dbc066c1b05fba5853ccc}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, 982597430dfac4dffd24ae35bd507cd8}
q4: {q4, d7b56dc91403dead449556b05c979762}
androidx/activity: {androidx/activity, f81ec72b879765e6bc266dbb52451b7f}
b1: {b1, 0e9bc42718141f9c6264f7e231d965b2}
l1: {l1, 02ccf16d4581b53efd93788aa6876866}
androidx/preference: {androidx/preference, 784d537836e76b203374b32f8d12afcd}
i4: {i4, 651d16bc69fb346747b25194af64f855}
com/github/mikephil: {com/github/mikephil, 0c8fa6c9fe6098270950c78adaca56c1}
o0: {o0, 8017aa66a32a95e2643669e30ca55e75}
androidx/vectordrawable: {androidx/vectordrawable, 450f17f08413110276fbb1e07e59e87e}
b5: {b5, 6c0c88b522ae65f841103f24e7871363}
com/google/android: {com/google/android, cb11534eca4bf9118a32e0358086ea58}
v2: {v2, 5e4806a4b8c46b3c4f712f32ed0674a7}
z1: {z1, 78b87513acc1a591390b1c95ef66ac0e}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 58259f7845ea6780da20718403a3a948}
t2: {t2, 13b0d3165366c4dc421326cc50737e94}
w0: {w0, adfe99f9923a8f48bf2ceb40e0605ec7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
r1: {r1, b01b6c4555d298c1fd8cbc9c175b8086}
androidx/transition: {androidx/transition, c213f30fc0a439689afd4b7bad714707}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 0de3d227c6961cfbbf0547989ad69641}
androidx/window: {androidx/window, 92d630d30bf6dfea0b9a8d887ead7766}
d0: {d0, 8844ad75bef3e6fb64eef3e31834f25c}
f4: {f4, a8a9bb49f75c9b1a77335784d48131ac}
b: {b, 979b15830593f2b5af5096c7b53f7f8b}
k1: {k1, d95b4d3feeba15df761c022d04f86d86}
k: {k, b3d57734564c6f57827e5c6308d64975}
g1: {g1, d2947f75a4628f0d75d244dd1a890193}
c0: {c0, 7088bbd9b2051abee06e11d760266180}
a5: {a5, a65cf7f2c51795d4cd9e4cecdb41506d}
p3: {p3, 1585ac326ee07d3c6b55e49222329f38}
e5: {e5, 167d302cf5e715bfbb68100d232ee65f}
b2: {b2, 8cc9d218097a8d83b4378c7c3834b473}
q3: {q3, 2cbdbaa03172f3f6e66df43039cca795}
l2: {l2, 1519b59bff74bddfc91b2541f10451b7}
i3: {i3, 31d1d119c6a584b84e0bfa0af7f0f247}
o3: {o3, 3d37ca44dbee7c9b164b626ce08a9c12}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
t3: {t3, be75c9c625c4a35aab4b3ab002a2a3f9}
j2: {j2, 3a5d3211d5162df7555d781bb36658a6}
v3: {v3, d27e43e4acb6b902c7ebba360d984077}
