androidx/appcompat: {androidx/appcompat, 7c4d7d10687934d13b07286466115043}
com/google/auto: {com/google/auto, 30fca3c14c02be01bee2c6c9c0108bda}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 10ec856f16061ce61a9d5d681ade6fc0}
androidx/profileinstaller: {androidx/profileinstaller, 4e56b12b69c8cfae23b7689c754267f3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 6537a869a12fe1f6bfd8cfc547344251}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/lifecycle: {androidx/lifecycle, a197e55795b2d1f01ba74f8e7530b2fb}
androidx/fragment: {androidx/fragment, 191d3c42a6681ecf75aa8fd62820c2c6}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 1db4a5557a0b9f9cae9a42d2424c478b}
androidx/recyclerview: {androidx/recyclerview, e01829c58166c776289348782074d294}
androidx/viewpager: {androidx/viewpager, adc3fb650b54aeafb31d18abe303e7a7}
com/google/android: {com/google/android, d8550c49e2497d7db7ff60106c9f0cfb}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a3c6de987e9bf9f617d9edbbadb19fa2}
androidx/core: {androidx/core, 6a637f697421f5014488d7cd1e0ea21e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, 2528789832a953d3709973c77f9d01ed}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/transition: {androidx/transition, ffba20d4693ed423f63bfb040087c8b6}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d00a431e9658dba410e10b0099c531e9}
androidx/multidex: {androidx/multidex, 23c612ee55aa1b091b6d8ee7f961b97d}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, f842f0eb5b346f0a0e09b196e8519429}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, a441177e15e109d96431c38632225902}
com/fasterxml/jackson: {com/fasterxml/jackson, 2117e201c7187be17cd61003aa30d7d0}
androidx/emoji2: {androidx/emoji2, 14756abd2910ed4cba69266d3979df47}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ff1b5b4a8152c23d704f959081b0e488}
com/google/common: {com/google/common, fa6b2311be90bb6cc3435f546c588a12}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/viewpager2: {androidx/viewpager2, 51644001a78833ac62d4c0c456629a62}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, ddb3c93b2459a8399f8b58957d937354}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac7ba5c603f52a3691b32041fb93cd0}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 6473a1a836b22dcfd6942c075995a230}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, c6abeab52625192c7e9778404b3b0d2a}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/test: {androidx/test, 063a51f36d8f6fb932d77fff981e686a}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
androidx/databinding: {androidx/databinding, d77d2d112e821f0b27e5632a7d99fb2d}
