androidx/core/app: {androidx/core/app, 991e6eac40c253af285ea5234cb1ef62}
androidx/core/widget: {androidx/core/widget, ed195aba9c27a5a86404db5b5acba012}
e/a: {e/a, 933cfa9f994b4343f05210168e05937b}
d/f/a: {d/f/a, 495241303d809508d9a962738abfef03}
androidx/room: {androidx/room, 81dbd50610ad5a3d8b670745ffdea09b}
androidx/activity: {androidx/activity, 5d8d62435db68e083088d3c64bdc2685}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 9642cf72721d7db354c76b7490c8045c}
c/b: {c/b, c8bdadc1ffdeec3b3471db4068029380}
com/hsappdev/ahs: {com/hsappdev/ahs, 0b77c714b7f479bc88c82e31a7981d04}
c/m/a: {c/m/a, 3071f1151afe735055f96ee810ff588e}
androidx/appcompat/view: {androidx/appcompat/view, 399604c20260c6ed67065ace70ccf5f3}
androidx/appcompat/widget: {androidx/appcompat/widget, a324fb828fad9dc369f7915027cb9d46}
androidx/lifecycle: {androidx/lifecycle, 5193828dbb3a0f402be980ae585326b9}
c/z: {c/z, dee345d7fd524ba1a89e0faeec49615f}
androidx/navigation: {androidx/navigation, d5e5e3f64cc3317a82e37425e47895a1}
b/a/a: {b/a/a, 71826b58df3dcc3650a3c0c16899f3c3}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, c1377029370e78d500c958f9c7e9e25a}
g/j: {g/j, 5ffa70d278155d449924371edab60f1d}
g/h: {g/h, 29bf52808d3d393bbf3f303451d7f236}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
c/j/b: {c/j/b, 3f5ded81ac6c472bc7400bf131451aaf}
h/a: {h/a, 44905215ac4b8bab640a1ca8a973cd0f}
com/kizitonwose/calendarview: {com/kizitonwose/calendarview, 6863ec40e0343a8539a12391b8687c02}
c/l: {c/l, ac71b39a944c6baa08940442b0c50817}
c/k/a: {c/k/a, 624876c9f8a28644b8c94eca42d865e7}
c/i/a: {c/i/a, 0f4a78a60707725d8b79e3b97cbfb0c3}
c/d: {c/d, 7035ea0f0b18abb8732aa811e5c03f26}
c/y/a: {c/y/a, fec88b9f4a88b416690afa3d67da41eb}
c/q: {c/q, 933f2fe0f8f700c46804015d3de5689f}
