rx/observables: {rx/observables, db807717686cbe1a3031f291c03525bd}
rx/functions: {rx/functions, 2c83da4296fbaf776c3769bf7ed1afc7}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
rx/subjects: {rx/subjects, 3011bc10c3dafb37b9c2767746f972cb}
rx: {rx, 0d6e341432e8901d2d6753c6b63ded36}
com/google: {com/google, 972d7498a2b67b70d6b648fbba7e848c}
butterknife: {butterknife, cf6fabaa1b5287f4398ef67c83904f5e}
io/fabric/sdk: {io/fabric/sdk, d186e3a7fc4448e3152bb9edcd805e0d}
rx/subscriptions: {rx/subscriptions, c57412c6467d26c98ba92952c6642bb7}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
rx/internal/operators: {rx/internal/operators, a551245ec47bfefe86ffad78e4e193ab}
android/support/annotation: {android/support/annotation, 0c1b74d013947cdb47d96438329ec1af}
android/support/multidex: {android/support/multidex, 92895351378dd96ed1e5a12c0954d7e9}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 88637e57ac2e0b182534437939e37165}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
com/mikepenz/community_material_typeface_library: {com/mikepenz/community_material_typeface_library, c02a91a7bd55e634cf7185aa752106dc}
vpadn: {vpadn, 7cb12a954f618a7dbb49e10c8d06a2ef}
rx/internal/observers: {rx/internal/observers, e9345430cbe1031551da34be9cb9770e}
com/vpon/view: {com/vpon/view, be00344d0a0367232b315614d6c6c74a}
okhttp3: {okhttp3, 5d0acf176432a4fb52098df4cc018142}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 54411ce7d0da5b5c7cdcd48f63d06ff6}
rx/observers: {rx/observers, f99ce34557068ef399de5da3641ad79d}
android/support/transition: {android/support/transition, ba795f19aed5f9633f8ef8176bc879d8}
android/support/v13: {android/support/v13, 254ef94df54e2124fa5a50dca96b526a}
com/vpadn/widget: {com/vpadn/widget, 96d2b9bed3f1bdbca57a6afdaaa3c432}
com/crashlytics/android: {com/crashlytics/android, ffc5c65c0ae5d5925ca0493826d63c22}
android/support/v7: {android/support/v7, a87ac390b36909bf29d1ab390bd561ae}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
butterknife/internal: {butterknife/internal, a4a791cc58aa531d2ec7ed80c15c181e}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, 622f10b0cf5046811b0a0c8d4964c731}
rx/internal/producers: {rx/internal/producers, 951e5fd0eac9f478770cdc7b49883efa}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
c/api: {c/api, 8ed5132d470a35a9f45bc51ab0d988a0}
com/mikepenz/iconics: {com/mikepenz/iconics, b44e53d2a0ff381806dc410d9f3f427e}
android/support/graphics: {android/support/graphics, 58ff1935a390efeee4d0127aa08d01cf}
com/ccjeng/news: {com/ccjeng/news, cba9ddebc2e9ed71dc4b84881f2f24c9}
me/yokeyword/fragmentation: {[me/yokeyword/fragmentation_swipeback, me/yokeyword/fragmentation, ], ff5d1299fa557a265f02f6e822399de6}
rx/android: {rx/android, 6543a29aebcc66162552d806a762d6de}
com/vpon/cordova: {com/vpon/cordova, a89dde8a85919860be77ca7f36a98387}
org/jsoup: {org/jsoup, bdc0eebfe03022a8b2831dc8b3644d3a}
com/vpadn/ads: {com/vpadn/ads, 85788af9c50fa2ba6fd79309919a8e77}
rx/plugins: {rx/plugins, be3c87ae3474ba121a9f2e24cc72c1f4}
com/bumptech/glide: {com/bumptech/glide, 742eabb138e7ad3b5554e503fe70842a}
android/support/design: {android/support/design, eab13cf7abc07a5a69725d14f481d465}
com/vpon/vpon_sdk: {com/vpon/vpon_sdk, a3d8e136eef2d9d5cc938c5d5563e8ba}
com/vpon/adapter: {com/vpon/adapter, 61f07049064ec7406d4cee93914c6d5d}
okhttp3/internal: {okhttp3/internal, c18f726cce2af136b8ef4c4d1fbe0628}
android/arch/core: {android/arch/core, 0dbe9221e41662ea60476038239e30ef}
rx/internal/subscriptions: {rx/internal/subscriptions, cfef756f27ab8c122c711949a13f1a97}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
rx/schedulers: {rx/schedulers, e8c7739f9f3fa78c20d1c116f33c9646}
android/arch/lifecycle: {android/arch/lifecycle, d938849c6fa53a1ef135f26a7ed1410a}
okio: {okio, 5159a860f271c0ded74cd39f4c9d9c80}
c: {c, 4afe3e1abfda041ab51607e5cf6d845c}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], c24ed8d52b3fff34b7d2aefffba7b579}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 8df9b582dafa16bd7d3cc8b8a8faa510}
retrofit2: {retrofit2, cfa4cc6d58fc98d25cdce841d9b66d58}
