kotlin/collections: {kotlin/collections, 79eec4676c0d5a7c1f8dab2e410b67b4}
rx/functions: {rx/functions, b5605263aeb37d24582f9c0dc9624c64}
rx/subjects: {rx/subjects, 6f54dd125d9cf6720d573dcf7bd834db}
rx: {rx, 27a4e68ed64562d026f67a846e237c5c}
io/nlopez/smartadapters: {io/nlopez/smartadapters, d32d1d0d19bd84a7019d5662357c3b07}
butterknife: {butterknife, 40a6f2357302974ec274a718b634aece}
rx/subscriptions: {rx/subscriptions, a944c3d748c31264d9f13e192137db9b}
com/jakewharton/rxbinding: {com/jakewharton/rxbinding, 7ceb47d0c0aaf6e92af900b85bdcf528}
com/tbruyelle/rxpermissions: {com/tbruyelle/rxpermissions, 17af006a0cba27a49b1263c696ba0c50}
rx/internal/operators: {rx/internal/operators, 053776c42e9872b51794c6c159b89560}
android/support/coreui: {android/support/coreui, 56c76be41651ff733ad11cd3342b10fb}
me/zhanghai/android: {me/zhanghai/android, 2a911d086f8308382ff52db096264398}
com/team2052/frckrawler: {com/team2052/frckrawler, de9968ce19db116158954686f953f98b}
org/greenrobot/greendao: {org/greenrobot/greendao, 358f19631e1946f08f0ecce9fd5b82da}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 8898d7144c6a36c650d056e124d0fa60}
com/facebook/stetho: {com/facebook/stetho, 7070188b8141e3a58fd6eef3a7f62df5}
rx/observers: {rx/observers, 2217b5db7ae5fd96dbf1962bdf3956fc}
android/support/transition: {android/support/transition, 48d9eb88ef377aa26a83bdb8eb54900e}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 39a8f74c4d88e366cfec768671d208fe}
dagger/internal: {dagger/internal, 70e350c1e1e136328d34d6a8b6792a00}
com/squareup/okhttp: {com/squareup/okhttp, 10b9401b39e39e5f4506fca51d0d354b}
dagger: {dagger, 1d27b9bdcd54af348142f6d37b21aad9}
android/support/v7: {android/support/v7, 8c852789f1bfde8b5f536fef16c7e78b}
android/support/compat: {android/support/compat, 04eb03a4073a46a7c777b8b1cdd1fa4e}
au/com/bytecode: {au/com/bytecode, ca721b3a7cbde779ff201ebe887d9cfc}
kotlin/jvm/internal: {kotlin/jvm/internal, 112ffb89b9622a69becd3aadf8f95acd}
butterknife/internal: {butterknife/internal, d9171774cdd47d3515c287288fa66274}
rx/exceptions: {rx/exceptions, 620554d51bb01e955f6f3dcd5716eb8d}
rx/internal/producers: {rx/internal/producers, df056fd7351c36e4ba093d2f534b5b29}
com/google/firebase: {[com/google/firebase, com/google/android, ], e8c08baefdff64522f844a5df6ef4a20}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
android/support/graphics: {android/support/graphics, c392a6f93009be023578587e91a8456c}
com/google/common: {com/google/common, 161ac78e55695cdd80165e0a8a0b92ef}
com/firebase/ui: {com/firebase/ui, d5ff5035e5cda16be8a3be4549ec9572}
rx/android: {rx/android, 1c61dd3b5b21dc839fbe9e22c8b4b867}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
rx/plugins: {rx/plugins, c5d0e7031b8a47faba622f6f5046942c}
android/support/design: {android/support/design, aa952129836301ac839b98bad8c670f1}
android/arch/core: {android/arch/core, 4ec4e2da2d1b7b748a598c74db279f3f}
android/support/multidex: {android/support/multidex, 8e7b3827fb0bc489e6dfc2a710751c2e}
rx/schedulers: {rx/schedulers, 82d49e1e1427b3a149244fb83ee64e27}
com/google/gson: {com/google/gson, 488ba6ab640552b5ba681459d7976b40}
android/arch/lifecycle: {android/arch/lifecycle, 9c5b7372308283e8e8b37641998893a5}
okio: {okio, 0f7ffc3ccc678608ff6ad1c3777838cb}
rx/internal/schedulers: {[rx/internal/schedulers, rx/internal/util, ], f1be5a89c790490956aff1f8e6a04543}
