rx/observables: {rx/observables, 94c2f590279e71b453720f1e7d8acc55}
rx/functions: {rx/functions, ab98c80c960ea3ea30f14771fbfbe146}
com/readystatesoftware/sqliteasset: {com/readystatesoftware/sqliteasset, dc74fbaf215e224f9a9b052b5b6119b3}
rx/subjects: {rx/subjects, b2354f1d7a2e8292cc57128ba57958dd}
rx: {rx, dc74697653675e3dc8d4227b15080a75}
org/joda/time: {org/joda/time, 25813c5a7bf07edf5e40417b239dd6e2}
org/parceler: {org/parceler, c0b09ff61da32d96dd83e9877934058b}
butterknife: {butterknife, 1dae52f4a9ea39799244c8de83f014bf}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, 5145f9cb054ef91eb6d712837cf1f69a}
rx/subscriptions: {rx/subscriptions, 14c598ec810ec64849a3439d94ecd092}
com/jakewharton/rxbinding: {com/jakewharton/rxbinding, c5e31ee7d8a7a595d92b0312d4f3668a}
timber/log: {timber/log, b3ba36c6e0bc48e26a8fe3debfd70273}
rx/internal/operators: {rx/internal/operators, 8ac3e9216113cc16655eabf42c28c94e}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/readystatesoftware/android: {com/readystatesoftware/android, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
com/l4digital/fastscroll: {com/l4digital/fastscroll, 05b8ac13aacdb40b3e32f57b53014dc5}
rx/internal/observers: {rx/internal/observers, 8609977a0573581ee56bc0a165325874}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
org/greenrobot/greendao: {org/greenrobot/greendao, 46a59e2a9cc7664457a4320123f1126b}
com/beloo/widget: {com/beloo/widget, f847ee73598fdd0da70d7d620c9808dd}
rx/observers: {rx/observers, c7cd9ef3d7c2a8c0bc38341bb342e5dd}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
dagger/internal: {dagger/internal, 52abf8671e83fc3a232af69f2b8d8772}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 2e85ec8e1a07189eb377d02bcfb6655a}
dagger: {dagger, ed99bbbcaab520bb1bf46eb52be2c711}
android/support/v7: {android/support/v7, dc53dbcd5f6153562b53aa5d4fe25a29}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
net/danlew/android: {net/danlew/android, cce9fbc101d00b0f1afa4b8d1259def5}
butterknife/internal: {butterknife/internal, 50f28fa1e2325bd751c34c003ab2ea8f}
com/rom4ek/arcnavigationview: {com/rom4ek/arcnavigationview, 4f3542fe367d3f574631d80c9fd572b4}
com/google/thirdparty: {com/google/thirdparty, 2315d37e53f159306d6555ed59652de4}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
dagger/releasablereferences: {dagger/releasablereferences, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
rx/internal/producers: {rx/internal/producers, 13dd81a65f0052963f093dbd41ebb372}
rx/exceptions: {rx/exceptions, 65fd9500b8aa8acf79c27ea47d6432f9}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/graphics: {android/support/graphics, f596451e8aee6713e6c0dd4eb02742a7}
com/google/common: {com/google/common, 131d95787abfb78cd9362f7ec81be340}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/android: {rx/android, 5e5eaf1f205a690072e58f78ef4522a2}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, 65bfd6bccbe4a7a12c47fb4be1eabcb0}
com/bumptech/glide: {com/bumptech/glide, 9c99ba1f3d78a72b931cba4f1e489e51}
android/support/design: {android/support/design, 6c3b7614e6efdf56116252f160b2d371}
com/github/st1hy: {com/github/st1hy, 4b9e3aea3fb0a4eb34b8ae8fe4f1fff1}
rx/internal/subscriptions: {rx/internal/subscriptions, 348a918afb5a80128942132339a1652d}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/schedulers: {rx/schedulers, 7afcafe3c94a191877e938564d89bb43}
com/tokenautocomplete: {com/tokenautocomplete, 1e53703a7ac9234cdb7bc248090ffba2}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 371b7d1a21f65f45b359be80ad62c2b3}
