androidx/appcompat: {androidx/appcompat, 488228c07293a73aa7317618b4ecd812}
com/azoft/carousellayoutmanager: {com/azoft/carousellayoutmanager, ab25b42f0b09d8751895a9556af29421}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
fr/acinq/eclair: {[fr/acinq/eclair, fr/acinq/bitcoin, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/activity: {androidx/activity, 09d46456a28a6e576108f1e5798bb898}
akka/routing: {akka/routing, 8eb62179e431635f85a5bb2cedfa4cf3}
androidx/core: {androidx/core, eac2677d21105612ba9145aba517a8c6}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 680d9edd203f9b2c7c266d04322cfd19}
androidx/lifecycle: {androidx/lifecycle, 333ad8c844760c4c90c8b8aaf07d73f6}
androidx/fragment: {androidx/fragment, 299039cbb55de7de9a34d54aede6ba64}
com/chauthai/swipereveallayout: {com/chauthai/swipereveallayout, 938dcc38a64111ea09192a151f41e7f7}
akka/io: {akka/io, 9e5deba2d0ad74ed27dc03ee19608ad0}
androidx/vectordrawable: {androidx/vectordrawable, 3c5d03b619f1b8a586cd8e57e53d15a4}
akka/dispatch: {akka/dispatch, 7fa7ae4d82346808d5a0047d96e84126}
com/google/android: {com/google/android, 261d498c6dda1bac15047fb04c00828a}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
co/nstant/in: {co/nstant/in, 07badd44438593b8285e272e29012bad}
akka/actor: {akka/actor, 6d9eefc8da27fb9dc8ffb450610f5850}
androidx/versionedparcelable: {androidx/versionedparcelable, a10421ac45d01778eb261b11555db1b4}
com/danilomendes/progressbar: {com/danilomendes/progressbar, 80c1a6fe54cc084fa0c4e05adebbbb61}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a868a978835d1002eb187ebe76916adf}
com/btcontract/wallet: {com/btcontract/wallet, 3f49693cb3b93cda911a279daa3b6451}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, a61062b00612276d9cd103fb70b9822e}
androidx/collection: {androidx/collection, b9d202c6b67cdf7d82f926908f956eda}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 16ab9d71a9a1df94c2301f0fcc9a2735}
scala/collection: {scala/collection, d41d8cd98f00b204e9800998ecf8427e}
androidx/transition: {androidx/transition, 00398e6030de1a09a2f77ee04ce675b0}
akka: {akka, 9153d2c40360d50b7529e4c33168160a}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, b1edee0f963b248acf55c59ea3113dab}
androidx/cursoradapter: {androidx/cursoradapter, 5256c2d3bbecbec03155f21ce61e7e4c}
javax/annotation: {javax/annotation, e13652883e99a4716009b7d9edd01866}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8275dfb1c72c983a3146ecd1f67d6650}
androidx/cardview: {androidx/cardview, 8b21c12b07e764b833e36cd1abc06f4e}
akka/event: {akka/event, 2ae77ca2a254fc1c32fb93b73f7c9ad9}
androidx/drawerlayout: {androidx/drawerlayout, e9dd22dc9de2b1c9c5d9a1f00f6b760a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
akka/pattern: {akka/pattern, f3972383d445141367e3629342649229}
androidx/media: {androidx/media, dc5362fa045eefb5b71398ac8fe03383}
androidx/viewpager: {androidx/viewpager, 83b22d2e76063c9bbb35e40721b3a26f}
akka/japi: {akka/japi, 5d9d45f08cb1b009f2a9d77ac2b507ef}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/loader: {androidx/loader, 36f41872bd85ce12d537103b8e6efc81}
androidx/legacy/app: {androidx/legacy/app, 8836705ac67ef741f1d4e9bbf067fec4}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1cbbed2c00b88f00d59d1ea803acd27a}
com/google/common: {com/google/common, 5af1e85f48104228bec5abebb5aa0f1b}
androidx/arch/core: {androidx/arch/core, 37a7261b82a7796761a6bf24390ee06d}
androidx/viewpager2: {androidx/viewpager2, d80d721cbc52acbfd7162fa3805bf9e4}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, f9fd1c657c74d92a8389eea527ed8112}
androidx/print: {androidx/print, cb3ec6df9a0bdf81c9d20ec9a1dc8a5f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2913fefe6adfa77a0f90e2eed3e2d88c}
akka/serialization: {akka/serialization, 1ccdf3e1fb473b038a30b00989d3c581}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, a99afb2dfe4edd5ab4d734af433cc5eb}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
com/cottacush/android: {com/cottacush/android, 78db9ef962ecc90ae4467be9f0d64382}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
akka/util: {akka/util, 3a06e6428c3397c7e3167a7b5fcb58bd}
androidx/recyclerview: {androidx/recyclerview, 935262d4436845ee5109e659b56134e7}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 0b4c132cf0af8c5df6e2b64a55fad2b6}
io/netty/util: {io/netty/util, 86017f384f783e47cc3232f96a02cdab}
androidx/customview: {androidx/customview, fc5e223f1e894c7d70fc3566c5c62947}
androidx/annotation: {androidx/annotation, 626dff09432b1b462bce103c33407fd5}
androidx/dynamicanimation: {androidx/dynamicanimation, 4295217ae961b7bf25703026042ac946}
