androidx/appcompat: {androidx/appcompat, 778459fe63ee0504bf5840019ffa78f3}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/compose/runtime: {androidx/compose/runtime, e55c4d821d78ac545911fc705dcc4f08}
androidx/activity: {androidx/activity, d864c301c952351e3137960c369e94a6}
androidx/profileinstaller: {androidx/profileinstaller, 1ed63d864229c4c8fd08c60434710786}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, c0eccf407b47dac1df92c08c15144014}
androidx/preference: {androidx/preference, a64459261fd81239cbb97e411c03629d}
androidx/lifecycle: {androidx/lifecycle, b51115250a2f6a779967f282cf209d1e}
androidx/fragment: {androidx/fragment, e0ac21ecf15d09bafb9893dbd7e0ae05}
androidx/navigation: {androidx/navigation, 4947364993a47b49863bf8acdaa86a06}
androidx/loader: {androidx/loader, fbc75839371cafd22643286744e5e5d3}
androidx/compose/animation: {androidx/compose/animation, 67672c2eba273961e2ec085a97e24500}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/autofill: {androidx/autofill, b4c3d648fdaed82f0618952d9e0f669d}
androidx/inspection/compose: {androidx/inspection/compose, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e782214575c8f78a7d75505ef8fc0d4a}
androidx/core: {androidx/core, 09d96e006871dbf564a26ba65fbb3d22}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 7cab017d1a8bc2912f005597e2314656}
androidx/collection: {androidx/collection, 5afbf768be0496f79ade72aec43447ff}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7d43646bd4d42e00f2f75fe00b305057}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2516b83572fdf8f2cd923c4b450b8255}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 391a136743091e1a6444c52cb5a8d560}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
androidx/legacy/v13: {androidx/legacy/v13, e97521e81a9f1d37da0597160bf5ab00}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, bbc47dac736b90748aaa039245777a1a}
androidx/compose/foundation: {androidx/compose/foundation, 665859895482b868218c2c572e46de01}
androidx/exifinterface: {androidx/exifinterface, 8b0d9a1e3ba860f1c7a251d8737ae943}
androidx/paging: {androidx/paging, 15dd93040814635be032c20700581dba}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
androidx/emoji2: {androidx/emoji2, ed7953b53fc8a8335005c38c9c06bea0}
androidx/print: {androidx/print, c310e30906597a172562b208177e2db3}
androidx/legacy/app: {androidx/legacy/app, d5e6d354bdb70cfa4dab02d969cdaf3f}
androidx/compose/material: {androidx/compose/material, d3685016b91f21659f4e036c4b610dcd}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
androidx/palette: {androidx/palette, 44957c0fb33bb16f421a34b5eb83b529}
androidx/legacy/content: {androidx/legacy/content, 6b02ce983884850bb0559adfc1a9c7fa}
androidx/documentfile: {androidx/documentfile, d2ec6ce7e245c1958a3b51f8caa433c9}
androidx/mediarouter: {androidx/mediarouter, fcb2b9ac49bede85b3ea5261dba871c0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 94b04f6fe85a30fa05fe86f83a83151e}
com/kidozh/discuzhub: {com/kidozh/discuzhub, ebb2bc67bbdf480465665530ecb5b57f}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/recyclerview: {androidx/recyclerview, 02bc0b09e11850ffd6d9ef8ce0ed9eb6}
androidx/concurrent/futures: {androidx/concurrent/futures, 4afe0c4ce402c5181a6108f3597606e5}
androidx/customview: {androidx/customview, 248019ea535e25c787e89be14e29d808}
androidx/compose/ui: {androidx/compose/ui, a2b664472b37d4633df6f00356a54d3b}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 8e21a3bf62b30f441086b61555f0ed6b}
androidx/databinding: {androidx/databinding, 6645403aed3e585c15bac425eac0f9c0}
