androidx/appcompat: {androidx/appcompat, 634191376fb9e546f87ae361f5a94b65}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 694201bf75c40b2ca27408a44d81d103}
com/google: {com/google, 39b91e887e3206ade35e2781e1d3fa1b}
androidx/activity: {androidx/activity, b6d2cfbafa7c78774b04cbaafbfcc431}
androidx/core: {androidx/core, 745d7e30fde445b9f7fe0724ec2e0329}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/preference: {androidx/preference, 3bab35daa20ba84cbe6a0ba72b8fa1d7}
androidx/sqlite/db: {androidx/sqlite/db, 416ab903dadb6be3a6f98ec21991ad5b}
androidx/lifecycle: {androidx/lifecycle, 96909ad82d65fa8f604b69c2b3491d1e}
androidx/fragment: {androidx/fragment, 9d33c93ce025f82234f8ebabc740b3b5}
androidx/loader: {androidx/loader, 7e4302e8c37768bb33a1adde97db2787}
androidx/vectordrawable: {androidx/vectordrawable, 0d4fdeb968671f37be7764a5d059e226}
androidx/recyclerview: {androidx/recyclerview, 02871f9782de2bac6f7b9f80171ce610}
androidx/viewpager: {androidx/viewpager, f3f2704857cece1a4947d3ff6e09da5d}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/versionedparcelable: {androidx/versionedparcelable, faf36dcf1558dda60aef09224f4cca03}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 826541f72494e61cd82293555f6de2f9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 008cdb636f38fc8a00062bc346633a8b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 7cab017d1a8bc2912f005597e2314656}
androidx/collection: {androidx/collection, 99a1515c77592249686e6bb1c78c0399}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d175986274fec378cc8dbe642aa34242}
androidx/sqlite/util: {androidx/sqlite/util, 90557df7c2828088c79f681c0fb7dcc4}
androidx/transition: {androidx/transition, 1ec038ef06e160ecb6bd8f299faa7b03}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 4baad4be01e604e0b6f88a0a05a03241}
androidx/multidex: {androidx/multidex, 85408129bc34fa33684c2a6d93cf3d4f}
androidx/cardview: {androidx/cardview, b141fccdfa199d8088c363fba4a48a1c}
androidx/drawerlayout: {androidx/drawerlayout, 775e5ec15288d14307ded086e0ced519}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 338caecf4513e613a0f04ca848eb621f}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 3120b412984ed1ceb0ab233f4e8e49e3}
androidx/emoji2: {androidx/emoji2, 8eaecfb6d0624307d350c455194191e8}
androidx/work: {androidx/work, f59f279f31c7b13ee36f7e5e3308d642}
androidx/browser: {androidx/browser, dbc6c77c0827169240c9b0091e92e05d}
com/astuetz: {com/astuetz, 7232aa647cbde0cc18f6a5a030dcaa4f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2b2600806cbdec34cb0a56130880942f}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
com/firebase/ui: {com/firebase/ui, 3c92d961a660e24fcc5f08bf7ec37be1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 19e177dbb5c00aee3765f15b1102a61f}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, ae1438656db8aa9235c7f4ba7385c603}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
com/bumptech/glide: {com/bumptech/glide, fc4307c6231dbe9cb8c0db870b239eb3}
android/support/customtabs: {android/support/customtabs, 4e18665da1060a66a3d9eeae3fce9458}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2649244c4e2b25dbf134b7d25f39a025}
androidx/legacy/app: {androidx/legacy/app, 73586196007eeddf98849e3b1c819e3e}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 66565045cee10d4400f6806beb800545}
androidx/concurrent/futures: {androidx/concurrent/futures, 28f9eaf85733647b247f1fb1349e01f5}
androidx/customview: {androidx/customview, b5f4957107a5bd0018a35d0cad231914}
androidx/window: {androidx/window, 7a8de86b436ba3146856f008ec166117}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
