androidx/appcompat: {androidx/appcompat, f3f966fed84c303c0ea99e6f191ae541}
androidx/camera/view: {androidx/camera/view, e98ca49c866200fadf8e7e8f83e7141e}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
aavax/xml: {aavax/xml, 5d5d79b01649312b9c3f0f904fb3eff6}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 76f22a6c6986d6d23929701684d4ab2b}
androidx/activity: {androidx/activity, 099e55746571293aa39b0e82f513632b}
androidx/profileinstaller: {androidx/profileinstaller, 015fc4670e5eb5e2239b94c078bc8532}
com/bea/xml: {com/bea/xml, 0e9e5203bfdb33ddb830bd8c6d2cc656}
androidx/core: {androidx/core, ad658df9e40b65fd31dc424e7d0a0fb1}
androidx/datastore: {androidx/datastore, a76f05ccefba0433454ed882325331c7}
androidx/preference: {androidx/preference, 9a08102a6b41c82ac7a9ad262e5329fb}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, 20232556ea45891699d14a83c1b03b78}
androidx/camera/camera2: {androidx/camera/camera2, 87c4964fe0d071990d0b2ad0b4b2af7d}
androidx/lifecycle: {androidx/lifecycle, bef08de457dfa52b6e1d9cf723f217dd}
androidx/fragment: {androidx/fragment, 74a3b97285df75bb0fd735ff78f81ac7}
androidx/navigation: {androidx/navigation, ba129548b09730acf062c3525f34c028}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
com/android/volley: {com/android/volley, 2e24c2901b4fef07701b02005e06ca90}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, 13db962276cb6afee74fdfe190df2d7d}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/privacysandbox/ads: {androidx/privacysandbox/ads, 737a36655d18d5e3e8e7232270e6ae50}
io/swagger/client: {io/swagger/client, 2807567b428e29105b33b4717dd9b1c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 06b3b68806a21d0906f474fe56363713}
jxl/biff: {jxl/biff, 9dcef8455b55335bd03e690ef1220140}
androidx/collection: {androidx/collection, 002f6626006954dfb679acc8f7e4f4b7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/camera/lifecycle: {androidx/camera/lifecycle, fc4e19e7559b3919615bbe9484c3566e}
androidx/transition: {androidx/transition, 0152c43eee413885fa8ec940db819e26}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
com/arthenica/smartexception: {com/arthenica/smartexception, 76f18fdb4d9217a7b9affa100159930d}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/multidex: {androidx/multidex, 1f7b5ef8a714474c31edb59e524a5b84}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/bytehamster/lib: {com/bytehamster/lib, a9d3426f3c5e893de1a6e30231d16c7a}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
com/arthenica/ffmpegkit: {com/arthenica/ffmpegkit, 71ccc6ea33b499bf19a65db8ef71c091}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 33098731120ebb4ea4957cc112ab61ff}
androidx/exifinterface: {androidx/exifinterface, c2c3323114485ca9777608a1e081ad48}
com/fasterxml/jackson: {com/fasterxml/jackson, ca1ebd216d7aff7a27d6adfa3960102b}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, 721567a7cefd2c03f1d061092c326e64}
junit/textui: {junit/textui, da675471ed79af9bf0dd90eaa0d20c9b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, 665e0c0c3516e1119246c90dc6838969}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a49093d9517c4a52bd3feade3819b01c}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
android/support/customtabs: {android/support/customtabs, 648ad9b7a2f9a85c1f91496676eac65b}
