androidx/appcompat: {androidx/appcompat, 74bdca2e88631da9e009fca8665508df}
kotlin/collections: {kotlin/collections, 69b38568d0001c1f337b5ab3b89fb3a5}
kotlin: {kotlin, ec9e1c4e7f08e8b1fea6a72aa85b25f0}
com/jetradar/desertplaceholder: {com/jetradar/desertplaceholder, a67aa1290d37091a8e55dc8319a06f08}
kotlin/internal: {kotlin/internal, 2ecba4b40f5d2842143b0168407146ba}
androidx/activity: {androidx/activity, ec8632ec6a9c13065763b9002d0ed246}
com/adobe/internal: {com/adobe/internal, 5016919602780bab10b33fefd5efa541}
butterknife: {butterknife, dd5b6fa220f55e92ad0ec65d4dbb96b8}
org/horaapps/liz: {org/horaapps/liz, 8100755a71bbbdb00d98491e9c81c637}
androidx/core: {androidx/core, 0e175164fa9b2d4deb7cface70d7affe}
androidx/lifecycle: {androidx/lifecycle, cac519120e7974939c97d63eeabe30e0}
androidx/fragment: {androidx/fragment, ca9efe37012f383481f237fae5ec42c7}
com/davemorrissey/labs: {com/davemorrissey/labs, c89afabd7b02362749ba941bfe16852e}
androidx/loader: {androidx/loader, 45da062c6f76a7ef33c072080cc78680}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0d30aed0808bf1f6a3eb38a1580a2572}
androidx/vectordrawable: {androidx/vectordrawable, 6c1d9b30dded391960fb6e2aec3ef2f6}
androidx/viewpager: {androidx/viewpager, b871d8412bdf71aa6005b83e16ca9919}
kotlin/reflect: {kotlin/reflect, 2f98f4fd60829d2567feda6a980af495}
com/google/android: {com/google/android, c6bb2039ab990bad79c570659212c184}
kotlin/text: {kotlin/text, e7369b68baec32777b6a4b849626a1ff}
androidx/exifinterface/media: {androidx/exifinterface/media, 869ba0d8a1dbb1388d045c1d8ea99282}
com/mikepenz/iconics: {com/mikepenz/iconics, e2c9998fa6898687efb00cdd6bfdda24}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
okhttp3: {okhttp3, 3f7d8d68af7b0d23f7d74259249fc087}
jp/wasabeef/recyclerview: {jp/wasabeef/recyclerview, 7e132376b2fc923dd8f6a639b676a8ec}
androidx/coordinatorlayout: {androidx/coordinatorlayout, de8aff68486cc927114d201c17bdba10}
com/drew: {com/drew, ebf2c37c13dc6244f1070c27325e8eb0}
androidx/collection: {androidx/collection, 2b4f7cda314aeb7e1dc09c624a603cab}
com/alienpants/leafpicrevived: {com/alienpants/leafpicrevived, e6d7e0b3bfb8a743a905b63c20ffdabc}
androidx/transition: {androidx/transition, 11dce4e51b79ae0be4fbde0fd49c289b}
pl/droidsonroids/gif: {pl/droidsonroids/gif, bce75008f89afd6d85572600a8a57ea9}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
com/commonsware/cwac: {com/commonsware/cwac, 836630433d3d1441256b2836aff618e3}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, ce79000e98330ca7100635748cd205cb}
androidx/multidex: {androidx/multidex, 2cd045517ea58d41e0fd93fc86fd46bc}
androidx/cardview: {androidx/cardview, 8f3c150529705375313fec157e3b2677}
com/google/gson: {com/google/gson, ef6a81a369ceb234139fd5b840e54208}
androidx/drawerlayout: {androidx/drawerlayout, 9f65c5ab9493474b83041fc44eabd17a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, c675d54c5e9aa81075651fbe39cb0d83}
com/facebook/android: {[com/facebook/crypto, com/facebook/android, ], 99af9852e81de93c31db218830d7d234}
androidx/media: {androidx/media, fb8d965067060b158a151c984341514a}
butterknife/internal: {butterknife/internal, 938ab5a13d5d878dd8e8125bdf5a21ae}
uz/shift/colorpicker: {uz/shift/colorpicker, ee0bfa6c6f4ea70548838d9b37ab08fe}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/github/lzyzsd: {com/github/lzyzsd, 2bdca34ca224e41619b7aed3decddeca}
com/yalantis/ucrop: {com/yalantis/ucrop, 846670143e583ed03643823c2fbadbf9}
androidx/browser: {androidx/browser, 69832a3b6834af1401686846a2e6ce61}
com/orhanobut/hawk: {com/orhanobut/hawk, 2a0e379e0f6b73e73d16aa250dcc5ce3}
androidx/arch/core: {androidx/arch/core, 9b34f8cc19b25ac6299b70576c70244f}
androidx/palette: {androidx/palette, ce437511fcd9ed3d0ae1204a778870ac}
androidx/viewpager2: {androidx/viewpager2, 1d359c188d126abdbe7ec5417deea13b}
androidx/savedstate: {androidx/savedstate, 5d613bdfa6cbfed9756e994d5ec29ee3}
okhttp3/internal: {okhttp3/internal, ad304352eaaed9aae9d7198ead2cae3b}
androidx/print: {androidx/print, 4210467e9f76b61d97ca82302553f94f}
com/bumptech/glide: {com/bumptech/glide, 1bbf90e9f3ec01f5fd2ce3f6dc51fc65}
android/support/customtabs: {android/support/customtabs, 5b1f9daf471940c1d817805e7b2fb839}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cd186f97c70091f30d038a1c6abaa61a}
io/reactivex: {io/reactivex, d27544c9af0517747edb15b65711ce3c}
org/commonmark: {org/commonmark, 20bb081c257e24e8139c0db02a5c1663}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, cdb6695ba5ac647324db7735377bcb52}
