org/koin/androidx: {org/koin/androidx, a51d4d3b676cc223b15709464dab1c01}
androidx/core/widget: {androidx/core/widget, 40f530c206f35f07ef477ce419164fbb}
h/m/a: {h/m/a, 4cd318099eb7162c49fa5277047b0dd2}
p/i0/a: {p/i0/a, bde9eee5bf997882566b3dad60b116ee}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 32de26ae7057ab2f7d21174397655304}
k/p: {k/p, c24433fc7e0d8160294458e76610ba73}
androidx/room: {androidx/room, 235d56b9fab9178fb34c78849a6647c5}
androidx/activity: {androidx/activity, e67d0e2e86cbda50120b385813115e45}
h/f/b: {h/f/b, 9e4d63186fad95fa961e72839e965373}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, d0d54096a381c4c0cfd4a14a11499a9c}
h/f/a: {h/f/a, 220d12a222099942f0034f3181fc008e}
p: {p, 44b81ba090a62694db5069e591ca18db}
k/o: {k/o, 9efe2e144b450043137878d92d68179c}
g/a: {g/a, 7c988fdaf794ef7d208e521b0150b203}
androidx/appcompat/widget: {androidx/appcompat/widget, 3737e3e31323e3787b0071056c968e83}
androidx/lifecycle: {androidx/lifecycle, c8bf1b138e158b5e41c19b1bfa0fb04a}
h/s/a: {h/s/a, dd09859b5d808e9d5c7519c1e19f2354}
i/c/a: {i/c/a, e020d943363a4d38b11b0bafa6d170d8}
r/a: {r/a, bd05d505b9c1d1f7b546133f94148c33}
h/c/a: {h/c/a, f42e48b57580dbc88c098793056e772e}
h/q: {h/q, 9049f150b57caa2460b04e11f6ce870a}
i/a/a: {i/a/a, dbbeef743362b14426401800ff0682cf}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 022f584f798912234547540e36da49ad}
h/o/a: {h/o/a, b80a9a403d4c2a704599b503b3bfd9a6}
com/google/android: {com/google/android, 9dd04101164d9a78389c3707503bded6}
h/i/a: {h/i/a, 1cbb354dd65f62dee34c805fe824bc82}
h/e: {h/e, 7347296b390513539b51cdee1656ce63}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
l/l0: {l/l0, 443de1bdc9e726d8b88b9111ced7341d}
h/a: {h/a, 19c5ac94690737620254dfe76bd6cee7}
h/d/a: {h/d/a, 90afc2d95a8a550b23ebcab74c40a826}
h/v: {h/v, b1230246973b5db2a632790bcb889f62}
h/j/b: {h/j/b, c9d5c38b121ec6d67fb0fbdde9fa56e4}
i/d/b: {i/d/b, 3871b5d58b9712e1761f0741d9c0336c}
p/j0: {p/j0, b8f15aa0cec801445655552e82eb084c}
n/a/b: {[n/a/c, n/a/b, ], a5d31379080267ec5b25ec4593b6af59}
l: {l, 4096db39abe9928304f18766bec792ce}
l/k0/e: {[l/k0/f, l/k0/e, ], 45f5f5e543d91b1f703d4207dd64eebe}
k/r: {k/r, acf7ef943fdeb3cbfed8dd0d8f584731}
com/cleveroad/audiovisualization: {com/cleveroad/audiovisualization, 07fd2b4a1b5e797fe92be9151525d532}
h/g: {h/g, f338038100a53d4224e3469d3632af4c}
h/k: {h/k, e121d6c561fafbeca0740d442cc7449d}
h/u/a: {h/u/a, aff26de28593fcb33e5c966e0de22185}
androidx/core/content: {androidx/core/content, 7333a76fa035362f39cd482a3ea1c9f3}
k/t: {k/t, 502315affe5d0b6837f1bc4e192cbbfd}
k: {k, d1426f82e4da4bcf87e66f8b645a4f33}
j/a/a: {j/a/a, a62977a6c527305c9b74cc23871bf2b9}
e/a/a: {e/a/a, 7a26c195c071faaa08391185d6902e93}
q/a/a: {q/a/a, bd1e3131a1a9f87353926168aad551a3}
n/a/d: {n/a/d, 074c5780813214b5205ae7c455fd3999}
h/n: {h/n, a52184928cb636df5bd0e9e548b22b65}
h/j/a: {h/j/a, 1d736cc2e979892895d290e5cdcd54a0}
o/a: {o/a, 8c094865a487a694dded4152ce9aba50}
h/l: {h/l, 7a63410f3bd4fd7a79aec431ad33a076}
i/b/a: {i/b/a, 4d298a2ae4b8f68cfd06a42d785722f9}
k/q: {k/q, 3af06aaca0e8a34b5abf40f7bc6b0d49}
androidx/appcompat/app: {androidx/appcompat/app, 0073b0568681efd3411ad5f38f3c239d}
k/n: {k/n, 747210d10cd63d4acd0e62e9244ef2b5}
h/r: {h/r, 327af50244313df4dee1226a9cd41808}
k/l: {k/l, fc725b3078127d4d151b64bdfa995afe}
h/t: {h/t, 2c759e3fb81a38b754383d029551fcd6}
h/p: {h/p, 30a6bd106e219f77248b8898b536f5dc}
androidx/savedstate: {androidx/savedstate, bfaf994ef9e6c97f883b356e5195a4b6}
androidx/core/app: {androidx/core/app, 9ecdd90474aa0ab3f090e1cdeb8a8dce}
androidx/fragment/app: {androidx/fragment/app, 6944eb298bb8a72bcea933ca96089619}
h/b: {h/b, 3ec700ee26913435af61b8fcfabbc9e0}
androidx/core/graphics: {androidx/core/graphics, e3be69269999f3ab06ac275086c4f9c2}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a7d916f6a8542958c47b2cf5d55532dc}
i/e/a: {i/e/a, e75744f45e8f59275a599dc956717873}
l/k0: {l/k0, 81fc07cf58893497580b0fab7314dffb}
ir/mrahimy/conceal: {ir/mrahimy/conceal, e62b6df5c52a9f5ccbadd63794a8add7}
k/m: {k/m, fefba67061e231bdc5d85b6b921a3daf}
kotlinx/coroutines: {kotlinx/coroutines, 51005097f0e4af36078a3378cf7e7d2c}
h/o/b: {h/o/b, 927df750a5e53eb45211c913f63767a3}
h/h: {h/h, 88e447d4f306eddc0c7a07b62c60ce96}
androidx/appcompat/view: {androidx/appcompat/view, 713aea679fd0f663552556ef7ea005e9}
k/s: {k/s, 6fa87656fbccd3cfe2806c7477b7e212}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 1644f96221f3e3825305d86b07765b86}
m: {m, e7673adb9c1ad3951f11baa01a05d83a}
i/d/a: {i/d/a, 0ad9ca23a19bd89736dd87384cd3a302}
n/a/a: {[n/a/c, n/a/a, ], 93e8add2eb8000b66da39ae5cf85d0b9}
androidx/databinding: {androidx/databinding, 7c62e805519507587de3543ce2d66897}
