androidx/appcompat: {androidx/appcompat, 4e357609f9bcb15552a232d0e7187010}
kotlin/internal: {kotlin/internal, 08cadaf1f30a5daab04d0dad07db2b47}
androidx/activity: {androidx/activity, 0e06da83eefd9f478b933be84a281dff}
kotlin/sequences: {kotlin/sequences, a5a3af9b160fb426e7d302a25c4d4451}
androidx/preference: {androidx/preference, 388d3bf7ecfb603cd968eacbd2ab3b0b}
de/greenrobot/event: {de/greenrobot/event, 33cd2ac03c6b06359b29c5c6e40858f7}
javax/crypto: {javax/crypto, c4e9eeb25e17c46354752ac4239a9772}
com/google/android: {com/google/android, d905b9608920941154b8b3a0b89822bb}
brut/androlib/res: {brut/androlib/res, 1aaeb247f553453c3d76d74709ad8192}
androidx/constraintlayout/core: {androidx/constraintlayout/core, bf15a92f7ddb952227fd7efb45f09c56}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ec1dc1a799fb8c444572779cd7011fc5}
kotlin/random: {kotlin/random, d9e6265521b1656f499cd1871ddd2f60}
androidx/cardview: {androidx/cardview, 777ea10046d48004a4bd388c2ce7720e}
org/bouncycastle/util: {[org/bouncycastle/util, org/bouncycastle/jcajce, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/x509, ], 85ef07c8bdb0ac810785f594ca59281a}
com/dropbox/core: {com/dropbox/core, 90e92e9766bb504f6ff6fa7daebb5c8a}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 18e7e962d6523a262d815a6b9b86cf3c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d7a938022afbab24598f5525235d1029}
kotlinx/coroutines: {kotlinx/coroutines, 536eb577b8c9b0f7e2ecd1eaef76dcc6}
androidx/startup: {androidx/startup, 301c7463362e3c3e1de60b1f770b9cc0}
androidx/loader/app: {androidx/loader/app, c69447cb4524b5424dd28571b36f868e}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
androidx/room: {androidx/room, 665b5823fe90fdfe8a7e489a317ad2bc}
androidx/sqlite/db: {androidx/sqlite/db, 7ef4fea55d3369ff5ad8ede8efd33c4e}
androidx/lifecycle: {androidx/lifecycle, 3a9a61c0caa0d44c5caad49d91e487dd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/text: {kotlin/text, 0fe78fa27bef98c4b2fe3ce505e14e27}
androidx/versionedparcelable: {androidx/versionedparcelable, ccb7f48781736d944533f9edee3d176d}
com/ms/square: {com/ms/square, 90378217639630fb1a11fb0904b9c8b0}
okhttp3: {okhttp3, 6769c080af88600c960d48b411e8d420}
androidx/core: {androidx/core, 6f89c0c8b1ac47e9617456267f63576d}
androidx/collection: {androidx/collection, 64132cd7ba6d7f46218ce4e3f5f030db}
androidx/transition: {androidx/transition, 3d83bd2a385267e8eacd4aade7a73932}
com/commonsware/cwac: {com/commonsware/cwac, b5777b13771ed62ee0e4ea6c2726c4e6}
org/slf4j: {org/slf4j, a1d6da443ac4779c36323251f2f3a385}
androidx/media: {androidx/media, 8620bcdf10715c59445e790726194b35}
androidx/browser/customtabs: {androidx/browser/customtabs, 017a04091d43fbd8eb56851b9116b8c5}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
com/mikepenz/iconics: {com/mikepenz/iconics, 8aa9bd00ff016edc5d502e076b563a41}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/apache/commons: {org/apache/commons, cdde3dc09c027b7cd54f4aa671e48159}
android/support/customtabs: {android/support/customtabs, 5d5ef4951d850226ae5a311156e07c34}
brut/util: {brut/util, a64dbb4e9c4baba862daa2695e97a553}
eltos/simpledialogfragment: {eltos/simpledialogfragment, 1d228a9ad47e3b2ed82a77130062c003}
androidx/recyclerview: {androidx/recyclerview, 23d8ce49e50ecab4c757a45a179162db}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 1515e30ea5e1f4b807369171a6794160}
kotlin/jvm: {kotlin/jvm, 0ffb950ac7beda645de46eafe7646fec}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 29617e57de406f22eed9ce7ac0a0f85e}
com/mindprod/ledatastream: {com/mindprod/ledatastream, 37d51dfc171b37e60e4b606348aee251}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
com/mikepenz/materialize: {com/mikepenz/materialize, 635193fd9edd0464eae05f6fd4a251ec}
androidx/profileinstaller: {androidx/profileinstaller, 84300b9682d61fa43aa08688ec2f0342}
com/mendhak/gpslogger: {com/mendhak/gpslogger, bbc1e2ca0a68ec6b2491083875e2743a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 580e5e5aa1d5f7be940109b0941cf586}
androidx/sqlite/util: {androidx/sqlite/util, bd1931933c0272de297b803b48eb4ab3}
net/openid/appauth: {net/openid/appauth, 05145d28eb7dd7df9405dd2a9b779fdf}
com/dd/processbutton: {com/dd/processbutton, 031d0d82a49520e39447c636e6bb66a7}
androidx/arch/core: {androidx/arch/core, a3dab84939035d8e6082420d4d43c109}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 9c60a9feafa7c41fb912cecb2edabb9a}
okhttp3/internal: {okhttp3/internal, 2a0f0cb4ba640a5a09053203f306659d}
com/jcraft/jsch: {com/jcraft/jsch, cd2866bcdd780b4f238582752f2c9f23}
com/mikepenz/materialdrawer: {com/mikepenz/materialdrawer, b51b2bf058dd4966b6cd714268cb6a73}
com/alimuzaffar/lib: {com/alimuzaffar/lib, de682aa9b3eeaebebfaacf8d7001a0e9}
androidx/concurrent/futures: {androidx/concurrent/futures, 2818d2b1693db3cc4d51d98242570586}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], e500791c64954c886b6a9ea1a0f66e46}
kotlin/collections: {kotlin/collections, 51a180f85ce595916f93d0cac3963206}
androidx/fragment: {androidx/fragment, aead3ed866701869fab5c9ee516d557b}
org/apache/jackrabbit: {org/apache/jackrabbit, 382ffb45057d4cc47a868c3c7ea7d705}
com/owncloud/android: {com/owncloud/android, e3a3f7ef7925a1f478a95db45b60e3af}
com/codekidlabs/storagechooser: {com/codekidlabs/storagechooser, 24e9a1672006c75b4f4839db31c181cd}
androidx/customview/widget: {androidx/customview/widget, caecd25b772c7d6dadf14fe585a1fd6e}
kotlin: {kotlin, 060b8add2597a24d88bfd0a488b5e2d4}
ch/qos/logback: {ch/qos/logback, ec8d8fede388655c64e187b7655f25b0}
kotlin/coroutines: {kotlin/coroutines, 948369e8091ef1f85b4053abf0a66960}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 4824e5f89928b4132d23e6feba043e00}
androidx/window/layout: {androidx/window/layout, 396ddd33b4f414db7e73e27709953963}
com/fasterxml/jackson: {com/fasterxml/jackson, 8efaf39a11496825c6a6b6bfcde2dd7a}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 484c78e56b02ea804db6a7f907d190ec}
androidx/work: {androidx/work, be7b59597ffa1a5b516ea55fdb45deec}
androidx/emoji2/text: {androidx/emoji2/text, ff12b3eb0054f0995a8265cd06c5efd7}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/window/core: {androidx/window/core, 2158882f3334ebac0a4b452fc2f8df7b}
kotlin/ranges: {kotlin/ranges, 02a231e7d9f521f597c147d4e92c9a87}
androidx/tracing: {androidx/tracing, a805839a3ff3b23e3e8c0109d5c9aa12}
com/google/gson: {com/google/gson, a6e45f5437753eacbeb3b936c619ccd6}
okio: {okio, 6192b5d7c652959ab5030539fa0557a5}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, a4bed99dfcd4574d267f464e18fa5e66}
