butterknife: {butterknife, becbf511158926415ccf22ddfa4cc9e6}
c/b: {c/b, 31defa5fa56c348078ce467b41e1baf7}
d/d: {d/d, f8dc8c6350856177596702f31ef6e476}
it/gmariotti/changelibs: {it/gmariotti/changelibs, 7b8f4e0c4089de102e07d0efb04a9499}
me/relex/circleindicator: {me/relex/circleindicator, c97c3e193c12019a30b2285858879de2}
jhi/buntata/resource: {jhi/buntata/resource, 99e9743ca5ea4c6a17070e693f1e1186}
android/support/fragment: {android/support/fragment, 20a9d3c9cbfb45c78a87969bce3aa0bc}
uk/a/a: {uk/a/a, 8f0560d99ab386fbfc21aa7a00f1825b}
c/a/a: {c/a/a, 19fb7c950899f5c7953451aafcbfc013}
android/support/coreui: {android/support/coreui, 20a9d3c9cbfb45c78a87969bce3aa0bc}
d/c: {d/c, 65ea45927e5b66d1e384751a60a2adc3}
com/google/android: {com/google/android, cfd5cae667d54de4c029dad070e8efeb}
okhttp3: {okhttp3, 90694f75f108a917fe4351ea859126c7}
okhttp3/internal/a: {[okhttp3/internal/a, okhttp3/internal/f, ], c5c2a03bed610d4b1273ef3faeadff58}
d: {d, f261d3e7ff3d10ee8f7636ca8ca60c6b}
d/a: {d/a, a013936bc34f38f05bc487d95b16eb7c}
android/support/transition: {android/support/transition, a15a3a139fd3014654e2ec6d721af5ec}
com/google/zxing: {com/google/zxing, 9460ea400a74d0791f41a60248b65721}
com/esafirm/rximagepicker: {com/esafirm/rximagepicker, e75eeff0bad31b52359bf7d146a29a51}
android/support/constraint: {android/support/constraint, d2992004340a76789538ef8c9acdabfb}
com/squareup/picasso: {com/squareup/picasso, 7d085b62e800d372ed818b0f78e80e33}
d/b/a: {d/b/a, 4afdc442172686f943d1e43fb24f8a88}
b: {b, d84479918b545f9e249efbfef443ffc0}
android/support/v7: {android/support/v7, 68a7c47507a6e8f8dba3dba76606379f}
android/support/compat: {android/support/compat, c5f090e95cab13187f0283bad31095c7}
butterknife/a: {butterknife/a, 383ab71eb0af185948539e106460b935}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, 871e21e127a3e9db973fc3c14b3f9761}
a/a/a: {a/a/a, dc48c73ab94bde253f9176ecda3cc022}
com/fasterxml/jackson: {com/fasterxml/jackson, f2268d5a57a0015dc3fc126450f46c21}
android/support/coreutils: {android/support/coreutils, c5f090e95cab13187f0283bad31095c7}
d/e: {d/e, 6741670b22ec47600dee47fb1bcf6b33}
com/bumptech/glide: {com/bumptech/glide, 1e7860767e1ebe0ee336b5c3cc7ef98d}
android/support/graphics: {android/support/graphics, 6c5a0f5dcfbf71f4592fc8fec74e6a25}
com/android/databinding: {com/android/databinding, 0db390eeeb150a4b7e83ec8056f6ee13}
com/afollestad/sectionedrecyclerview: {com/afollestad/sectionedrecyclerview, 94546a69f95d40d1da80b7aa0397b281}
android/support/design: {android/support/design, c4d2cb2206bff700fa2ebf9fb78e4f65}
android/arch/a: {android/arch/a, 8aebef604f40363be2bc00b4c569637b}
android/support/a: {android/support/a, 28bbd54ff84a49903e2af46a665a2228}
okhttp3/internal: {okhttp3/internal, 335c495b53722d600c1b631132fc2d8a}
android/support/multidex: {android/support/multidex, 5864dc5062c7a00b2fdb54602c8c5aad}
android/support/mediacompat: {android/support/mediacompat, c5f090e95cab13187f0283bad31095c7}
android/arch/lifecycle: {android/arch/lifecycle, 19623654f5709a2d3918d782983dc8ee}
com/sothree/slidinguppanel: {com/sothree/slidinguppanel, f74e8d0b940c17ebd65fa70ffda5dc34}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 13dec0062dabf4241b72457b048623b2}
com/esafirm/imagepicker: {com/esafirm/imagepicker, 508de6c22ab71d8bffde3597755ad2dd}
c: {c, c49e5d9c0af39b1f35a3212031f8b52a}
android/a: {android/a, c2a843ab35ccaa8f574b22b21133395f}
com/transitionseverywhere: {com/transitionseverywhere, ff5c378781f86540b2236d49290651f3}
uk/ac/hutton: {uk/ac/hutton, f4ca227033c6142fc0f8a2f9fba77ae0}
