androidx/appcompat: {androidx/appcompat, 476c9c3ef1edc6eefbe0915f9a72bf76}
kotlin/collections: {kotlin/collections, 7f8b749eeb38b3e6fe9df5532add6705}
androidx/camera/view: {androidx/camera/view, 6f89207bd304e925be912eaed8ef7a82}
kotlin: {kotlin, 7cb2d2fa8036d1f91ded8eb102d8d580}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/legacy/widget: {androidx/legacy/widget, a7398e968b7866769a932f3dacf7b3bf}
kotlin/internal: {kotlin/internal, 0d8052e1559643d873ca1ecc1d8fdca7}
org/apache/commons: {org/apache/commons, c1f4a881ad822106f822555aeab2b17b}
androidx/activity: {androidx/activity, 5efc9793b4c1896f31c40ef812a3ef5f}
kotlin/sequences: {kotlin/sequences, 016c7097e91c3dc507d2625affb16d95}
com/owncloud/android: {com/owncloud/android, e0a8fb68b5f057fc21e5fd5b6cee41ed}
androidx/core: {androidx/core, ccb0523c0ab31dfbf7ceb1e0944c1f69}
androidx/preference: {androidx/preference, 965b8868918b5b277d68b27e9020c13e}
androidx/customview/widget: {androidx/customview/widget, 90a0206b551288a1203a911bc56bb300}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 5e8c18fb51c85ca87af910671fd98db8}
androidx/lifecycle: {androidx/lifecycle, bc1b94fe9c719eb5051595e0505d9790}
androidx/fragment: {androidx/fragment, 5996f0f3fd431da05b2ade8b1e4afb69}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 5cdec0ce3cf5e934f388f490ff3058cb}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, eab7c37da3387205b5647ba8553aacaf}
com/google/android: {com/google/android, 3325cc2ce7d23845b7cbeaf10d12f257}
