org/joda/time: {org/joda/time, 8cc3405145354d50108964c7cf61edd2}
com/squareup/otto: {com/squareup/otto, ced37f2b161d22d67293cc80ae71e133}
org/parceler: {org/parceler, f1243f0d4a743a7cb6a5705416dd0277}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
io/fabric/sdk: {io/fabric/sdk, e57adebb094c268d99692cd4ada3a881}
timber/log: {timber/log, 44a2176684ce6e0e9f4d122c2bddc6cd}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
retrofit: {retrofit, 93a954599dcfc8b7326ddba55c8d8edd}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 3ce158bb547837a392d052316ef32724}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 10969758e7d3ffea58f3db9f8f97b201}
retrofit/http: {retrofit/http, b1582a8b2f8af8b3598d6c7a77d65cf2}
com/crashlytics/android: {com/crashlytics/android, be18ce1693b2b4205ed1f0ea63afcb7e}
android/support/v7: {android/support/v7, 4c98f3f48f19c54bc0a6523f91d31dac}
net/danlew/android: {net/danlew/android, cce9fbc101d00b0f1afa4b8d1259def5}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
com/commit451/bypass: {com/commit451/bypass, d42937d734b224264999e984b9a019e7}
com/jawnnypoo/physicslayout: {com/jawnnypoo/physicslayout, 2771c862d5b2d8ecbb87e38db3399b6c}
in/uncod/android: {in/uncod/android, 1b914d1ef1b1ddeee3dbc8d4eed3929f}
org/jbox2d/profile: {org/jbox2d/profile, a64f94780f23b5fb6a75c6c927579590}
org/apache/commons: {org/apache/commons, 68d6697d23da6cfc6e2fc9e864d9c39a}
android/support/design: {android/support/design, 7e4102baa58a3199bfca7d6c6e655301}
fr/tkeunebr/gravatar: {fr/tkeunebr/gravatar, 7eabf8c7cc324593e7513b146c49c689}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 5472ab25dc56b8cb19c0fd658f48fe6d}
com/commit451/gitlab: {com/commit451/gitlab, 227d0bc6bf9df5f04863987bf4b4047a}
okio: {okio, de3a0d47df04f16ea3e8b4805d1dc18d}
org/jbox2d/pooling: {[org/jbox2d/callbacks, org/jbox2d/dynamics, org/jbox2d/pooling, org/jbox2d/common, org/jbox2d/collision, ], 1a84b27219421c990f500b1672794063}
