androidx/appcompat: {androidx/appcompat, 6ee4568275d35f5b9b138b617ea5831f}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, b19a6296c56062c2a7524fd030a1600f}
androidx/activity: {androidx/activity, 6adf42b2eb6fcdf27c2bc792f8b3af23}
androidx/profileinstaller: {androidx/profileinstaller, 2c77861ddb2471328f36b82d14330372}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f6ed7668b34523eb067628e5755b236b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/preference: {androidx/preference, c4a85a02fe9c817bd35e32d996b1c9f4}
androidx/sqlite/db: {androidx/sqlite/db, abba660677d30d2f086c084bb5ba6dee}
androidx/test/espresso: {androidx/test/espresso, 84999f7e21a5bd1c2e0d76eee0a7abae}
androidx/lifecycle: {androidx/lifecycle, 983c1e471a2635e09528ce97c8558606}
androidx/fragment: {androidx/fragment, 0084d72c0888bb20da70f1d6602fcc6a}
com/flauschcode/broccoli: {com/flauschcode/broccoli, 2087e87c6ac78bfacbe8ef9419a96234}
androidx/navigation: {androidx/navigation, 83baa49bf1a563b1b0e14f45a1132170}
androidx/loader: {androidx/loader, d51140e742729c539e11ebabeacc5feb}
androidx/vectordrawable: {androidx/vectordrawable, a679b4cc1becd392e47bd69359827a37}
androidx/recyclerview: {androidx/recyclerview, 25d3104b2ee9ccd27f853bfd9e714cfa}
androidx/viewpager: {androidx/viewpager, 4cc876885cb8fc18cba39fea67cb9d14}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, be92baa1b2a95690e716402943599c00}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ff437605a2a3ae6e358a81501c8f301c}
androidx/core: {androidx/core, c0404be177644e653e5542cb812b1757}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, c5d3d3cde2a8c2879107d2117cbf1a70}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b75eaefdf6ccd9dcc7ae497434f570ef}
androidx/sqlite/util: {androidx/sqlite/util, 9331e32633ac39f5cbf155a742714c7a}
androidx/transition: {androidx/transition, 3648f9d6da21f8f0c829273477be0597}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, fb9b913913f8982b0093a3d6ad97553b}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/drawerlayout: {androidx/drawerlayout, 3410d38d6cf46d20a1ea61543dab2de1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 50ea2ae45cb558c57a337002ef8495b2}
androidx/exifinterface: {androidx/exifinterface, 5bbc2e7bb3b715e928b3ce95be9ea824}
com/fasterxml/jackson: {com/fasterxml/jackson, f87e844a8023e7700e075417273c6a69}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, e417b6870f04f63c8c0d4f71bbca7ff9}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d8219499800db889fb2a61140f8bb5b8}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/viewpager2: {androidx/viewpager2, dd3e8edf7c976fccee88c8185c858a48}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 43c66c28fca4b1ecef02d781aecab843}
androidx/documentfile: {androidx/documentfile, a66eec3b821dac12c3d1992b917d5fbb}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
com/bumptech/glide: {com/bumptech/glide, c33d20f9bfed397696fb9c8de3d6141e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 74863b1c2ba1b474e1e47a6002a601ba}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/concurrent/futures: {androidx/concurrent/futures, 0a587d9f81931f9596566cefb773d2f3}
androidx/customview: {androidx/customview, 0629c9aeaec2a1ae5f9281eaf34ba6d7}
androidx/window: {androidx/window, 2ef205071c619c9b16cb46bcdfddbc06}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, e1e1b228273663952a5cf5e93b2361cd}
androidx/databinding: {androidx/databinding, 6573c6a70c18079177a5bcd385abc9d3}
