androidx/appcompat: {androidx/appcompat, ce5952fb8e730c6024f6b1a79cf28e00}
kotlin/collections: {kotlin/collections, 4d540f46b8fcdb1e296ff8af6e589d60}
kotlin: {kotlin, cc68491a8404708e50c485e9b2bdb58b}
kotlin/io: {kotlin/io, 5fdb190710fd5166100473a493dfa3b1}
androidx/room: {androidx/room, 57f08090f8269a60d0481ea17c432884}
androidx/activity: {androidx/activity, 8fcbbfd54d274b2c742d51376fad5f77}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
androidx/profileinstaller: {androidx/profileinstaller, d4e6badcd8ccbdb6a0db234c99671054}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, ceb2fec2a7640f341ebb19622f2aa2b2}
androidx/core: {androidx/core, 247fb83b2c1e7cc2bd880876412fee5d}
androidx/preference: {androidx/preference, a4dc7351feedc891e3cacb4975cb9022}
androidx/sqlite/db: {androidx/sqlite/db, 8f03c17f98ae187a9f7f2bda14b2a1d6}
androidx/lifecycle: {androidx/lifecycle, 5f8df26db7eb7ec33f98571d7fff07ce}
androidx/fragment: {androidx/fragment, 0cd569e51d6e2285e8fc9cf2cef40728}
kotlin/enums: {kotlin/enums, 0b3f72a8c149688d7552f22dcaaf7599}
androidx/navigation: {androidx/navigation, 112e23dd75e227ab35f1aba90dbda754}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 4b5fc01a764de9ef892d2ead90fa5348}
kotlin/coroutines: {kotlin/coroutines, f4dd285588986f1c842f8ea713144a58}
org/conscrypt: {org/conscrypt, 6ef845d2d9905dd3eac92b6d9e7dd098}
kotlin/text: {kotlin/text, 563643480156801e2f60b64891ce18e3}
androidx/customview/widget: {androidx/customview/widget, f9a2869fa5e2524b0ce67cc2077db8ef}
androidx/exifinterface/media: {androidx/exifinterface/media, 2596e2c07a3c6540b63e223a7a3d55f2}
androidx/versionedparcelable: {androidx/versionedparcelable, adba7b32220abc335bf1b8fd84ab0fe9}
xyz/zedler/patrick: {xyz/zedler/patrick, 5a0236d44c464e64fe02ec57f5f7fbf6}
com/android/volley: {com/android/volley, 67863211d90c6845effc8805c72f6cc0}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 24431cbf043a5f28705f63bd6bdc8abf}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 06b27f255690acaa9486c9ecdbc3dfa3}
androidx/collection: {androidx/collection, bce5c81396fe6d8858fa5fd322eeae6f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c3933e83711a381c9c0dc5151df2ea1e}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
androidx/transition: {androidx/transition, 46723cbc927113680a440ad77d3e8790}
kotlin/random: {kotlin/random, ac11aeef81f44f93ef30997d46ed9418}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
kotlin/internal: {kotlin/internal, 67b119a437851eac96a7ec9b1f8b1c8d}
me/xdrop/fuzzywuzzy: {me/xdrop/fuzzywuzzy, 5adb1649bd7fe0178947e0616aa1f438}
io/reactivex/rxjava3: {io/reactivex/rxjava3, f9d5086a0c03bc8251f1aac463c79799}
androidx/cardview: {androidx/cardview, c06a4499f5090fbe0f605de79c9801a3}
com/google/zxing: {com/google/zxing, 4f98dd468f5ccc07ef2aee37097e4ef9}
androidx/arch/core: {androidx/arch/core, e2dc882152e973352486f8b8fa726c74}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, d660b094102cde65d28d51768483bb8f}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 0c337b4738c52dead06511d41b794c9d}
androidx/viewpager/widget: {androidx/viewpager/widget, 90931a839c0eb31c59b9855e75af0b8f}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, fc24cd360678719be29f5df937750443}
com/google/android: {com/google/android, 2356ed7c2d0273338c035779f0aa6639}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, e123cd31ac4826c02f3edc1e7d7a8007}
kotlin/sequences: {kotlin/sequences, 9bfff6fcb7110e45ab473c001a65b160}
com/kizitonwose/calendar: {com/kizitonwose/calendar, abd887a2ecce69e88377b8d9fe048a39}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/emoji2/text: {androidx/emoji2/text, 0a300fe208f3737341e36d35e99e8823}
androidx/work: {androidx/work, d9726fe83f72a4e0499d6620e0f82f00}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 663248c6af4fd0a6babf1f8e683f7d1b}
kotlin/ranges: {kotlin/ranges, ec392c4cbf3282e0f4e8fb2a273181c7}
