a6: {a6, 3dda7c1e20e12dcf405b2cf1ec43c470}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
x6: {x6, 75d6f445082545e49172647fc94442cc}
l1: {l1, 173309e3bacb7ee14ea3ba5686983c77}
i4: {i4, 3d828b4e701fcb9b911e0c0ac73c8528}
g6: {g6, 85015b8ed4dfa1fc0b1d62f15a56f8be}
io/ktor/client: {io/ktor/client, 0bf0c3795640bc69b210acf9fe28eb32}
ua: {ua, cf6ff865b0b59b10860bd335999ca7cd}
v2: {v2, 25786f3a29240bf79ff81882ee58a10a}
w8: {w8, 1aada424c51babc48ca0392034ec369f}
m6: {m6, 05879b8f759f743dfd12a0881cce8295}
nb: {nb, 381eed7a61994040fcd19a73fad94a5a}
h9: {h9, b58ac6c1eaa9f19fee922b61903e5e89}
u4: {u4, 9213f2758a78dfae95aa914cfff28db5}
g1: {g1, b182cfce73f233768a3d568346430139}
c0: {c0, 82d8a4fea2eb78a66d7ccd3e94223102}
ea: {ea, 825081c00857793f00d83a706f762bc4}
cb: {cb, e2c3501455148d0223e63210ab1cef85}
o3: {o3, e2ea07cf0116270c3f646d1cb143c2c8}
o8: {o8, c3378e4295cf81c37ea8f8a344d66eca}
t3: {t3, 8cc5678687d0b804b431b3cab84dc0c4}
androidx/core/graphics: {androidx/core/graphics, 6d7ffe1ecdf95dd08536898bd900d2a5}
h2: {h2, b9c689c5aa344c33ccabcef13f95554f}
u3: {u3, 925855e5dd8002163d9de5be0098fc93}
c9: {c9, 66302fed8483fbdc2e96b88323e281a7}
z: {z, 25af9da6b10da89e3e5af4ce65406878}
r6: {r6, 15d47e7ee0e51bb99469371944402802}
s4: {s4, 10c66ca38d39fad2bb94c6448748cb54}
na: {na, 90aafd5a8f10be1c592f14da3cb2d7fe}
b3: {b3, ccb29a8e20f512db833ab6b771fc08a5}
q2: {q2, 718456556223784404d4be255967d462}
e4: {e4, aefde12a106ff37a7187fb7991e46ddb}
ta: {ta, be0b5d74b25f6c4d647531e4ed679c8c}
t: {t, 6254b420592d05ddaa4ed6925d89a77e}
io/github/pitonite: {io/github/pitonite, 56c0ddd12e59bb8ca83cd3779c9ecfc0}
y7: {y7, 1684fe8494f989347b27e6e74625e286}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
