a6: {a6, 589bda4168b93d9311778102f3567012}
p2: {p2, bcb5c211d5b840fcbb743639e658f742}
d8: {d8, 8a0cc3e9e246dfe9d34b528c8c0e6cd0}
j: {j, 1b5dd6edf4561fa9968b9255e9690e03}
c1: {c1, c304511f0d9694eedbc39778268a44ef}
d: {d, a2d993eb60d04ab0cfd0a72fc40e8aa7}
q4: {q4, 5bfaddb8c919fb82f2eb3dabd06500df}
androidx/activity: {androidx/activity, 7ef004774c6d6f1622d21631f82bdc81}
x6: {x6, a7e1c6f2007e2387025668882246fdfd}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, a57db3d5a650929578a0c6529d95351b}
l1: {l1, b0df18ccf81e4ddad1e8c4c21a58e6bd}
androidx/preference: {androidx/preference, 63c91067ab1d592b7a68c58b4727db94}
i4: {i4, 4a99353d098e72a5c3e0b7d84bc3947b}
androidx/core/widget: {androidx/core/widget, 85dea855202d55f6b508f54e9ff45e53}
g6: {g6, 45847f89aa219f6cff905648f07a02ec}
o0: {o0, d7e6ce8ba2bc593f10ba3bc67ea7ac83}
b5: {b5, acf7ef943fdeb3cbfed8dd0d8f584731}
com/google/android: {com/google/android, b0abf0d2dc7d6b89b65da67c86df54ef}
android/os: {android/os, add12ff0d9a4b55ffb69e18ac19ca131}
v2: {v2, d7127d0e95b882bc90b6772b2ff8ab4e}
z1: {z1, d74a6bc03e6e6c77bcb126b8126606e2}
m6: {m6, bb449d73a7d696bd6f5f9a67ca83cd6d}
t2: {t2, 172db2b613fe70a0c7f0e4660b4ab048}
w0: {w0, aa0eb802c1d024d4aceb98bc34ce0623}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
r1: {r1, 91efef4bf6fc99c35c74eafba7fad163}
e6: {e6, 989eb6c3db0c5c8bb7489d967077261d}
x: {x, 2234a264f0b7549b6a0e823422d8035c}
j5: {j5, 62ec8c020fe3ebed1a236a68d8036d0d}
