a6: {a6, acf7ef943fdeb3cbfed8dd0d8f584731}
p2: {p2, 28de9cb2ff579a5277d63e572be2c706}
d8: {d8, 1b52819cb95dee5f62c9adab2273e09c}
j: {j, 6f2f010d47e89512724a7a5d269b98c8}
c1: {c1, 60fb9e745dfe3e524a8b1dbae8897730}
d: {d, 7b23aaecace6616d07fc9d25d27ee18e}
q4: {q4, d2557dc6644e1508efa144a69eecdaa6}
androidx/activity: {androidx/activity, fe63f96d74bc89904662dff87c19e74a}
javax/microedition/shell: {javax/microedition/shell, 114daf6d01aa71c6a367d2662ae14b67}
x6: {x6, 54d545f8bce438dd4391d0a36f94d7ec}
l1: {l1, 28abd40a8d7132a316807746442dd08e}
androidx/preference: {androidx/preference, 4f3706e9aee8e6ed897fbfc1df1f27a4}
i4: {i4, 9691ddfe3622bc73780c5e77ca08c71b}
androidx/core/widget: {androidx/core/widget, 5836c56ff7026db588b9d95edb42657d}
g6: {g6, e381f6991873210ea6cc1b6be99b5314}
o0: {o0, c3fdec9e2590421b223d769d809cc32e}
b5: {b5, 0ac52e2d642337804f29240a936ca7a0}
y: {y, dbf988eb91cab9433d3fbb20ac501a5f}
com/google/android: {com/google/android, bae60cfde45311f0370cce3434d0cc50}
v2: {v2, bb461c267a80a1669dec79cae52bd319}
z1: {z1, acf7ef943fdeb3cbfed8dd0d8f584731}
javax/microedition/midlet: {javax/microedition/midlet, 0e7bbf42fc5c4ce879422b439b997a5b}
m6: {m6, 9c6c0b66d6c47154da14ad4cd741c190}
t2: {t2, 2abfcf0072815b75eb78be49871ffbe4}
w0: {w0, 923351e1d7dcd5018b4fcf4d35740771}
r1: {r1, e86fe624b014159f1a1e988377395394}
com/kddi/media: {com/kddi/media, 5aecd4a886d238eadbbcd77046fcd2ff}
j5: {j5, 0f423227bd5a873b8ff5a14c3b9bb5c5}
l: {l, 0a218ea09d5adccae65f3891dc3c5b07}
androidx/appcompat/widget: {androidx/appcompat/widget, 1d75ae0c42534a82410c495de491edea}
d0: {d0, 5073ee0e77d58aa7b0b1c38a1770ca5b}
f4: {f4, f4d8e4bc71b126d2df5cb3f77cfcb8bc}
b: {b, a6201759ab1e8465b31ee30f72e31e49}
k1: {k1, 30f170778b4f62c33d31e83cf988deec}
k: {k, 52b769a9bd25847a06deb687784658bc}
x7: {x7, 5042e87df47a82967291339baa70788b}
g1: {g1, 2786125082e3fc9a29d30cde1bd2d067}
c0: {c0, c327706423e5e67a9470389287dcb570}
a5: {a5, aed685c6c3995bb4952d2a1474247008}
p3: {p3, 954df91389d56e7b56c75f50484fe468}
e5: {e5, 4fcaac5e2d45f13ebe9e79bc0643b3cb}
b2: {b2, 1c85dc778fcc00f37a84b901d1148430}
com/arthenica/mobileffmpeg: {com/arthenica/mobileffmpeg, aa4930c5a68293bc7688e64efa2777f8}
q3: {q3, f6d0114dbe7f9d092b54aabd8443a390}
d6: {d6, b1c9ef4da540d796fb8688038071fb25}
com/samsung/util: {com/samsung/util, b48d3b400825931b94b538b5208bb79e}
com/vodafone/v10: {com/vodafone/v10, 0d327e62ed2c7e0789405e5d63090377}
l2: {l2, 913573930108e2969e319786a3609ddd}
i3: {i3, d7d912da8ae222f76131f17a7d8b166c}
androidx/core/graphics: {androidx/core/graphics, 0a0006974148472b2b136adf4247e10f}
o3: {o3, 6e242682fbc96bba22d3888db914ccf8}
javax/bluetooth: {javax/bluetooth, eaa76eea46f145956ceb7f90bb1013f4}
com/sprintpcs/media: {com/sprintpcs/media, ed3dcf073466fdbc90add6968cb0e8cf}
androidx/savedstate: {androidx/savedstate, 0f8abda2e7007c6231e650bf63dd7bfa}
m5: {m5, 59ad6262428c8d250334aa38c232843c}
