androidx/appcompat: {androidx/appcompat, d53844ff3ae0af2710363123504fe1b7}
androidx/camera/view: {androidx/camera/view, 835fdaac53546d4f2f818640aca692bf}
androidx/activity: {androidx/activity, ffde1daae002cbcc0457fe2cf62a5254}
androidx/compose/foundation: {androidx/compose/foundation, c29e1e9bd4e2e815ccb01cb2c8de609c}
androidx/fragment: {androidx/fragment, 294a6e131098256ce67ed89004658f75}
androidx/compose/animation: {androidx/compose/animation, f2c0873ab6e1cdbf7a9e1c862017536a}
androidx/autofill: {androidx/autofill, b1ff7de94294eb19e36c6387dba53dcb}
androidx/compose/runtime: {androidx/compose/runtime, 7d4329c3318632fc7b5e0b732eab4759}
androidx/core: {androidx/core, 639bcf51e7d89c7e1021924308eea814}
androidx/collection: {androidx/collection, f31e34f8a60f9afc41616e7502bea64d}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 0fb6045ddab3157d728d8d1b07470e5e}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, 60f4e4884b35651ace1d33526584aea0}
androidx/drawerlayout: {androidx/drawerlayout, 2fd812ef5e608c930948bded8a3b182f}
androidx/customview: {androidx/customview, 2131eef1546bf4a874259ff03a344170}
androidx/exifinterface: {androidx/exifinterface, 4a61ba32f9852e168dca1dded979db6d}
androidx/emoji2: {androidx/emoji2, 2d1df90e7201846094e11d05fd1f96e0}
androidx/compose/material: {androidx/compose/material, 7ecf2b5f71a07ee421dd5875de72e038}
kotlinx/datetime: {kotlinx/datetime, dcd096aa858e45b9603500d9d0a1c12e}
androidx/arch/core: {androidx/arch/core, 4a92b8dd3eaa0c872fca0e76e2149523}
androidx/biometric: {androidx/biometric, ddc88ae63e475f0c17e9855c7baf0acf}
androidx/camera/camera2: {androidx/camera/camera2, 32abb113f5fc2a4154ddff3c4c0d831d}
androidx/concurrent/futures: {androidx/concurrent/futures, 9c95b0ea769d971bdaf074f089072622}
androidx/compose/ui: {androidx/compose/ui, a1234a204e120ecf738a041e5ce584a5}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
com/google/common: {com/google/common, 2f98f4fd60829d2567feda6a980af495}
androidx/dynamicanimation: {androidx/dynamicanimation, 47c7faf63f02eb9ce444776529923f7a}
androidx/camera/core: {androidx/camera/core, 1d039ce0b524a74d7ef743836ca63657}
