androidx/appcompat: {androidx/appcompat, 4eb44a70304f3c6d205da787b9f9f2bd}
com/beust/ah: {com/beust/ah, 0fd5cc7dbaf68444ba05eba39d846db0}
androidx/media3/container: {androidx/media3/container, 06b8e8a13d2ac48fec4d07389a1ce532}
androidx/room: {androidx/room, 83ccc5d519c87d43ae211a4be4a3e186}
androidx/media3/common: {androidx/media3/common, 8b7244fbadf36dcac23652d9da53ecfe}
androidx/activity: {androidx/activity, fe3f7a33c55988c63e0b15aa92559d6b}
androidx/profileinstaller: {androidx/profileinstaller, acb67d64383a698fea727607149b9116}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9baadae9849c41a4142729fd610bf62d}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 71757d65642f27a97c61723580ecf9ff}
androidx/preference: {androidx/preference, f699120585d4b23aa4d5d07a3e64843c}
androidx/media3/datasource: {androidx/media3/datasource, 24d3db1378b159b52984dbf7c5b44b1a}
androidx/lifecycle: {androidx/lifecycle, 3414b74af9463a3391e1238582bc98ba}
androidx/fragment: {androidx/fragment, ab6edce27e110dd838703c803bcc2415}
androidx/media3/extractor: {androidx/media3/extractor, 9b85a23d02c3349c0838a649c957c7c1}
androidx/loader: {androidx/loader, a90a2e4a14e0866fe560ec9fff496365}
androidx/vectordrawable: {androidx/vectordrawable, cd0039ef8d997a2c9d625131fcd37033}
androidx/recyclerview: {androidx/recyclerview, ef4e5276885a7e9f353168056b17bdc9}
androidx/viewpager: {androidx/viewpager, 077ec76190a9431e84dd130db5b0a386}
com/google/android: {com/google/android, 39c6640e3b677144936a4ad0c0233437}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/versionedparcelable: {androidx/versionedparcelable, 15a65b06da3549b6a8679187471d44a3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 28fc3b5b776064fc18a28a1d5472805a}
androidx/core: {androidx/core, be09d80589c52a8bbacb2206affbb215}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 320747a4d4b9fe592420f50c4b10c46e}
androidx/collection: {androidx/collection, 54a29a86bf35c17dc27caecdaac72f97}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 05f645d56b4b7da50e688c27a7d2350d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, c179ca1acefbf84470b1f7e3214a182d}
androidx/cursoradapter: {androidx/cursoradapter, 9ed44f9e4b40e601eb800379df6ecf34}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 170e6d10f92b199433f797fb77eb003f}
androidx/cardview: {androidx/cardview, 97214a18c026d85d1789b97d04a8724a}
androidx/drawerlayout: {androidx/drawerlayout, a7a108a9898ccd0775628e8dfae8c9b4}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/media3/database: {androidx/media3/database, 5aedab50c873391456d9d53ee0140b96}
androidx/media: {androidx/media, cbff200769ae22f4dcb98806057710d1}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 32054ca124d6e8f29360a214ee1fc31e}
androidx/emoji2: {androidx/emoji2, aaa9817f70196246169bb49caa7fa848}
androidx/work: {androidx/work, b4283f5015797a6a1054eaf0e40e5698}
com/beust/jcommander: {com/beust/jcommander, ccd35768a0254eb933e8ff4409b4d2bb}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 58522226d3d2f2fa708219e8667616ab}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
com/github/chrisbanes: {com/github/chrisbanes, 0cf6fea873701247ac7cc9d9caea725e}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 5996b800d1f1aa12cf74ebb788c15d12}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 47ca62654ce68e4906f38591e0f1c674}
androidx/savedstate: {androidx/savedstate, b7926c4c94864a489972c122ce0a513d}
androidx/documentfile: {androidx/documentfile, aff7b708c92ca1136c31e1a29fb9fa4b}
androidx/print: {androidx/print, 5a74fa0f323c1f187988f9045acfdd1a}
com/github/jaiimageio: {com/github/jaiimageio, b3129fe69f3197b0fee42d86849dee17}
androidx/media3/ui: {androidx/media3/ui, babcf288391f9338df6347ee141a3a94}
androidx/sqlite/db: {androidx/sqlite/db, a45df4109429b72262888f81fe3ea0e6}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/media3/decoder: {androidx/media3/decoder, d2c507f207cb018dedb8a87f53079a2b}
androidx/biometric: {androidx/biometric, 4a3e30267616642e131c9670a2404db8}
androidx/tracing: {androidx/tracing, f7118beb7556034a85049f8d7f23a84e}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/concurrent/futures: {androidx/concurrent/futures, 8ff6881ce8c65f2032f1e0237553c480}
androidx/customview: {androidx/customview, d9af5a136fd244f706f654d3e003a629}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 5c61a0963e02bea60d6bd70d2d777402}
