androidx/appcompat: {androidx/appcompat, 68baf3c28b9c9a2fda831d1981b119ff}
androidx/compose/runtime: {androidx/compose/runtime, cfe9e747a4351e4321cc5d39ac6b88f9}
androidx/activity: {androidx/activity, 69a6f6b1e0870ec20d0296da5eee64b5}
androidx/profileinstaller: {androidx/profileinstaller, 92c639fb5dd051662aa4caaa574e1f9d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c0b7df9575424fde9e5317ae74e3b216}
androidx/compose/foundation: {androidx/compose/foundation, 526ac087c3a9ca353d80a0a23c78270a}
androidx/preference: {androidx/preference, ace999932386b9c65a6b5fd5483e3dc6}
androidx/lifecycle: {androidx/lifecycle, b7a25d20f2cbca739f0eb3f44e008745}
androidx/fragment: {androidx/fragment, 2d30247d8f654e8abbfe8276b8f65dbd}
com/aliucord/aliuhook: {com/aliucord/aliuhook, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/loader: {androidx/loader, ccc233f5007f40a2bb6de9a98b303fcc}
androidx/compose/animation: {androidx/compose/animation, fb249e9dc967d22c71dda6038c6e4fbd}
androidx/vectordrawable: {androidx/vectordrawable, ef511e4bccfb18f7420cdae4eae259a7}
androidx/recyclerview: {androidx/recyclerview, b2fcfe096c6962b572033ce07cbf876a}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/autofill: {androidx/autofill, cccae6c670ea08f4ba8d4d19ca32d93c}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 8e287a99110932e6bf108cb2dd1128e5}
androidx/inspection/compose: {androidx/inspection/compose, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 256d5a44b5c469dca0b2d6178020d935}
androidx/core: {androidx/core, 3005b0dcc89484f994ecfff65fb7b542}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 988ef92deaa8e44279017f7a9ae518f9}
androidx/collection: {androidx/collection, 6b5bc85fa2e756e040f5d0001cb6af22}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, fbb178b9707101d7d9c241f850c9266b}
androidx/transition: {androidx/transition, 75ae7a8608541a5f40b7937de4214892}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, 864b50a1ffccf547d99a988c6d9e77ff}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2de4d8dd8ad7b0bb4541c766c6b8317c}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/viewpager: {androidx/viewpager, c2cea35b34a4ddb2b5b2136b618e1883}
androidx/compose/material: {androidx/compose/material, acedf9048c0fdf2a2b116803c1cbe8e0}
androidx/emoji2: {androidx/emoji2, 67f49b3db6a735fe42c1d91928cd9a11}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, 188c81b730b40a34cdd938936fb88705}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, c3767a5f6e95733128752725e00ef4c3}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/viewpager2: {androidx/viewpager2, 781bfc20b8db24aa6e40961a06fecabb}
androidx/savedstate: {androidx/savedstate, 4b7ccd12ee5c334ff92408e9be15d986}
androidx/documentfile: {androidx/documentfile, 20a73f90496d888dd2749cfd7a2032df}
android/support/customtabs: {android/support/customtabs, 4e18665da1060a66a3d9eeae3fce9458}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0e21ce3c304b5e9ee5f9bc50ec031e19}
androidx/tracing: {androidx/tracing, 0100df183bc154a1b0a42a6ae5108c1b}
com/intellij/testFramework: {[com/intellij/openapi, com/intellij/lexer, com/intellij/util, com/intellij/lang, com/intellij/pom, com/intellij/testFramework, com/intellij/psi, ], 7da18c6b45ed29029457d69aa61422d7}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 121f2fcb62f320d3ff4c2f93a79a0057}
androidx/concurrent/futures: {androidx/concurrent/futures, 8ff6881ce8c65f2032f1e0237553c480}
androidx/customview: {androidx/customview, 1d1531729d2a238eceb2317eeb3840f4}
androidx/compose/ui: {androidx/compose/ui, c2321e43b41375aba30703462fdc7696}
androidx/window: {androidx/window, 62765c319bab84415fdbeff87d4611b7}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, ff6e05b2e78243606466a213b0fcc095}
