androidx/appcompat: {androidx/appcompat, 7c4d7d10687934d13b07286466115043}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/internal: {kotlin/internal, 25fd9d19307b374bb32dfb7591dd0bd9}
androidx/activity: {androidx/activity, 4e577ccac584e8343f792cd8ef651690}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/vectordrawable: {androidx/vectordrawable, 1db4a5557a0b9f9cae9a42d2424c478b}
kotlin/math: {kotlin/math, 2b3e91bab514e8e226ca1813b359e5ab}
dagger/multibindings: {dagger/multibindings, 3c12fc6b8f55fab0318e6b22ba73f244}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a3c6de987e9bf9f617d9edbbadb19fa2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ff1b5b4a8152c23d704f959081b0e488}
javax/annotation: {javax/annotation, 53d0cf1e663261087e057f9ce5ae8ab7}
dagger: {dagger, f9f0dbf7759d346c23d9e708345ffa35}
androidx/emoji2: {androidx/emoji2, 14756abd2910ed4cba69266d3979df47}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, a4416d427892ffa942cadc1ea18c7cea}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac7ba5c603f52a3691b32041fb93cd0}
org/opencv/imgproc: {[org/opencv/imgproc, org/opencv/core, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/databinding: {androidx/databinding, d77d2d112e821f0b27e5632a7d99fb2d}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 9b98c7a9600943067098c29d004e81a1}
kotlin/enums: {kotlin/enums, cd0fa8aa56cf8c762e43806d8b5108de}
com/googlecode/leptonica: {com/googlecode/leptonica, a36cfee06ffe96cd2775fbe75673318e}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/core: {androidx/core, 00c95198e3ab4f5e486410a4bc0d3879}
androidx/collection: {androidx/collection, 2528789832a953d3709973c77f9d01ed}
androidx/transition: {androidx/transition, 9f3554f5b59f818d628e17e15d0c33b9}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/gridlayout: {androidx/gridlayout, d784bb65f52e7ca03ba0ff264dd2211c}
com/google/android: {com/google/android, d8550c49e2497d7db7ff60106c9f0cfb}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/viewpager2: {androidx/viewpager2, c80d8de27ff8504604538e91144b3a43}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
cz/adaptech/tesseract4android: {cz/adaptech/tesseract4android, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/recyclerview: {androidx/recyclerview, 0ce0fe4df589e3f4946fde48719229c5}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
