androidx/appcompat: {androidx/appcompat, cdd0aeb3f9d9c00368d03dca8aba9bc0}
aosp/android/content: {aosp/android/content, e1786c308684cbb9186572158020bd96}
androidx/room: {androidx/room, bd249e509cfb8aadaafa452b8ec0bdae}
androidx/activity: {androidx/activity, 4fb3adbccf3d8430cb778d0fe8898943}
androidx/core: {androidx/core, f3c49f52c69dc9ee0c35d4a3b9e782d9}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 14cbdee7ab55db2e9fdad510698c5af8}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, fd9a12daf92664afa17cf38c983e3c32}
androidx/fragment: {androidx/fragment, 648559aa4f0b725fe4ea3c79bf69c95d}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, eed4703d348adc9e44d7828787732269}
android/sun/misc: {android/sun/misc, 5850c368e087557465617763ce067ffd}
com/google/android: {com/google/android, 3ca05ec2f55a648dcc7852924258296c}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
antlr/actions/csharp: {antlr/actions/csharp, 76ac9d6057a5f410588b472065ccc59a}
antlr/ASdebug: {antlr/ASdebug, 57d35f97fe14724c32293f7d84cf3aa7}
aosp/libcore/util: {aosp/libcore/util, c3f875c8cd39b72b3dfb39b7e8548c8b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8a1efe16c0f677917386354d89c4bfb2}
androidx/collection: {androidx/collection, 002f6626006954dfb679acc8f7e4f4b7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
antlr: {antlr, 8eb61c56a48ecb6d45f134bbd8893b9e}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
antlr/debug: {antlr/debug, cdbf8f0f5e7d9cb73e02c8b91507fe4d}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/android/apksig: {com/android/apksig, 75f039c39530a3b2b5582fafb6672264}
android/aapt/pb: {android/aapt/pb, e8abfbca09e9739baf70011876b4e524}
android/sun/security: {android/sun/security, ee5e4dd3dfe6018b987c4c337a0011ec}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
antlr/preprocessor: {antlr/preprocessor, 8f7ebd8884fc6d0f89e91c4c1ca1e7be}
antlr/actions/python: {antlr/actions/python, f077ff30df117d33560d556d61d5ff4a}
androidx/emoji2: {androidx/emoji2, 721567a7cefd2c03f1d061092c326e64}
androidx/webkit: {androidx/webkit, b1b822b9d4f89498a243e057f0b7b695}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
antlr/actions/java: {antlr/actions/java, 46cf3675249eaf126582dc4cd2cf094c}
androidx/transition: {androidx/transition, 0152c43eee413885fa8ec940db819e26}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 44300a12c0def7c7ecc4bb80587115bb}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
com/android/aapt: {com/android/aapt, 46da65fe30348ed47915b784b28343f1}
androidx/viewpager2: {androidx/viewpager2, 34451d4d18017d99a9c1d50170cc1900}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 1fe4c0a62ba0a35dd52d4feea6a12ea1}
androidx/documentfile: {androidx/documentfile, 38d5ec28cdba45def3ca52515eaa9093}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
com/beust/jcommander: {com/beust/jcommander, 15845b94546c66b1dd51ec1fe353fefe}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac1377606c9ba98dea2e06476e2473e}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 596c2f75cd6370362da0bf5af4f3f7f9}
androidx/tracing: {androidx/tracing, 59dd70faa1e08566d9a24ffcded17ef4}
antlr/build: {antlr/build, 0f0da8764a0a601302402d9d44e1fd94}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 2acb9928f935b4d48083ee900b9870d3}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, eb3ab367ff2b705c6c43077aca7fd508}
androidx/window: {androidx/window, 6e59832198b4e70c007768e3e49ad4ee}
androidx/annotation: {androidx/annotation, c7d60566bcf76344db4d1f1ace15aed8}
antlr/actions/cpp: {antlr/actions/cpp, bac437477cc45996570760cc269bd6ec}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
com/google/common: {com/google/common, 27e82248cd341e16621792f1f5423269}
antlr/collections: {antlr/collections, 088f5395f855981a7f7a619d73d218a0}
