androidx/appcompat: {androidx/appcompat, c592abbbc5e4b00489449ef83f4a1961}
kotlin/collections: {kotlin/collections, e23ff6851677ede710c56ae2b14b0dba}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/fragment: {androidx/fragment, 39ea9499fc4393445aa4fd598d0c1c30}
kotlin/io: {kotlin/io, 7d3bd9b5c0ccb6f0429ea7648f71a8b7}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, fd677123283d1b91c38a48c90b56118e}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 3ddeb2d464d977549116c7f647e248c3}
kotlin/sequences: {kotlin/sequences, bbaf48aeaf1d776bafbe24694108467d}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/sqlite/db: {androidx/sqlite/db, 99d52626824378920a56df59d834d49c}
androidx/lifecycle: {androidx/lifecycle, 01bb4262e1edff94be1c9b9d140cb45c}
kotlin: {kotlin, f91a97a81d2d81f1af422323d32c4e33}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
com/android/volley: {com/android/volley, 089279a04457dc55aee4b9aa52401879}
androidx/vectordrawable: {androidx/vectordrawable, 3a3033e8f88335e6e5f691256f2d0dca}
androidx/recyclerview: {androidx/recyclerview, 52c7f931e0c59a95f4ba1344c4b9f508}
androidx/media: {androidx/media, 17e6db9ec03db467e5d35ad0883781ba}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
com/google/android: {com/google/android, d0c486017d8fcaecb379e3c3dda7e136}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 376bf5d316da37e69bea46b2a562d1f1}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
android/view: {android/view, 7aa8c35990c28990830b17b804d0341e}
androidx/core: {androidx/core, a4be47c2872e5258ce7393bb8bd73dfe}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, d1fe78a68274b48bab4aed5d173027ad}
androidx/collection: {androidx/collection, 6be25497c26267f050813da7a874ec60}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 748291c3a495c2adc8fef91675a303b7}
curtains: {curtains, 0a05a2f528896883f05ce6353f76ebc7}
androidx/transition: {androidx/transition, b7dbb18cebcb794c8dbe666c4f137149}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b72b8858ba45abf0af1d0ccd27066508}
androidx/multidex: {androidx/multidex, 6c9caf201d9fa9a3ecf7aaa7ad7f4a7b}
androidx/cardview: {androidx/cardview, 20926fe7ad2b681a4e9945c7b5b70ecc}
androidx/drawerlayout: {androidx/drawerlayout, eafd3b30bf5b917c1b934e10a95cf6d8}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
curtains/internal: {curtains/internal, f6c00fdf9aa0b2174b0d3b6c3981934d}
androidx/viewpager: {androidx/viewpager, ebe4d3e4440d39a55177dddc71e95fad}
androidx/constraintlayout/core: {androidx/constraintlayout/core, c25e95f3fbb9d88bf5b67a9ba12aabb1}
com/squareup/curtains: {com/squareup/curtains, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, 434800162b5c621100f2b54a934b8464}
androidx/work: {androidx/work, 22945d03bb672636f90cd50a6a4beb3e}
kotlin/text: {kotlin/text, 846eb18e3fdab098191b83bbe7482750}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b5ae83aafa9bda8232f870a6e04bbd6b}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/time: {kotlin/time, 8039c8048a07b1367b8cb799f9aaee27}
io/reactivex/rxjava3: {io/reactivex/rxjava3, c2973190f2194ee5c2c9cb4c468761b7}
kotlin/ranges: {kotlin/ranges, afc4b6591d605454821d0cdf94fb6726}
androidx/viewpager2: {androidx/viewpager2, aee72681c39bf25ffc8b3f5479285def}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, fdb60636bedbb97c76ab3cebfcf46b61}
androidx/documentfile: {androidx/documentfile, dc252d1de50c4affd61775ab7160cfd2}
androidx/print: {androidx/print, 97082f343ee7d573eccc4e015e6f55a9}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0de4383b69cbf63a35ec4e81ca6ce893}
m/co/rh: {m/co/rh, 8f2d46e4c203d9fdfd5bb1d5841866ab}
com/squareup/leakcanary: {com/squareup/leakcanary, 68bceb59693fa2f00c71ed0b515280c6}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 0aed9f62c3f6b5beb17695c0ac064558}
kotlinx/coroutines: {kotlinx/coroutines, 2336273e9ac9b4bb9c560358a2c69dcf}
androidx/tracing: {androidx/tracing, 27fbbf7090d2e7afb6da7c9cdfdb966d}
co/rh/id: {co/rh/id, 91e7658db7cc978599ac2a5f3a1e4df4}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 25bfb810f193fe40fde1c0c2143920ee}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c9fb1f13858cb721800acb4f76cc101e}
androidx/customview: {androidx/customview, 76c1d991b3aff33ca1a753ebe52b03e9}
androidx/annotation: {androidx/annotation, b83710cf497735ec1a0072094b2d87d4}
androidx/dynamicanimation: {androidx/dynamicanimation, 1698d8f780914b358ab5956cfc9c4888}
kotlin/jvm: {kotlin/jvm, e19da3b801f971363ba73cbda362de6c}
com/tokopedia/showcase: {com/tokopedia/showcase, 654ec11b18e018f4b33534aebfea45a8}
